Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Dorset,Other,"Dog use, of which",17.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,25.0,Other,Total: Dog
Dorset,Other,Dog deployed,15.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,Other,Dog: deployed
Dorset,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Other,Dog: bite
Dorset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Dorset,Other,Other / improvised,142.0,9.0,3.0,0.0,0.0,0.0,29.0,0.0,183.0,Other,Other / improvised
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Dorset,Tactical communication,Tactical communication,369.0,25.0,2.0,0.0,0.0,5.0,72.0,0.0,473.0,Excluded: Tactical Communication,Tactical Communication
Durham,Total (excluding not reported and tactical communication),*Total Tactics,8213.0,111.0,67.0,15.0,44.0,17.0,73.0,0.0,8540.0,Total,Total: all
Durham,Restraint,*Total Restraint,5409.0,69.0,48.0,10.0,27.0,13.0,18.0,0.0,5594.0,Restraint,Total: Restraint
Durham,Restraint,"Handcuffing, of which",4386.0,47.0,43.0,9.0,19.0,11.0,16.0,0.0,4531.0,Restraint,Total: Handcuffing
Durham,Restraint,Compliant handcuffing,3091.0,36.0,36.0,7.0,16.0,8.0,12.0,0.0,3206.0,Restraint,Handcuffing: compliant
Durham,Restraint,Non-compliant handcuffing,1295.0,11.0,7.0,2.0,3.0,3.0,4.0,0.0,1325.0,Restraint,Handcuffing: non-compliant
Durham,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Durham,Restraint,Limb / Body restraints,104.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,108.0,Restraint,Limb / body restraints
Durham,Restraint,Ground restraint,919.0,19.0,4.0,1.0,8.0,2.0,2.0,0.0,955.0,Restraint,Ground restraint
Durham,Unarmed skills,*Total Unarmed skills,1982.0,29.0,9.0,2.0,12.0,4.0,5.0,0.0,2043.0,Unarmed skills,Total: unarmed skills
Durham,Other equipment,*Total Other equipment,273.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,279.0,Other equipment,Total: Other equipment
Durham,Other equipment,"Baton, of which",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,Other equipment,Total: Baton
Durham,Other equipment,Baton drawn,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Other equipment,Baton: drawn
Durham,Other equipment,Baton used,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Other equipment,Baton: used
Durham,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Durham,Other equipment,"Irritant spray, of which",227.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,233.0,Other equipment,Total: Irritant spray
Durham,Other equipment,Irritant spray - drawn,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,Other equipment,Irritant spray: drawn
Durham,Other equipment,Irritant spray - used,148.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,154.0,Other equipment,Irritant spray: used
Durham,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Durham,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Spit and bite guard
Durham,Other equipment,Shield,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Other equipment,Shield
Durham,Less lethal weapons,*Total Less lethal weapons,304.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,319.0,Less lethal weapons,Total: Less lethal weapons
Durham,Less lethal weapons,CED,290.0,4.0,5.0,2.0,0.0,0.0,3.0,0.0,304.0,Less lethal weapons,CED
Durham,Less lethal weapons,"AEP, of which",14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,Less lethal weapons,Total: AEP
Durham,Less lethal weapons,AEP aimed,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,Less lethal weapons,AEP: Aimed
Durham,Less lethal weapons,AEP fired,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,AEP: Fired
Durham,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Durham,Firearms,*Total Firearms,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,Firearms,Total: Firearms
Durham,Other,*Total Other,225.0,7.0,1.0,1.0,3.0,0.0,47.0,0.0,284.0,Other,Total: Other
Durham,Other,"Dog use, of which",25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Other,Total: Dog
Durham,Other,Dog deployed,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Other,Dog: deployed
Durham,Other,Dog bite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,Dog: bite
Durham,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Durham,Other,Other / improvised,200.0,6.0,1.0,1.0,3.0,0.0,47.0,0.0,258.0,Other,Other / improvised
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Durham,Tactical communication,Tactical communication,1087.0,20.0,9.0,1.0,12.0,2.0,5.0,0.0,1136.0,Excluded: Tactical Communication,Tactical Communication
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,4800.0,76.0,22.0,4.0,0.0,21.0,288.0,0.0,5211.0,Total,Total: all
Dyfed-Powys,Restraint,*Total Restraint,2786.0,35.0,14.0,3.0,0.0,12.0,161.0,0.0,3011.0,Restraint,Total: Restraint
Dyfed-Powys,Restraint,"Handcuffing, of which",2406.0,34.0,12.0,3.0,0.0,9.0,142.0,0.0,2606.0,Restraint,Total: Handcuffing
Dyfed-Powys,Restraint,Compliant handcuffing,1503.0,24.0,11.0,3.0,0.0,9.0,90.0,0.0,1640.0,Restraint,Handcuffing: compliant
Dyfed-Powys,Restraint,Non-compliant handcuffing,903.0,10.0,1.0,0.0,0.0,0.0,52.0,0.0,966.0,Restraint,Handcuffing: non-compliant
Dyfed-Powys,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Dyfed-Powys,Restraint,Limb / Body restraints,102.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,110.0,Restraint,Limb / body restraints
Dyfed-Powys,Restraint,Ground restraint,278.0,1.0,1.0,0.0,0.0,2.0,13.0,0.0,295.0,Restraint,Ground restraint
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,1431.0,23.0,4.0,0.0,0.0,4.0,88.0,0.0,1550.0,Unarmed skills,Total: unarmed skills
Dyfed-Powys,Other equipment,*Total Other equipment,161.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,171.0,Other equipment,Total: Other equipment
Dyfed-Powys,Other equipment,"Baton, of which",12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,Other equipment,Total: Baton
Dyfed-Powys,Other equipment,Baton drawn,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,Other equipment,Baton: drawn
Dyfed-Powys,Other equipment,Baton used,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Other equipment,Baton: used
Dyfed-Powys,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Dyfed-Powys,Other equipment,"Irritant spray, of which",117.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,125.0,Other equipment,Total: Irritant spray
Dyfed-Powys,Other equipment,Irritant spray - drawn,41.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,45.0,Other equipment,Irritant spray: drawn
Dyfed-Powys,Other equipment,Irritant spray - used,76.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,80.0,Other equipment,Irritant spray: used
Dyfed-Powys,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Dyfed-Powys,Other equipment,Spit and bite guard,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,Other equipment,Spit and bite guard
Dyfed-Powys,Other equipment,Shield,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other equipment,Shield
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,219.0,2.0,3.0,1.0,0.0,3.0,19.0,0.0,247.0,Less lethal weapons,Total: Less lethal weapons
Dyfed-Powys,Less lethal weapons,CED,194.0,2.0,3.0,1.0,0.0,3.0,18.0,0.0,221.0,Less lethal weapons,CED
Dyfed-Powys,Less lethal weapons,"AEP, of which",25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,Less lethal weapons,Total: AEP
Dyfed-Powys,Less lethal weapons,AEP aimed,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,Less lethal weapons,AEP: Aimed
Dyfed-Powys,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Dyfed-Powys,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Dyfed-Powys,Firearms,*Total Firearms,61.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,72.0,Firearms,Total: Firearms
Dyfed-Powys,Other,*Total Other,142.0,8.0,1.0,0.0,0.0,0.0,9.0,0.0,160.0,Other,Total: Other
Dyfed-Powys,Other,"Dog use, of which",2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,Other,Total: Dog
Dyfed-Powys,Other,Dog deployed,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,Other,Dog: deployed
Dyfed-Powys,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: bite
Dyfed-Powys,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Dyfed-Powys,Other,Other / improvised,140.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,156.0,Other,Other / improvised
Dyfed-Powys,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Dyfed-Powys,Tactical communication,Tactical communication,1903.0,35.0,6.0,2.0,0.0,10.0,120.0,0.0,2076.0,Excluded: Tactical Communication,Tactical Communication
Essex,Total (excluding not reported and tactical communication),*Total Tactics,15620.0,1542.0,401.0,14.0,445.0,179.0,98.0,0.0,18299.0,Total,Total: all
Essex,Restraint,*Total Restraint,10193.0,1006.0,271.0,13.0,298.0,127.0,57.0,0.0,11965.0,Restraint,Total: Restraint
Essex,Restraint,"Handcuffing, of which",6700.0,735.0,214.0,10.0,192.0,95.0,34.0,0.0,7980.0,Restraint,Total: Handcuffing
Essex,Restraint,Compliant handcuffing,3922.0,486.0,163.0,8.0,108.0,69.0,22.0,0.0,4778.0,Restraint,Handcuffing: compliant
Essex,Restraint,Non-compliant handcuffing,2778.0,249.0,51.0,2.0,84.0,26.0,12.0,0.0,3202.0,Restraint,Handcuffing: non-compliant
Essex,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Essex,Restraint,Limb / Body restraints,914.0,68.0,14.0,1.0,24.0,7.0,5.0,0.0,1033.0,Restraint,Limb / body restraints
Essex,Restraint,Ground restraint,2579.0,203.0,43.0,2.0,82.0,25.0,18.0,0.0,2952.0,Restraint,Ground restraint
Essex,Unarmed skills,*Total Unarmed skills,3384.0,315.0,79.0,1.0,91.0,28.0,22.0,0.0,3920.0,Unarmed skills,Total: unarmed skills
Essex,Other equipment,*Total Other equipment,453.0,51.0,13.0,0.0,11.0,8.0,4.0,0.0,540.0,Other equipment,Total: Other equipment
Essex,Other equipment,"Baton, of which",116.0,20.0,5.0,0.0,5.0,2.0,3.0,0.0,151.0,Other equipment,Total: Baton
Essex,Other equipment,Baton drawn,83.0,12.0,4.0,0.0,4.0,2.0,3.0,0.0,108.0,Other equipment,Baton: drawn
Essex,Other equipment,Baton used,33.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,43.0,Other equipment,Baton: used
Essex,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Essex,Other equipment,"Irritant spray, of which",163.0,21.0,1.0,0.0,4.0,3.0,1.0,0.0,193.0,Other equipment,Total: Irritant spray
Essex,Other equipment,Irritant spray - drawn,93.0,16.0,1.0,0.0,3.0,2.0,1.0,0.0,116.0,Other equipment,Irritant spray: drawn
Essex,Other equipment,Irritant spray - used,70.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,Other equipment,Irritant spray: used
Essex,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Essex,Other equipment,Spit and bite guard,136.0,8.0,4.0,0.0,2.0,1.0,0.0,0.0,151.0,Other equipment,Spit and bite guard
Essex,Other equipment,Shield,38.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,45.0,Other equipment,Shield
Essex,Less lethal weapons,*Total Less lethal weapons,225.0,33.0,9.0,0.0,13.0,0.0,2.0,0.0,282.0,Less lethal weapons,Total: Less lethal weapons
Essex,Less lethal weapons,CED,198.0,28.0,7.0,0.0,13.0,0.0,1.0,0.0,247.0,Less lethal weapons,CED
Essex,Less lethal weapons,"AEP, of which",27.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,35.0,Less lethal weapons,Total: AEP
Essex,Less lethal weapons,AEP aimed,25.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,33.0,Less lethal weapons,AEP: Aimed
Essex,Less lethal weapons,AEP fired,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,AEP: Fired
Essex,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Essex,Firearms,*Total Firearms,196.0,16.0,11.0,0.0,6.0,3.0,1.0,0.0,233.0,Firearms,Total: Firearms
Essex,Other,*Total Other,1169.0,121.0,18.0,0.0,26.0,13.0,12.0,0.0,1359.0,Other,Total: Other
Essex,Other,"Dog use, of which",70.0,15.0,1.0,0.0,0.0,2.0,1.0,0.0,89.0,Other,Total: Dog
Essex,Other,Dog deployed,45.0,8.0,1.0,0.0,0.0,2.0,1.0,0.0,57.0,Other,Dog: deployed
Essex,Other,Dog bite,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,Other,Dog: bite
Essex,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Essex,Other,Other / improvised,1099.0,106.0,17.0,0.0,26.0,11.0,11.0,0.0,1270.0,Other,Other / improvised
Essex,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Essex,Tactical communication,Tactical communication,3865.0,353.0,96.0,5.0,112.0,46.0,22.0,0.0,4499.0,Excluded: Tactical Communication,Tactical Communication
Gloucestershire,Total (excluding not reported and tactical communication),*Total Tactics,1385.0,148.0,36.0,0.0,65.0,13.0,12.0,0.0,1659.0,Total,Total: all
Gloucestershire,Restraint,*Total Restraint,896.0,100.0,26.0,0.0,42.0,7.0,5.0,0.0,1076.0,Restraint,Total: Restraint
Gloucestershire,Restraint,"Handcuffing, of which",630.0,69.0,17.0,0.0,29.0,5.0,4.0,0.0,754.0,Restraint,Total: Handcuffing
Gloucestershire,Restraint,Compliant handcuffing,376.0,42.0,9.0,0.0,17.0,4.0,2.0,0.0,450.0,Restraint,Handcuffing: compliant
Gloucestershire,Restraint,Non-compliant handcuffing,254.0,27.0,8.0,0.0,12.0,1.0,2.0,0.0,304.0,Restraint,Handcuffing: non-compliant
Gloucestershire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Gloucestershire,Restraint,Limb / Body restraints,58.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,68.0,Restraint,Limb / body restraints
Gloucestershire,Restraint,Ground restraint,208.0,26.0,7.0,0.0,10.0,2.0,1.0,0.0,254.0,Restraint,Ground restraint
Gloucestershire,Unarmed skills,*Total Unarmed skills,221.0,19.0,6.0,0.0,13.0,2.0,3.0,0.0,264.0,Unarmed skills,Total: unarmed skills
Gloucestershire,Other equipment,*Total Other equipment,101.0,12.0,1.0,0.0,3.0,2.0,2.0,0.0,121.0,Other equipment,Total: Other equipment
Gloucestershire,Other equipment,"Baton, of which",21.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,26.0,Other equipment,Total: Baton
Gloucestershire,Other equipment,Baton drawn,12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,15.0,Other equipment,Baton: drawn
Gloucestershire,Other equipment,Baton used,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,Other equipment,Baton: used
Gloucestershire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Gloucestershire,Other equipment,"Irritant spray, of which",49.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,62.0,Other equipment,Total: Irritant spray
Gloucestershire,Other equipment,Irritant spray - drawn,23.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,Other equipment,Irritant spray: drawn
Gloucestershire,Other equipment,Irritant spray - used,26.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,Other equipment,Irritant spray: used
Gloucestershire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Gloucestershire,Other equipment,Spit and bite guard,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Other equipment,Spit and bite guard
Gloucestershire,Other equipment,Shield,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Other equipment,Shield
Gloucestershire,Less lethal weapons,*Total Less lethal weapons,130.0,12.0,2.0,0.0,7.0,2.0,1.0,0.0,154.0,Less lethal weapons,Total: Less lethal weapons
Gloucestershire,Less lethal weapons,CED,115.0,11.0,2.0,0.0,6.0,2.0,1.0,0.0,137.0,Less lethal weapons,CED
Gloucestershire,Less lethal weapons,"AEP, of which",15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,Less lethal weapons,Total: AEP
Gloucestershire,Less lethal weapons,AEP aimed,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,Less lethal weapons,AEP: Aimed
Gloucestershire,Less lethal weapons,AEP fired,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Less lethal weapons,AEP: Fired
Gloucestershire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Gloucestershire,Firearms,*Total Firearms,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Firearms,Total: Firearms
Gloucestershire,Other,*Total Other,33.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,Other,Total: Other
Gloucestershire,Other,"Dog use, of which",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,Total: Dog
Gloucestershire,Other,Dog deployed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,Dog: deployed
Gloucestershire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: bite
Gloucestershire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Gloucestershire,Other,Other / improvised,33.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,38.0,Other,Other / improvised
Gloucestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Gloucestershire,Tactical communication,Tactical communication,711.0,73.0,18.0,0.0,28.0,7.0,5.0,0.0,842.0,Excluded: Tactical Communication,Tactical Communication
Greater Manchester,Total (excluding not reported and tactical communication),*Total Tactics,10134.0,1321.0,778.0,13.0,441.0,128.0,156.0,0.0,12971.0,Total,Total: all
Greater Manchester,Restraint,*Total Restraint,6212.0,817.0,486.0,9.0,285.0,74.0,72.0,0.0,7955.0,Restraint,Total: Restraint
Greater Manchester,Restraint,"Handcuffing, of which",3141.0,409.0,269.0,8.0,142.0,45.0,38.0,0.0,4052.0,Restraint,Total: Handcuffing
Greater Manchester,Restraint,Compliant handcuffing,1325.0,168.0,153.0,4.0,66.0,24.0,15.0,0.0,1755.0,Restraint,Handcuffing: compliant
Greater Manchester,Restraint,Non-compliant handcuffing,1816.0,241.0,116.0,4.0,76.0,21.0,23.0,0.0,2297.0,Restraint,Handcuffing: non-compliant
Greater Manchester,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Greater Manchester,Restraint,Limb / Body restraints,1621.0,214.0,124.0,1.0,70.0,13.0,23.0,0.0,2066.0,Restraint,Limb / body restraints
Greater Manchester,Restraint,Ground restraint,1450.0,194.0,93.0,0.0,73.0,16.0,11.0,0.0,1837.0,Restraint,Ground restraint
Greater Manchester,Unarmed skills,*Total Unarmed skills,2056.0,246.0,139.0,2.0,76.0,22.0,41.0,0.0,2582.0,Unarmed skills,Total: unarmed skills
Greater Manchester,Other equipment,*Total Other equipment,504.0,82.0,25.0,0.0,21.0,6.0,17.0,0.0,655.0,Other equipment,Total: Other equipment
Greater Manchester,Other equipment,"Baton, of which",236.0,32.0,14.0,0.0,8.0,4.0,17.0,0.0,311.0,Other equipment,Total: Baton
Greater Manchester,Other equipment,Baton drawn,171.0,23.0,9.0,0.0,5.0,4.0,12.0,0.0,224.0,Other equipment,Baton: drawn
Greater Manchester,Other equipment,Baton used,65.0,9.0,5.0,0.0,3.0,0.0,5.0,0.0,87.0,Other equipment,Baton: used
Greater Manchester,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Greater Manchester,Other equipment,"Irritant spray, of which",182.0,33.0,5.0,0.0,9.0,2.0,0.0,0.0,231.0,Other equipment,Total: Irritant spray
Greater Manchester,Other equipment,Irritant spray - drawn,106.0,21.0,4.0,0.0,4.0,1.0,0.0,0.0,136.0,Other equipment,Irritant spray: drawn
Greater Manchester,Other equipment,Irritant spray - used,76.0,12.0,1.0,0.0,5.0,1.0,0.0,0.0,95.0,Other equipment,Irritant spray: used
Greater Manchester,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Greater Manchester,Other equipment,Spit and bite guard,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Other equipment,Spit and bite guard
Greater Manchester,Other equipment,Shield,83.0,17.0,6.0,0.0,4.0,0.0,0.0,0.0,110.0,Other equipment,Shield
Greater Manchester,Less lethal weapons,*Total Less lethal weapons,1122.0,143.0,94.0,2.0,48.0,20.0,18.0,0.0,1447.0,Less lethal weapons,Total: Less lethal weapons
Greater Manchester,Less lethal weapons,CED,1118.0,142.0,94.0,2.0,48.0,20.0,18.0,0.0,1442.0,Less lethal weapons,CED
Greater Manchester,Less lethal weapons,"AEP, of which",4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Less lethal weapons,Total: AEP
Greater Manchester,Less lethal weapons,AEP aimed,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Less lethal weapons,AEP: Aimed
Greater Manchester,Less lethal weapons,AEP fired,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,AEP: Fired
Greater Manchester,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Greater Manchester,Firearms,*Total Firearms,58.0,14.0,20.0,0.0,5.0,2.0,2.0,0.0,101.0,Firearms,Total: Firearms
Greater Manchester,Other,*Total Other,182.0,19.0,14.0,0.0,6.0,4.0,6.0,0.0,231.0,Other,Total: Other
Greater Manchester,Other,"Dog use, of which",26.0,2.0,7.0,0.0,2.0,2.0,0.0,0.0,39.0,Other,Total: Dog
Greater Manchester,Other,Dog deployed,17.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,24.0,Other,Dog: deployed
Greater Manchester,Other,Dog bite,9.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,15.0,Other,Dog: bite
Greater Manchester,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Greater Manchester,Other,Other / improvised,156.0,17.0,7.0,0.0,4.0,2.0,6.0,0.0,192.0,Other,Other / improvised
Greater Manchester,Not reported,*Total Not reported,19.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,Not reported,Total: Not reported
Greater Manchester,Tactical communication,Tactical communication,4257.0,542.0,363.0,7.0,180.0,52.0,76.0,0.0,5477.0,Excluded: Tactical Communication,Tactical Communication
Gwent,Total (excluding not reported and tactical communication),*Total Tactics,6783.0,230.0,255.0,9.0,186.0,86.0,134.0,0.0,7683.0,Total,Total: all
Gwent,Restraint,*Total Restraint,4580.0,155.0,190.0,8.0,125.0,58.0,63.0,0.0,5179.0,Restraint,Total: Restraint
Gwent,Restraint,"Handcuffing, of which",4104.0,135.0,179.0,8.0,105.0,53.0,55.0,0.0,4639.0,Restraint,Total: Handcuffing
Gwent,Restraint,Compliant handcuffing,2828.0,85.0,152.0,6.0,67.0,45.0,40.0,0.0,3223.0,Restraint,Handcuffing: compliant
Gwent,Restraint,Non-compliant handcuffing,1272.0,49.0,27.0,2.0,38.0,7.0,15.0,0.0,1410.0,Restraint,Handcuffing: non-compliant
Gwent,Restraint,Not stated handcuffing,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,Restraint,Handcuffing: not stated
Gwent,Restraint,Limb / Body restraints,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Restraint,Limb / body restraints
Gwent,Restraint,Ground restraint,464.0,19.0,11.0,0.0,20.0,5.0,8.0,0.0,527.0,Restraint,Ground restraint
Gwent,Unarmed skills,*Total Unarmed skills,1484.0,47.0,41.0,0.0,43.0,18.0,30.0,0.0,1663.0,Unarmed skills,Total: unarmed skills
Gwent,Other equipment,*Total Other equipment,380.0,18.0,8.0,0.0,11.0,7.0,31.0,0.0,455.0,Other equipment,Total: Other equipment
Gwent,Other equipment,"Baton, of which",21.0,1.0,3.0,0.0,1.0,6.0,20.0,0.0,52.0,Other equipment,Total: Baton
Gwent,Other equipment,Baton drawn,11.0,1.0,3.0,0.0,1.0,4.0,17.0,0.0,37.0,Other equipment,Baton: drawn
