Police Force,Tactic,ytd,variable,value
Staffordshire,CED,2019-03-31,Not reported,0.0
Suffolk,CED,2019-03-31,Not reported,0.0
Surrey,CED,2019-03-31,Not reported,12.0
Sussex,CED,2019-03-31,Not reported,23.0
Thames Valley,CED,2019-03-31,Not reported,12.0
Warwickshire,CED,2019-03-31,Not reported,0.0
West Mercia,CED,2019-03-31,Not reported,0.0
West Midlands,CED,2019-03-31,Not reported,0.0
West Yorkshire,CED,2019-03-31,Not reported,20.0
Wiltshire,CED,2019-03-31,Not reported,0.0
Avon & Somerset,CED of which,2020-03-31,Not reported,5.0
Bedfordshire,CED of which,2020-03-31,Not reported,5.0
Cambridgeshire,CED of which,2020-03-31,Not reported,2.0
Cheshire,CED of which,2020-03-31,Not reported,0.0
City of London,CED of which,2020-03-31,Not reported,31.0
Cleveland,CED of which,2020-03-31,Not reported,0.0
Cumbria,CED of which,2020-03-31,Not reported,13.0
Derbyshire,CED of which,2020-03-31,Not reported,7.0
Devon & Cornwall,CED of which,2020-03-31,Not reported,84.0
Dorset,CED of which,2020-03-31,Not reported,1.0
Durham,CED of which,2020-03-31,Not reported,0.0
Dyfed-Powys,CED of which,2020-03-31,Not reported,38.0
Essex,CED of which,2020-03-31,Not reported,6.0
Gloucestershire,CED of which,2020-03-31,Not reported,18.0
Greater Manchester,CED of which,2020-03-31,Not reported,0.0
Gwent,CED of which,2020-03-31,Not reported,3.0
Hampshire,CED of which,2020-03-31,Not reported,6.0
Hertfordshire,CED of which,2020-03-31,Not reported,5.0
Humberside,CED of which,2020-03-31,Not reported,21.0
Kent,CED of which,2020-03-31,Not reported,113.0
Lancashire,CED of which,2020-03-31,Not reported,4.0
Leicestershire,CED of which,2020-03-31,Not reported,2.0
Lincolnshire,CED of which,2020-03-31,Not reported,0.0
Merseyside,CED of which,2020-03-31,Not reported,9.0
Metropolitan,CED of which,2020-03-31,Not reported,0.0
Norfolk,CED of which,2020-03-31,Not reported,23.0
North Wales,CED of which,2020-03-31,Not reported,1.0
North Yorkshire,CED of which,2020-03-31,Not reported,0.0
Northamptonshire,CED of which,2020-03-31,Not reported,0.0
Northumbria,CED of which,2020-03-31,Not reported,0.0
Nottinghamshire,CED of which,2020-03-31,Not reported,0.0
South Wales,CED of which,2020-03-31,Not reported,0.0
South Yorkshire,CED of which,2020-03-31,Not reported,0.0
Staffordshire,CED of which,2020-03-31,Not reported,42.0
Suffolk,CED of which,2020-03-31,Not reported,14.0
Surrey,CED of which,2020-03-31,Not reported,0.0
Sussex,CED of which,2020-03-31,Not reported,1.0
Thames Valley,CED of which,2020-03-31,Not reported,11.0
Warwickshire,CED of which,2020-03-31,Not reported,184.0
West Mercia,CED of which,2020-03-31,Not reported,425.0
West Midlands,CED of which,2020-03-31,Not reported,0.0
West Yorkshire,CED of which,2020-03-31,Not reported,25.0
Wiltshire,CED of which,2020-03-31,Not reported,0.0
Avon & Somerset,CED,2019-03-31,Total,733.0
Bedfordshire,CED,2019-03-31,Total,248.0
Cambridgeshire,CED,2019-03-31,Total,205.0
Cheshire,CED,2019-03-31,Total,438.0
City of London,CED,2019-03-31,Total,49.0
Cleveland,CED,2019-03-31,Total,249.0
Cumbria,CED,2019-03-31,Total,214.0
Derbyshire,CED,2019-03-31,Total,153.0
Devon & Cornwall,CED,2019-03-31,Total,696.0
Dorset,CED,2019-03-31,Total,252.0
Durham,CED,2019-03-31,Total,304.0
Dyfed-Powys,CED,2019-03-31,Total,221.0
Essex,CED,2019-03-31,Total,247.0
Gloucestershire,CED,2019-03-31,Total,137.0
Greater Manchester,CED,2019-03-31,Total,1442.0
Gwent,CED,2019-03-31,Total,171.0
Hampshire,CED,2019-03-31,Total,209.0
Hertfordshire,CED,2019-03-31,Total,297.0
Humberside,CED,2019-03-31,Total,572.0
Kent,CED,2019-03-31,Total,588.0
Lancashire,CED,2019-03-31,Total,428.0
Leicestershire,CED,2019-03-31,Total,615.0
Lincolnshire,CED,2019-03-31,Total,267.0
Merseyside,CED,2019-03-31,Total,321.0
Metropolitan,CED,2019-03-31,Total,7396.0
Norfolk,CED,2019-03-31,Total,0.0
North Wales,CED,2019-03-31,Total,130.0
North Yorkshire,CED,2019-03-31,Total,246.0
Northamptonshire,CED,2019-03-31,Total,560.0
Northumbria,CED,2019-03-31,Total,242.0
Nottinghamshire,CED,2019-03-31,Total,197.0
South Wales,CED,2019-03-31,Total,467.0
South Yorkshire,CED,2019-03-31,Total,510.0
Staffordshire,CED,2019-03-31,Total,0.0
Suffolk,CED,2019-03-31,Total,0.0
Surrey,CED,2019-03-31,Total,287.0
Sussex,CED,2019-03-31,Total,391.0
Thames Valley,CED,2019-03-31,Total,778.0
Warwickshire,CED,2019-03-31,Total,0.0
West Mercia,CED,2019-03-31,Total,0.0
West Midlands,CED,2019-03-31,Total,706.0
West Yorkshire,CED,2019-03-31,Total,784.0
Wiltshire,CED,2019-03-31,Total,309.0
Avon & Somerset,CED of which,2020-03-31,Total,1078.0
Bedfordshire,CED of which,2020-03-31,Total,247.0
Cambridgeshire,CED of which,2020-03-31,Total,208.0
Cheshire,CED of which,2020-03-31,Total,487.0
City of London,CED of which,2020-03-31,Total,134.0
Cleveland,CED of which,2020-03-31,Total,330.0
Cumbria,CED of which,2020-03-31,Total,315.0
Derbyshire,CED of which,2020-03-31,Total,211.0
Devon & Cornwall,CED of which,2020-03-31,Total,733.0
Dorset,CED of which,2020-03-31,Total,206.0
Durham,CED of which,2020-03-31,Total,348.0
Dyfed-Powys,CED of which,2020-03-31,Total,299.0
Essex,CED of which,2020-03-31,Total,381.0
Gloucestershire,CED of which,2020-03-31,Total,102.0
Greater Manchester,CED of which,2020-03-31,Total,1543.0
Gwent,CED of which,2020-03-31,Total,218.0
Hampshire,CED of which,2020-03-31,Total,480.0
Hertfordshire,CED of which,2020-03-31,Total,421.0
Humberside,CED of which,2020-03-31,Total,804.0
Kent,CED of which,2020-03-31,Total,863.0
Lancashire,CED of which,2020-03-31,Total,443.0
Leicestershire,CED of which,2020-03-31,Total,765.0
Lincolnshire,CED of which,2020-03-31,Total,395.0
Merseyside,CED of which,2020-03-31,Total,338.0
Metropolitan,CED of which,2020-03-31,Total,10068.0
Norfolk,CED of which,2020-03-31,Total,588.0
North Wales,CED of which,2020-03-31,Total,169.0
North Yorkshire,CED of which,2020-03-31,Total,214.0
Northamptonshire,CED of which,2020-03-31,Total,555.0
Northumbria,CED of which,2020-03-31,Total,343.0
Nottinghamshire,CED of which,2020-03-31,Total,388.0
South Wales,CED of which,2020-03-31,Total,764.0
South Yorkshire,CED of which,2020-03-31,Total,562.0
Staffordshire,CED of which,2020-03-31,Total,173.0
Suffolk,CED of which,2020-03-31,Total,363.0
Surrey,CED of which,2020-03-31,Total,428.0
Sussex,CED of which,2020-03-31,Total,897.0
Thames Valley,CED of which,2020-03-31,Total,1037.0
Warwickshire,CED of which,2020-03-31,Total,184.0
West Mercia,CED of which,2020-03-31,Total,425.0
West Midlands,CED of which,2020-03-31,Total,2427.0
West Yorkshire,CED of which,2020-03-31,Total,868.0
Wiltshire,CED of which,2020-03-31,Total,255.0
