Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported
Cleveland,Other,*Total Other,179.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0,190.0
Cleveland,Other,"Dog use, of which",31.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,37.0
Cleveland,Other,Dog deployed,23.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,27.0
Cleveland,Other,Dog bite,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0
Cleveland,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Other,Other / improvised,148.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,153.0
Cleveland,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,Tactical communication,Tactical communication,6451.0,151.0,181.0,3.0,56.0,36.0,29.0,0.0,6907.0
Cumbria,Total (excluding not reported and tactical communication),*Total Tactics,6115.0,33.0,20.0,5.0,12.0,8.0,59.0,0.0,6252.0
Cumbria,Restraint,*Total Restraint,3521.0,20.0,10.0,5.0,7.0,7.0,29.0,0.0,3599.0
Cumbria,Restraint,"Handcuffing, of which",2642.0,17.0,8.0,3.0,7.0,7.0,21.0,0.0,2705.0
Cumbria,Restraint,Compliant handcuffing,1213.0,9.0,6.0,2.0,4.0,5.0,8.0,0.0,1247.0
Cumbria,Restraint,Non-compliant handcuffing,1429.0,8.0,2.0,1.0,3.0,2.0,13.0,0.0,1458.0
Cumbria,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Restraint,Limb / Body restraints,151.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,156.0
Cumbria,Restraint,Ground restraint,728.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0,738.0
Cumbria,Unarmed skills,*Total Unarmed skills,1684.0,7.0,7.0,0.0,3.0,1.0,11.0,0.0,1713.0
Cumbria,Other equipment,*Total Other equipment,418.0,2.0,1.0,0.0,1.0,0.0,7.0,0.0,429.0
Cumbria,Other equipment,"Baton, of which",20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0
Cumbria,Other equipment,Baton drawn,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
Cumbria,Other equipment,Baton used,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0
Cumbria,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,"Irritant spray, of which",375.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,383.0
Cumbria,Other equipment,Irritant spray - drawn,151.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,154.0
Cumbria,Other equipment,Irritant spray - used,224.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,229.0
Cumbria,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,Spit and bite guard,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Cumbria,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Cumbria,Less lethal weapons,*Total Less lethal weapons,206.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,214.0
Cumbria,Less lethal weapons,CED,206.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,214.0
Cumbria,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Firearms,*Total Firearms,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Cumbria,Other,*Total Other,280.0,3.0,1.0,0.0,1.0,0.0,6.0,0.0,291.0
Cumbria,Other,"Dog use, of which",21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0
Cumbria,Other,Dog deployed,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0
Cumbria,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cumbria,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other,Other / improvised,259.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,268.0
Cumbria,Not reported,*Total Not reported,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Cumbria,Tactical communication,Tactical communication,2596.0,16.0,10.0,2.0,6.0,2.0,19.0,0.0,2651.0
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,5055.0,428.0,213.0,1.0,0.0,26.0,63.0,0.0,5786.0
Derbyshire,Restraint,*Total Restraint,2660.0,217.0,130.0,1.0,0.0,12.0,25.0,0.0,3045.0
Derbyshire,Restraint,"Handcuffing, of which",2031.0,168.0,118.0,1.0,0.0,11.0,20.0,0.0,2349.0
Derbyshire,Restraint,Compliant handcuffing,934.0,75.0,77.0,1.0,0.0,6.0,17.0,0.0,1110.0
Derbyshire,Restraint,Non-compliant handcuffing,1097.0,93.0,41.0,0.0,0.0,5.0,3.0,0.0,1239.0
Derbyshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Restraint,Limb / Body restraints,263.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,283.0
Derbyshire,Restraint,Ground restraint,366.0,36.0,5.0,0.0,0.0,1.0,5.0,0.0,413.0
Derbyshire,Unarmed skills,*Total Unarmed skills,1463.0,126.0,54.0,0.0,0.0,8.0,18.0,0.0,1669.0
Derbyshire,Other equipment,*Total Other equipment,579.0,51.0,13.0,0.0,0.0,5.0,10.0,0.0,658.0
Derbyshire,Other equipment,"Baton, of which",64.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,73.0
Derbyshire,Other equipment,Baton drawn,41.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,49.0
Derbyshire,Other equipment,Baton used,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Derbyshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,"Irritant spray, of which",452.0,38.0,11.0,0.0,0.0,4.0,9.0,0.0,514.0
Derbyshire,Other equipment,Irritant spray - drawn,211.0,20.0,5.0,0.0,0.0,2.0,6.0,0.0,244.0
Derbyshire,Other equipment,Irritant spray - used,241.0,18.0,6.0,0.0,0.0,2.0,3.0,0.0,270.0
Derbyshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,Spit and bite guard,55.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
Derbyshire,Other equipment,Shield,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Derbyshire,Less lethal weapons,*Total Less lethal weapons,143.0,10.0,7.0,0.0,0.0,1.0,4.0,0.0,165.0
Derbyshire,Less lethal weapons,CED,131.0,10.0,7.0,0.0,0.0,1.0,4.0,0.0,153.0
Derbyshire,Less lethal weapons,"AEP, of which",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Derbyshire,Less lethal weapons,AEP aimed,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Derbyshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Firearms,*Total Firearms,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Derbyshire,Other,*Total Other,182.0,20.0,9.0,0.0,0.0,0.0,6.0,0.0,217.0
Derbyshire,Other,"Dog use, of which",11.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0
Derbyshire,Other,Dog deployed,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0
Derbyshire,Other,Dog bite,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Derbyshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other,Other / improvised,171.0,18.0,8.0,0.0,0.0,0.0,5.0,0.0,202.0
Derbyshire,Not reported,*Total Not reported,8.0,5.0,0.0,0.0,0.0,0.0,21.0,0.0,34.0
Derbyshire,Tactical communication,Tactical communication,2178.0,197.0,98.0,1.0,0.0,9.0,28.0,0.0,2511.0
Devon & Cornwall ,Total (excluding not reported and tactical communication),*Total Tactics,10828.0,238.0,83.0,5.0,164.0,54.0,169.0,0.0,11541.0
Devon & Cornwall ,Restraint,*Total Restraint,6137.0,148.0,53.0,3.0,102.0,31.0,97.0,0.0,6571.0
Devon & Cornwall ,Restraint,"Handcuffing, of which",5230.0,134.0,45.0,3.0,88.0,30.0,76.0,0.0,5606.0
Devon & Cornwall ,Restraint,Compliant handcuffing,2301.0,61.0,22.0,1.0,37.0,11.0,22.0,0.0,2455.0
Devon & Cornwall ,Restraint,Non-compliant handcuffing,2929.0,73.0,23.0,2.0,51.0,19.0,54.0,0.0,3151.0
Devon & Cornwall ,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall ,Restraint,Limb / Body restraints,147.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,154.0
Devon & Cornwall ,Restraint,Ground restraint,760.0,14.0,7.0,0.0,13.0,1.0,16.0,0.0,811.0
Devon & Cornwall ,Unarmed skills,*Total Unarmed skills,3546.0,64.0,24.0,1.0,41.0,14.0,46.0,0.0,3736.0
Devon & Cornwall ,Other equipment,*Total Other equipment,261.0,6.0,1.0,0.0,10.0,1.0,5.0,0.0,284.0
Devon & Cornwall ,Other equipment,"Baton, of which",27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0
Devon & Cornwall ,Other equipment,Baton drawn,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
Devon & Cornwall ,Other equipment,Baton used,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Devon & Cornwall ,Other equipment,Not stated baton,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Devon & Cornwall ,Other equipment,"Irritant spray, of which",185.0,6.0,1.0,0.0,8.0,1.0,2.0,0.0,203.0
Devon & Cornwall ,Other equipment,Irritant spray - drawn,161.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,174.0
Devon & Cornwall ,Other equipment,Irritant spray - used,24.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0
Devon & Cornwall ,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall ,Other equipment,Spit and bite guard,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
Devon & Cornwall ,Other equipment,Shield,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0
Devon & Cornwall ,Less lethal weapons,*Total Less lethal weapons,669.0,17.0,4.0,1.0,11.0,7.0,14.0,0.0,723.0
Devon & Cornwall ,Less lethal weapons,CED,644.0,17.0,4.0,1.0,10.0,7.0,13.0,0.0,696.0
Devon & Cornwall ,Less lethal weapons,"AEP, of which",25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0
Devon & Cornwall ,Less lethal weapons,AEP aimed,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Devon & Cornwall ,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall ,Less lethal weapons,Not stated AEP,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0
Devon & Cornwall ,Firearms,*Total Firearms,85.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,90.0
Devon & Cornwall ,Other,*Total Other,130.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,137.0
Devon & Cornwall ,Other,"Dog use, of which",29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0
Devon & Cornwall ,Other,Dog deployed,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Devon & Cornwall ,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall ,Other,Not stated dog,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0
Devon & Cornwall ,Other,Other / improvised,101.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,106.0
Devon & Cornwall ,Not reported,*Total Not reported,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Devon & Cornwall ,Tactical communication,Tactical communication,7988.0,167.0,64.0,3.0,123.0,40.0,107.0,0.0,8492.0
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,10254.0,743.0,114.0,6.0,0.0,78.0,1944.0,0.0,13139.0
Dorset,Restraint,*Total Restraint,8109.0,577.0,86.0,5.0,0.0,60.0,1511.0,0.0,10348.0
Dorset,Restraint,"Handcuffing, of which",5531.0,423.0,69.0,5.0,0.0,48.0,1090.0,0.0,7166.0
Dorset,Restraint,Compliant handcuffing,1821.0,182.0,34.0,4.0,0.0,21.0,415.0,0.0,2477.0
Dorset,Restraint,Non-compliant handcuffing,3710.0,241.0,35.0,1.0,0.0,27.0,675.0,0.0,4689.0
Dorset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Restraint,Limb / Body restraints,610.0,37.0,2.0,0.0,0.0,1.0,115.0,0.0,765.0
Dorset,Restraint,Ground restraint,1968.0,117.0,15.0,0.0,0.0,11.0,306.0,0.0,2417.0
Dorset,Unarmed skills,*Total Unarmed skills,1410.0,96.0,20.0,1.0,0.0,13.0,278.0,0.0,1818.0
Dorset,Other equipment,*Total Other equipment,310.0,36.0,2.0,0.0,0.0,4.0,70.0,0.0,422.0
Dorset,Other equipment,"Baton, of which",23.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,35.0
Dorset,Other equipment,Baton drawn,18.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,28.0
Dorset,Other equipment,Baton used,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Dorset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,"Irritant spray, of which",269.0,32.0,2.0,0.0,0.0,4.0,61.0,0.0,368.0
Dorset,Other equipment,Irritant spray - drawn,74.0,9.0,0.0,0.0,0.0,2.0,16.0,0.0,101.0
Dorset,Other equipment,Irritant spray - used,195.0,23.0,2.0,0.0,0.0,2.0,45.0,0.0,267.0
Dorset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,Spit and bite guard,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
Dorset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,*Total Less lethal weapons,182.0,22.0,3.0,0.0,0.0,1.0,44.0,0.0,252.0
Dorset,Less lethal weapons,CED,182.0,22.0,3.0,0.0,0.0,1.0,44.0,0.0,252.0
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Firearms,*Total Firearms,84.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,91.0
Dorset,Other,*Total Other,159.0,10.0,3.0,0.0,0.0,0.0,36.0,0.0,208.0
Dorset,Other,"Dog use, of which",17.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,25.0
Dorset,Other,Dog deployed,15.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0
Dorset,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Dorset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other,Other / improvised,142.0,9.0,3.0,0.0,0.0,0.0,29.0,0.0,183.0
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Tactical communication,Tactical communication,369.0,25.0,2.0,0.0,0.0,5.0,72.0,0.0,473.0
Durham,Total (excluding not reported and tactical communication),*Total Tactics,8213.0,111.0,67.0,15.0,44.0,17.0,73.0,0.0,8540.0
Durham,Restraint,*Total Restraint,5409.0,69.0,48.0,10.0,27.0,13.0,18.0,0.0,5594.0
Durham,Restraint,"Handcuffing, of which",4386.0,47.0,43.0,9.0,19.0,11.0,16.0,0.0,4531.0
Durham,Restraint,Compliant handcuffing,3091.0,36.0,36.0,7.0,16.0,8.0,12.0,0.0,3206.0
Durham,Restraint,Non-compliant handcuffing,1295.0,11.0,7.0,2.0,3.0,3.0,4.0,0.0,1325.0
Durham,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Restraint,Limb / Body restraints,104.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,108.0
Durham,Restraint,Ground restraint,919.0,19.0,4.0,1.0,8.0,2.0,2.0,0.0,955.0
Durham,Unarmed skills,*Total Unarmed skills,1982.0,29.0,9.0,2.0,12.0,4.0,5.0,0.0,2043.0
Durham,Other equipment,*Total Other equipment,273.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,279.0
Durham,Other equipment,"Baton, of which",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Durham,Other equipment,Baton drawn,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Durham,Other equipment,Baton used,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Durham,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,"Irritant spray, of which",227.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,233.0
Durham,Other equipment,Irritant spray - drawn,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
Durham,Other equipment,Irritant spray - used,148.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,154.0
Durham,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Shield,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Durham,Less lethal weapons,*Total Less lethal weapons,304.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,319.0
Durham,Less lethal weapons,CED,290.0,4.0,5.0,2.0,0.0,0.0,3.0,0.0,304.0
Durham,Less lethal weapons,"AEP, of which",14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0
Durham,Less lethal weapons,AEP aimed,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0
Durham,Less lethal weapons,AEP fired,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Durham,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Firearms,*Total Firearms,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0
Durham,Other,*Total Other,225.0,7.0,1.0,1.0,3.0,0.0,47.0,0.0,284.0
Durham,Other,"Dog use, of which",25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Durham,Other,Dog deployed,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Durham,Other,Dog bite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Durham,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other,Other / improvised,200.0,6.0,1.0,1.0,3.0,0.0,47.0,0.0,258.0
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Tactical communication,Tactical communication,1087.0,20.0,9.0,1.0,12.0,2.0,5.0,0.0,1136.0
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,4800.0,76.0,22.0,4.0,0.0,21.0,288.0,0.0,5211.0
Dyfed-Powys,Restraint,*Total Restraint,2786.0,35.0,14.0,3.0,0.0,12.0,161.0,0.0,3011.0
Dyfed-Powys,Restraint,"Handcuffing, of which",2406.0,34.0,12.0,3.0,0.0,9.0,142.0,0.0,2606.0
Dyfed-Powys,Restraint,Compliant handcuffing,1503.0,24.0,11.0,3.0,0.0,9.0,90.0,0.0,1640.0
Dyfed-Powys,Restraint,Non-compliant handcuffing,903.0,10.0,1.0,0.0,0.0,0.0,52.0,0.0,966.0
Dyfed-Powys,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Restraint,Limb / Body restraints,102.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,110.0
Dyfed-Powys,Restraint,Ground restraint,278.0,1.0,1.0,0.0,0.0,2.0,13.0,0.0,295.0
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,1431.0,23.0,4.0,0.0,0.0,4.0,88.0,0.0,1550.0
Dyfed-Powys,Other equipment,*Total Other equipment,161.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,171.0
Dyfed-Powys,Other equipment,"Baton, of which",12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
Dyfed-Powys,Other equipment,Baton drawn,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
Dyfed-Powys,Other equipment,Baton used,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Dyfed-Powys,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,"Irritant spray, of which",117.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,125.0
Dyfed-Powys,Other equipment,Irritant spray - drawn,41.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,45.0
Dyfed-Powys,Other equipment,Irritant spray - used,76.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,80.0
Dyfed-Powys,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,Spit and bite guard,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Dyfed-Powys,Other equipment,Shield,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,219.0,2.0,3.0,1.0,0.0,3.0,19.0,0.0,247.0
Dyfed-Powys,Less lethal weapons,CED,194.0,2.0,3.0,1.0,0.0,3.0,18.0,0.0,221.0
Dyfed-Powys,Less lethal weapons,"AEP, of which",25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0
Dyfed-Powys,Less lethal weapons,AEP aimed,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0
Dyfed-Powys,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Firearms,*Total Firearms,61.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,72.0
Dyfed-Powys,Other,*Total Other,142.0,8.0,1.0,0.0,0.0,0.0,9.0,0.0,160.0
Dyfed-Powys,Other,"Dog use, of which",2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
Dyfed-Powys,Other,Dog deployed,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
Dyfed-Powys,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Other / improvised,140.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,156.0
Dyfed-Powys,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Tactical communication,Tactical communication,1903.0,35.0,6.0,2.0,0.0,10.0,120.0,0.0,2076.0
Essex,Total (excluding not reported and tactical communication),*Total Tactics,15620.0,1542.0,401.0,14.0,445.0,179.0,98.0,0.0,18299.0
Essex,Restraint,*Total Restraint,10193.0,1006.0,271.0,13.0,298.0,127.0,57.0,0.0,11965.0
Essex,Restraint,"Handcuffing, of which",6700.0,735.0,214.0,10.0,192.0,95.0,34.0,0.0,7980.0
Essex,Restraint,Compliant handcuffing,3922.0,486.0,163.0,8.0,108.0,69.0,22.0,0.0,4778.0
Essex,Restraint,Non-compliant handcuffing,2778.0,249.0,51.0,2.0,84.0,26.0,12.0,0.0,3202.0
Essex,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Restraint,Limb / Body restraints,914.0,68.0,14.0,1.0,24.0,7.0,5.0,0.0,1033.0
Essex,Restraint,Ground restraint,2579.0,203.0,43.0,2.0,82.0,25.0,18.0,0.0,2952.0
Essex,Unarmed skills,*Total Unarmed skills,3384.0,315.0,79.0,1.0,91.0,28.0,22.0,0.0,3920.0
Essex,Other equipment,*Total Other equipment,453.0,51.0,13.0,0.0,11.0,8.0,4.0,0.0,540.0
Essex,Other equipment,"Baton, of which",116.0,20.0,5.0,0.0,5.0,2.0,3.0,0.0,151.0
Essex,Other equipment,Baton drawn,83.0,12.0,4.0,0.0,4.0,2.0,3.0,0.0,108.0
Essex,Other equipment,Baton used,33.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,43.0
Essex,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,"Irritant spray, of which",163.0,21.0,1.0,0.0,4.0,3.0,1.0,0.0,193.0
Essex,Other equipment,Irritant spray - drawn,93.0,16.0,1.0,0.0,3.0,2.0,1.0,0.0,116.0
Essex,Other equipment,Irritant spray - used,70.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0
Essex,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,Spit and bite guard,136.0,8.0,4.0,0.0,2.0,1.0,0.0,0.0,151.0
Essex,Other equipment,Shield,38.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,45.0
Essex,Less lethal weapons,*Total Less lethal weapons,225.0,33.0,9.0,0.0,13.0,0.0,2.0,0.0,282.0
Essex,Less lethal weapons,CED,198.0,28.0,7.0,0.0,13.0,0.0,1.0,0.0,247.0
Essex,Less lethal weapons,"AEP, of which",27.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,35.0
Essex,Less lethal weapons,AEP aimed,25.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,33.0
