Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported
Cumbria,Other equipment,Baton drawn,14.0,0.0,1.0,0.0,0.0,0.0,15.0
Cumbria,Other equipment,Baton used,8.0,0.0,1.0,0.0,0.0,0.0,9.0
Cumbria,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,"Irritant spray, of which",461.0,6.0,1.0,2.0,0.0,0.0,470.0
Cumbria,Other equipment,Irritant spray - drawn,163.0,1.0,1.0,0.0,0.0,0.0,165.0
Cumbria,Other equipment,Irritant spray - used,298.0,5.0,0.0,2.0,0.0,0.0,305.0
Cumbria,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,Spit and bite guard,57.0,0.0,2.0,0.0,1.0,1.0,61.0
Cumbria,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,5.0
Cumbria,Less lethal weapons,*Total Less lethal weapons,308.0,2.0,2.0,1.0,0.0,3.0,316.0
Cumbria,Less lethal weapons,CED of which,307.0,2.0,2.0,1.0,0.0,3.0,315.0
Cumbria,Less lethal weapons,CED non-discharge,276.0,2.0,2.0,1.0,0.0,3.0,284.0
Cumbria,Less lethal weapons,CED discharge,29.0,0.0,0.0,0.0,0.0,0.0,29.0
Cumbria,Less lethal weapons,CED not stated,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Cumbria,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cumbria,Less lethal weapons,AEP drawn,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cumbria,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Firearms,*Total Firearms,7.0,2.0,1.0,0.0,0.0,0.0,10.0
Cumbria,Other,*Total Other,246.0,4.0,2.0,2.0,0.0,2.0,256.0
Cumbria,Other,"Dog use, of which",20.0,0.0,0.0,0.0,0.0,1.0,21.0
Cumbria,Other,Dog deployed,19.0,0.0,0.0,0.0,0.0,1.0,20.0
Cumbria,Other,Dog bite,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cumbria,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other,Other / improvised,226.0,4.0,2.0,2.0,0.0,1.0,235.0
Cumbria,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Tactical communication,Tactical communication,2630.0,24.0,17.0,9.0,5.0,10.0,2695.0
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,6981.0,536.0,269.0,0.0,128.0,42.0,7956.0
Derbyshire,Restraint,*Total Restraint,3646.0,270.0,149.0,0.0,62.0,8.0,4135.0
Derbyshire,Restraint,"Handcuffing, of which",2895.0,214.0,134.0,0.0,56.0,5.0,3304.0
Derbyshire,Restraint,Compliant handcuffing,:,:,:,:,:,:,:
Derbyshire,Restraint,Non-compliant handcuffing,:,:,:,:,:,:,:
Derbyshire,Restraint,Handcuffing not stated,2895.0,214.0,134.0,0.0,56.0,5.0,3304.0
Derbyshire,Restraint,Limb / Body restraints,370.0,24.0,7.0,0.0,2.0,2.0,405.0
Derbyshire,Restraint,Ground restraint,381.0,32.0,8.0,0.0,4.0,1.0,426.0
Derbyshire,Unarmed skills,*Total Unarmed skills,2186.0,165.0,74.0,0.0,33.0,25.0,2483.0
Derbyshire,Other equipment,*Total Other equipment,652.0,44.0,10.0,0.0,16.0,7.0,729.0
Derbyshire,Other equipment,"Baton, of which",64.0,1.0,3.0,0.0,3.0,1.0,72.0
Derbyshire,Other equipment,Baton drawn,43.0,0.0,2.0,0.0,3.0,1.0,49.0
Derbyshire,Other equipment,Baton used,21.0,1.0,1.0,0.0,0.0,0.0,23.0
Derbyshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,"Irritant spray, of which",501.0,36.0,5.0,0.0,12.0,6.0,560.0
Derbyshire,Other equipment,Irritant spray - drawn,209.0,15.0,4.0,0.0,6.0,4.0,238.0
Derbyshire,Other equipment,Irritant spray - used,292.0,21.0,1.0,0.0,6.0,2.0,322.0
Derbyshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,Spit and bite guard,79.0,7.0,2.0,0.0,1.0,0.0,89.0
Derbyshire,Other equipment,Shield,8.0,0.0,0.0,0.0,0.0,0.0,8.0
Derbyshire,Less lethal weapons,*Total Less lethal weapons,175.0,20.0,17.0,0.0,5.0,1.0,218.0
Derbyshire,Less lethal weapons,CED of which,170.0,20.0,16.0,0.0,4.0,1.0,211.0
Derbyshire,Less lethal weapons,CED non-discharge,152.0,18.0,15.0,0.0,3.0,1.0,189.0
Derbyshire,Less lethal weapons,CED discharge,17.0,2.0,1.0,0.0,1.0,0.0,21.0
Derbyshire,Less lethal weapons,CED not stated,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Derbyshire,Less lethal weapons,"AEP, of which",5.0,0.0,1.0,0.0,1.0,0.0,7.0
Derbyshire,Less lethal weapons,AEP drawn,5.0,0.0,1.0,0.0,1.0,0.0,7.0
Derbyshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Firearms,*Total Firearms,24.0,13.0,8.0,0.0,0.0,0.0,45.0
Derbyshire,Other,*Total Other,298.0,24.0,11.0,0.0,12.0,1.0,346.0
Derbyshire,Other,"Dog use, of which",32.0,0.0,0.0,0.0,3.0,1.0,36.0
Derbyshire,Other,Dog deployed,30.0,0.0,0.0,0.0,2.0,1.0,33.0
Derbyshire,Other,Dog bite,2.0,0.0,0.0,0.0,1.0,0.0,3.0
Derbyshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other,Other / improvised,266.0,24.0,11.0,0.0,9.0,0.0,310.0
Derbyshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,42.0,42.0
Derbyshire,Tactical communication,Tactical communication,3105.0,240.0,127.0,0.0,43.0,23.0,3538.0
Devon & Cornwall,Total (excluding not reported and tactical communication),*Total Tactics,16481.0,378.0,134.0,201.0,81.0,420.0,17695.0
Devon & Cornwall,Restraint,*Total Restraint,10153.0,232.0,80.0,112.0,46.0,210.0,10833.0
Devon & Cornwall,Restraint,"Handcuffing, of which",7211.0,173.0,63.0,71.0,34.0,142.0,7694.0
Devon & Cornwall,Restraint,Compliant handcuffing,2950.0,73.0,31.0,31.0,13.0,58.0,3156.0
Devon & Cornwall,Restraint,Non-compliant handcuffing,4261.0,100.0,32.0,40.0,21.0,84.0,4538.0
Devon & Cornwall,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Restraint,Limb / Body restraints,621.0,16.0,3.0,9.0,2.0,21.0,672.0
Devon & Cornwall,Restraint,Ground restraint,2321.0,43.0,14.0,32.0,10.0,47.0,2467.0
Devon & Cornwall,Unarmed skills,*Total Unarmed skills,4682.0,97.0,30.0,57.0,26.0,123.0,5015.0
Devon & Cornwall,Other equipment,*Total Other equipment,671.0,17.0,9.0,17.0,2.0,22.0,738.0
Devon & Cornwall,Other equipment,"Baton, of which",33.0,2.0,1.0,0.0,0.0,1.0,37.0
Devon & Cornwall,Other equipment,Baton drawn,21.0,1.0,0.0,0.0,0.0,1.0,23.0
Devon & Cornwall,Other equipment,Baton used,12.0,1.0,1.0,0.0,0.0,0.0,14.0
Devon & Cornwall,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other equipment,"Irritant spray, of which",331.0,6.0,3.0,11.0,0.0,14.0,365.0
Devon & Cornwall,Other equipment,Irritant spray - drawn,144.0,2.0,2.0,7.0,0.0,6.0,161.0
Devon & Cornwall,Other equipment,Irritant spray - used,187.0,4.0,1.0,4.0,0.0,8.0,204.0
Devon & Cornwall,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other equipment,Spit and bite guard,287.0,9.0,3.0,6.0,2.0,7.0,314.0
Devon & Cornwall,Other equipment,Shield,20.0,0.0,2.0,0.0,0.0,0.0,22.0
Devon & Cornwall,Less lethal weapons,*Total Less lethal weapons,679.0,23.0,9.0,6.0,5.0,31.0,753.0
Devon & Cornwall,Less lethal weapons,CED of which,663.0,23.0,7.0,6.0,5.0,29.0,733.0
Devon & Cornwall,Less lethal weapons,CED non-discharge,563.0,19.0,6.0,6.0,4.0,27.0,625.0
Devon & Cornwall,Less lethal weapons,CED discharge,83.0,4.0,1.0,0.0,1.0,1.0,90.0
Devon & Cornwall,Less lethal weapons,CED not stated,17.0,0.0,0.0,0.0,0.0,1.0,18.0
Devon & Cornwall,Less lethal weapons,"AEP, of which",16.0,0.0,2.0,0.0,0.0,2.0,20.0
Devon & Cornwall,Less lethal weapons,AEP drawn,14.0,0.0,2.0,0.0,0.0,2.0,18.0
Devon & Cornwall,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Devon & Cornwall,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Firearms,*Total Firearms,52.0,4.0,4.0,1.0,0.0,11.0,72.0
Devon & Cornwall,Other,*Total Other,244.0,5.0,2.0,8.0,2.0,23.0,284.0
Devon & Cornwall,Other,"Dog use, of which",20.0,0.0,0.0,5.0,0.0,2.0,27.0
Devon & Cornwall,Other,Dog deployed,12.0,0.0,0.0,2.0,0.0,1.0,15.0
Devon & Cornwall,Other,Dog bite,8.0,0.0,0.0,3.0,0.0,1.0,12.0
Devon & Cornwall,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other,Other / improvised,224.0,5.0,2.0,3.0,2.0,21.0,257.0
Devon & Cornwall,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Tactical communication,Tactical communication,8603.0,207.0,79.0,94.0,40.0,219.0,9242.0
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,11240.0,768.0,146.0,0.0,167.0,387.0,12708.0
Dorset,Restraint,*Total Restraint,8704.0,581.0,113.0,0.0,133.0,296.0,9827.0
Dorset,Restraint,"Handcuffing, of which",5834.0,393.0,90.0,0.0,82.0,189.0,6588.0
Dorset,Restraint,Compliant handcuffing,1967.0,144.0,43.0,0.0,30.0,47.0,2231.0
Dorset,Restraint,Non-compliant handcuffing,3867.0,249.0,47.0,0.0,52.0,142.0,4357.0
Dorset,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Restraint,Limb / Body restraints,665.0,34.0,1.0,0.0,16.0,25.0,741.0
Dorset,Restraint,Ground restraint,2205.0,154.0,22.0,0.0,35.0,82.0,2498.0
Dorset,Unarmed skills,*Total Unarmed skills,1647.0,103.0,23.0,0.0,22.0,53.0,1848.0
Dorset,Other equipment,*Total Other equipment,461.0,49.0,0.0,0.0,4.0,17.0,531.0
Dorset,Other equipment,"Baton, of which",35.0,4.0,0.0,0.0,0.0,1.0,40.0
Dorset,Other equipment,Baton drawn,24.0,2.0,0.0,0.0,0.0,1.0,27.0
Dorset,Other equipment,Baton used,11.0,2.0,0.0,0.0,0.0,0.0,13.0
Dorset,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,"Irritant spray, of which",273.0,34.0,0.0,0.0,0.0,10.0,317.0
Dorset,Other equipment,Irritant spray - drawn,69.0,8.0,0.0,0.0,0.0,4.0,81.0
Dorset,Other equipment,Irritant spray - used,204.0,26.0,0.0,0.0,0.0,6.0,236.0
Dorset,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,Spit and bite guard,150.0,11.0,0.0,0.0,4.0,6.0,171.0
Dorset,Other equipment,Shield,3.0,0.0,0.0,0.0,0.0,0.0,3.0
Dorset,Less lethal weapons,*Total Less lethal weapons,172.0,24.0,2.0,0.0,3.0,5.0,206.0
Dorset,Less lethal weapons,CED of which,172.0,24.0,2.0,0.0,3.0,5.0,206.0
Dorset,Less lethal weapons,CED non-discharge,153.0,24.0,2.0,0.0,3.0,4.0,186.0
Dorset,Less lethal weapons,CED discharge,19.0,0.0,0.0,0.0,0.0,1.0,20.0
Dorset,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Firearms,*Total Firearms,121.0,3.0,7.0,0.0,3.0,9.0,143.0
Dorset,Other,*Total Other,135.0,8.0,1.0,0.0,2.0,7.0,153.0
Dorset,Other,"Dog use, of which",21.0,1.0,0.0,0.0,2.0,3.0,27.0
Dorset,Other,Dog deployed,19.0,1.0,0.0,0.0,2.0,3.0,25.0
Dorset,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Dorset,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other,Other / improvised,114.0,7.0,1.0,0.0,0.0,4.0,126.0
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Tactical communication,Tactical communication,280.0,27.0,4.0,0.0,4.0,14.0,329.0
Durham,Total (excluding not reported and tactical communication),*Total Tactics,9721.0,140.0,102.0,53.0,34.0,34.0,10084.0
Durham,Restraint,*Total Restraint,6543.0,89.0,75.0,40.0,27.0,21.0,6795.0
Durham,Restraint,"Handcuffing, of which",5386.0,70.0,59.0,33.0,22.0,18.0,5588.0
Durham,Restraint,Compliant handcuffing,4039.0,47.0,54.0,25.0,20.0,15.0,4200.0
Durham,Restraint,Non-compliant handcuffing,1347.0,23.0,5.0,8.0,2.0,3.0,1388.0
Durham,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Restraint,Limb / Body restraints,118.0,3.0,4.0,0.0,0.0,0.0,125.0
Durham,Restraint,Ground restraint,1039.0,16.0,12.0,7.0,5.0,3.0,1082.0
Durham,Unarmed skills,*Total Unarmed skills,2266.0,32.0,19.0,9.0,3.0,8.0,2337.0
Durham,Other equipment,*Total Other equipment,288.0,3.0,2.0,1.0,1.0,1.0,296.0
Durham,Other equipment,"Baton, of which",37.0,1.0,0.0,0.0,0.0,0.0,38.0
Durham,Other equipment,Baton drawn,17.0,0.0,0.0,0.0,0.0,0.0,17.0
Durham,Other equipment,Baton used,20.0,1.0,0.0,0.0,0.0,0.0,21.0
Durham,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,"Irritant spray, of which",232.0,1.0,2.0,1.0,1.0,1.0,238.0
Durham,Other equipment,Irritant spray - drawn,74.0,0.0,1.0,1.0,1.0,1.0,78.0
Durham,Other equipment,Irritant spray - used,158.0,1.0,1.0,0.0,0.0,0.0,160.0
Durham,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Spit and bite guard,15.0,1.0,0.0,0.0,0.0,0.0,16.0
Durham,Other equipment,Shield,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Durham,Less lethal weapons,*Total Less lethal weapons,350.0,6.0,2.0,2.0,2.0,2.0,364.0
Durham,Less lethal weapons,CED of which,334.0,6.0,2.0,2.0,2.0,2.0,348.0
Durham,Less lethal weapons,CED non-discharge,281.0,5.0,1.0,0.0,1.0,2.0,290.0
Durham,Less lethal weapons,CED discharge,42.0,1.0,1.0,2.0,1.0,0.0,47.0
Durham,Less lethal weapons,CED not stated,11.0,0.0,0.0,0.0,0.0,0.0,11.0
Durham,Less lethal weapons,"AEP, of which",16.0,0.0,0.0,0.0,0.0,0.0,16.0
Durham,Less lethal weapons,AEP drawn,15.0,0.0,0.0,0.0,0.0,0.0,15.0
Durham,Less lethal weapons,AEP used,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Durham,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Firearms,*Total Firearms,5.0,5.0,0.0,0.0,0.0,0.0,10.0
Durham,Other,*Total Other,269.0,5.0,4.0,1.0,1.0,2.0,282.0
Durham,Other,"Dog use, of which",36.0,0.0,1.0,0.0,0.0,0.0,37.0
Durham,Other,Dog deployed,33.0,0.0,1.0,0.0,0.0,0.0,34.0
Durham,Other,Dog bite,3.0,0.0,0.0,0.0,0.0,0.0,3.0
Durham,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other,Other / improvised,233.0,5.0,3.0,1.0,1.0,2.0,245.0
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Tactical communication,Tactical communication,1535.0,27.0,10.0,7.0,6.0,4.0,1589.0
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,4890.0,79.0,37.0,0.0,17.0,287.0,5310.0
Dyfed-Powys,Restraint,*Total Restraint,2696.0,40.0,18.0,0.0,11.0,134.0,2899.0
Dyfed-Powys,Restraint,"Handcuffing, of which",2322.0,33.0,18.0,0.0,11.0,124.0,2508.0
Dyfed-Powys,Restraint,Compliant handcuffing,1319.0,19.0,17.0,0.0,8.0,70.0,1433.0
Dyfed-Powys,Restraint,Non-compliant handcuffing,1003.0,14.0,1.0,0.0,3.0,54.0,1075.0
Dyfed-Powys,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Restraint,Limb / Body restraints,121.0,1.0,0.0,0.0,0.0,3.0,125.0
Dyfed-Powys,Restraint,Ground restraint,253.0,6.0,0.0,0.0,0.0,7.0,266.0
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,1525.0,22.0,6.0,0.0,2.0,102.0,1657.0
Dyfed-Powys,Other equipment,*Total Other equipment,150.0,0.0,1.0,0.0,0.0,4.0,155.0
Dyfed-Powys,Other equipment,"Baton, of which",18.0,0.0,0.0,0.0,0.0,1.0,19.0
Dyfed-Powys,Other equipment,Baton drawn,13.0,0.0,0.0,0.0,0.0,1.0,14.0
Dyfed-Powys,Other equipment,Baton used,5.0,0.0,0.0,0.0,0.0,0.0,5.0
Dyfed-Powys,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,"Irritant spray, of which",95.0,0.0,1.0,0.0,0.0,2.0,98.0
Dyfed-Powys,Other equipment,Irritant spray - drawn,37.0,0.0,1.0,0.0,0.0,0.0,38.0
Dyfed-Powys,Other equipment,Irritant spray - used,58.0,0.0,0.0,0.0,0.0,2.0,60.0
Dyfed-Powys,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,Spit and bite guard,30.0,0.0,0.0,0.0,0.0,1.0,31.0
Dyfed-Powys,Other equipment,Shield,7.0,0.0,0.0,0.0,0.0,0.0,7.0
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,283.0,8.0,6.0,0.0,1.0,24.0,322.0
Dyfed-Powys,Less lethal weapons,CED of which,262.0,8.0,5.0,0.0,1.0,23.0,299.0
Dyfed-Powys,Less lethal weapons,CED non-discharge,238.0,7.0,5.0,0.0,1.0,22.0,273.0
Dyfed-Powys,Less lethal weapons,CED discharge,24.0,1.0,0.0,0.0,0.0,1.0,26.0
Dyfed-Powys,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,"AEP, of which",21.0,0.0,1.0,0.0,0.0,1.0,23.0
Dyfed-Powys,Less lethal weapons,AEP drawn,21.0,0.0,1.0,0.0,0.0,1.0,23.0
Dyfed-Powys,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Firearms,*Total Firearms,77.0,6.0,5.0,0.0,2.0,3.0,93.0
Dyfed-Powys,Other,*Total Other,159.0,3.0,1.0,0.0,1.0,20.0,184.0
Dyfed-Powys,Other,"Dog use, of which",8.0,0.0,0.0,0.0,0.0,3.0,11.0
Dyfed-Powys,Other,Dog deployed,8.0,0.0,0.0,0.0,0.0,3.0,11.0
Dyfed-Powys,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Other / improvised,151.0,3.0,1.0,0.0,1.0,17.0,173.0
Dyfed-Powys,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Tactical communication,Tactical communication,2130.0,34.0,19.0,0.0,13.0,135.0,2331.0
Essex,Total (excluding not reported and tactical communication),*Total Tactics,17786.0,1911.0,515.0,610.0,185.0,191.0,21198.0
Essex,Restraint,*Total Restraint,12005.0,1320.0,360.0,388.0,139.0,118.0,14330.0
Essex,Restraint,"Handcuffing, of which",7838.0,888.0,272.0,264.0,102.0,73.0,9437.0
Essex,Restraint,Compliant handcuffing,4817.0,587.0,196.0,174.0,79.0,46.0,5899.0
Essex,Restraint,Non-compliant handcuffing,3021.0,301.0,76.0,90.0,23.0,27.0,3538.0
Essex,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Restraint,Limb / Body restraints,1195.0,120.0,30.0,34.0,11.0,19.0,1409.0
Essex,Restraint,Ground restraint,2972.0,312.0,58.0,90.0,26.0,26.0,3484.0
Essex,Unarmed skills,*Total Unarmed skills,3022.0,301.0,71.0,103.0,20.0,32.0,3549.0
Essex,Other equipment,*Total Other equipment,493.0,62.0,12.0,19.0,5.0,17.0,608.0
Essex,Other equipment,"Baton, of which",104.0,16.0,8.0,5.0,4.0,8.0,145.0
Essex,Other equipment,Baton drawn,76.0,13.0,5.0,4.0,3.0,6.0,107.0
Essex,Other equipment,Baton used,28.0,3.0,3.0,1.0,1.0,2.0,38.0
Essex,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,"Irritant spray, of which",137.0,14.0,3.0,4.0,0.0,2.0,160.0
Essex,Other equipment,Irritant spray - drawn,67.0,6.0,2.0,2.0,0.0,0.0,77.0
Essex,Other equipment,Irritant spray - used,70.0,8.0,1.0,2.0,0.0,2.0,83.0
Essex,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,Spit and bite guard,232.0,27.0,1.0,9.0,1.0,7.0,277.0
Essex,Other equipment,Shield,20.0,5.0,0.0,1.0,0.0,0.0,26.0
Essex,Less lethal weapons,*Total Less lethal weapons,317.0,29.0,11.0,20.0,4.0,0.0,381.0
Essex,Less lethal weapons,CED of which,317.0,29.0,11.0,20.0,4.0,0.0,381.0
Essex,Less lethal weapons,CED non-discharge,195.0,16.0,9.0,10.0,3.0,0.0,233.0
Essex,Less lethal weapons,CED discharge,24.0,5.0,0.0,0.0,0.0,0.0,29.0
Essex,Less lethal weapons,CED not stated,98.0,8.0,2.0,10.0,1.0,0.0,119.0
Essex,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Firearms,*Total Firearms,126.0,6.0,10.0,17.0,2.0,1.0,162.0
Essex,Other,*Total Other,1823.0,193.0,51.0,63.0,15.0,23.0,2168.0
Essex,Other,"Dog use, of which",129.0,22.0,7.0,7.0,0.0,2.0,167.0
Essex,Other,Dog deployed,99.0,19.0,6.0,4.0,0.0,2.0,130.0
Essex,Other,Dog bite,30.0,3.0,1.0,3.0,0.0,0.0,37.0
Essex,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other,Other / improvised,1694.0,171.0,44.0,56.0,15.0,21.0,2001.0
Essex,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Tactical communication,Tactical communication,4159.0,412.0,118.0,138.0,33.0,36.0,4896.0
Gloucestershire,Total (excluding not reported and tactical communication),*Total Tactics,1884.0,151.0,23.0,49.0,28.0,1.0,2136.0
Gloucestershire,Restraint,*Total Restraint,1239.0,85.0,16.0,32.0,21.0,1.0,1394.0
Gloucestershire,Restraint,"Handcuffing, of which",813.0,63.0,14.0,23.0,16.0,1.0,930.0
Gloucestershire,Restraint,Compliant handcuffing,466.0,40.0,9.0,16.0,10.0,1.0,542.0
Gloucestershire,Restraint,Non-compliant handcuffing,347.0,23.0,5.0,7.0,6.0,0.0,388.0
Gloucestershire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Restraint,Limb / Body restraints,83.0,2.0,1.0,1.0,2.0,0.0,89.0
Gloucestershire,Restraint,Ground restraint,343.0,20.0,1.0,8.0,3.0,0.0,375.0
Gloucestershire,Unarmed skills,*Total Unarmed skills,353.0,27.0,4.0,8.0,3.0,0.0,395.0
Gloucestershire,Other equipment,*Total Other equipment,125.0,9.0,0.0,2.0,1.0,0.0,137.0
Gloucestershire,Other equipment,"Baton, of which",23.0,2.0,0.0,0.0,0.0,0.0,25.0
Gloucestershire,Other equipment,Baton drawn,14.0,0.0,0.0,0.0,0.0,0.0,14.0
Gloucestershire,Other equipment,Baton used,9.0,2.0,0.0,0.0,0.0,0.0,11.0
Gloucestershire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,"Irritant spray, of which",70.0,3.0,0.0,0.0,1.0,0.0,74.0
Gloucestershire,Other equipment,Irritant spray - drawn,41.0,1.0,0.0,0.0,0.0,0.0,42.0
Gloucestershire,Other equipment,Irritant spray - used,29.0,2.0,0.0,0.0,1.0,0.0,32.0
Gloucestershire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,Spit and bite guard,23.0,2.0,0.0,1.0,0.0,0.0,26.0
Gloucestershire,Other equipment,Shield,9.0,2.0,0.0,1.0,0.0,0.0,12.0
Gloucestershire,Less lethal weapons,*Total Less lethal weapons,98.0,18.0,1.0,3.0,1.0,0.0,121.0
Gloucestershire,Less lethal weapons,CED of which,84.0,14.0,1.0,2.0,1.0,0.0,102.0
Gloucestershire,Less lethal weapons,CED non-discharge,55.0,6.0,1.0,1.0,0.0,0.0,63.0
Gloucestershire,Less lethal weapons,CED discharge,18.0,3.0,0.0,0.0,1.0,0.0,22.0
Gloucestershire,Less lethal weapons,CED not stated,11.0,5.0,0.0,1.0,0.0,0.0,17.0
Gloucestershire,Less lethal weapons,"AEP, of which",14.0,4.0,0.0,1.0,0.0,0.0,19.0
Gloucestershire,Less lethal weapons,AEP drawn,12.0,4.0,0.0,1.0,0.0,0.0,17.0
