Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
CED of which,Sussex,,,Mental,261.0
CED non-discharge,Sussex,,,Mental,220.0
CED discharge,Sussex,,,Mental,41.0
CED not stated,Sussex,,,Mental,0.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,Mental,16.0
AEP drawn,Sussex,,,Mental,14.0
AEP used,Sussex,,,Mental,2.0
AEP not stated,Sussex,,,Mental,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,Mental,25.0
*Total Other,Sussex,Other,Total: Other,Mental,216.0
"Dog use, of which",Sussex,Other,Total: Dog,Mental,10.0
Dog deployed,Sussex,Other,Dog: deployed,Mental,10.0
Dog bite,Sussex,Other,Dog: bite,Mental,0.0
Dog not stated,Sussex,,,Mental,0.0
Other / improvised,Sussex,Other,Other / improvised,Mental,206.0
*Total Not reported,Sussex,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,Mental,2934.0
*Total Tactics,Thames Valley,Total,Total: all,Mental,2188.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,Mental,1227.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,Mental,669.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,Mental,313.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,Mental,354.0
Handcuffing not stated,Thames Valley,,,Mental,2.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,Mental,144.0
Ground restraint,Thames Valley,Restraint,Ground restraint,Mental,414.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,Mental,667.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,Mental,99.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,Mental,17.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,Mental,
Baton used,Thames Valley,Other equipment,Baton: used,Mental,
Baton not stated,Thames Valley,,,Mental,17.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,Mental,40.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,Mental,14.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,Mental,26.0
Irritant spray not stated,Thames Valley,,,Mental,0.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,Mental,36.0
Shield,Thames Valley,Other equipment,Shield,Mental,6.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,Mental,94.0
CED of which,Thames Valley,,,Mental,93.0
CED non-discharge,Thames Valley,,,Mental,66.0
CED discharge,Thames Valley,,,Mental,21.0
CED not stated,Thames Valley,,,Mental,6.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,Mental,1.0
AEP drawn,Thames Valley,,,Mental,1.0
AEP used,Thames Valley,,,Mental,0.0
AEP not stated,Thames Valley,,,Mental,0.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,Mental,2.0
*Total Other,Thames Valley,Other,Total: Other,Mental,99.0
"Dog use, of which",Thames Valley,Other,Total: Dog,Mental,0.0
Dog deployed,Thames Valley,Other,Dog: deployed,Mental,
Dog bite,Thames Valley,Other,Dog: bite,Mental,
Dog not stated,Thames Valley,,,Mental,0.0
Other / improvised,Thames Valley,Other,Other / improvised,Mental,99.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,Mental,138.0
*Total Tactics,Warwickshire,Total,Total: all,Mental,434.0
*Total Restraint,Warwickshire,Restraint,Total: Restraint,Mental,244.0
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,Mental,171.0
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,Mental,57.0
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,Mental,114.0
Handcuffing not stated,Warwickshire,,,Mental,0.0
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,Mental,17.0
Ground restraint,Warwickshire,Restraint,Ground restraint,Mental,56.0
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,Mental,86.0
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,Mental,18.0
"Baton, of which",Warwickshire,Other equipment,Total: Baton,Mental,3.0
Baton drawn,Warwickshire,Other equipment,Baton: drawn,Mental,2.0
Baton used,Warwickshire,Other equipment,Baton: used,Mental,1.0
Baton not stated,Warwickshire,,,Mental,0.0
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,Mental,7.0
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,Mental,6.0
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,Mental,1.0
Irritant spray not stated,Warwickshire,,,Mental,0.0
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,Mental,8.0
Shield,Warwickshire,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,Mental,0.0
CED of which,Warwickshire,,,Mental,
CED non-discharge,Warwickshire,,,Mental,
CED discharge,Warwickshire,,,Mental,
CED not stated,Warwickshire,,,Mental,
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Warwickshire,,,Mental,0.0
AEP used,Warwickshire,,,Mental,0.0
AEP not stated,Warwickshire,,,Mental,0.0
*Total Firearms,Warwickshire,Firearms,Total: Firearms,Mental,10.0
*Total Other,Warwickshire,Other,Total: Other,Mental,76.0
"Dog use, of which",Warwickshire,Other,Total: Dog,Mental,4.0
Dog deployed,Warwickshire,Other,Dog: deployed,Mental,4.0
Dog bite,Warwickshire,Other,Dog: bite,Mental,0.0
Dog not stated,Warwickshire,,,Mental,0.0
Other / improvised,Warwickshire,Other,Other / improvised,Mental,72.0
*Total Not reported,Warwickshire,Not reported,Total: Not reported,Mental,12.0
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,Mental,97.0
*Total Tactics,West Mercia,Total,Total: all,Mental,2260.0
*Total Restraint,West Mercia,Restraint,Total: Restraint,Mental,1209.0
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,Mental,778.0
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,Mental,232.0
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,Mental,546.0
Handcuffing not stated,West Mercia,,,Mental,0.0
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,Mental,79.0
Ground restraint,West Mercia,Restraint,Ground restraint,Mental,352.0
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,Mental,553.0
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,Mental,106.0
"Baton, of which",West Mercia,Other equipment,Total: Baton,Mental,20.0
Baton drawn,West Mercia,Other equipment,Baton: drawn,Mental,10.0
Baton used,West Mercia,Other equipment,Baton: used,Mental,10.0
Baton not stated,West Mercia,,,Mental,0.0
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,Mental,46.0
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,Mental,24.0
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,Mental,22.0
Irritant spray not stated,West Mercia,,,Mental,0.0
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,Mental,28.0
Shield,West Mercia,Other equipment,Shield,Mental,12.0
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,Mental,1.0
CED of which,West Mercia,,,Mental,
CED non-discharge,West Mercia,,,Mental,
CED discharge,West Mercia,,,Mental,
CED not stated,West Mercia,,,Mental,
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,Mental,1.0
AEP drawn,West Mercia,,,Mental,1.0
AEP used,West Mercia,,,Mental,0.0
AEP not stated,West Mercia,,,Mental,0.0
*Total Firearms,West Mercia,Firearms,Total: Firearms,Mental,23.0
*Total Other,West Mercia,Other,Total: Other,Mental,368.0
"Dog use, of which",West Mercia,Other,Total: Dog,Mental,33.0
Dog deployed,West Mercia,Other,Dog: deployed,Mental,33.0
Dog bite,West Mercia,Other,Dog: bite,Mental,0.0
Dog not stated,West Mercia,,,Mental,0.0
Other / improvised,West Mercia,Other,Other / improvised,Mental,335.0
*Total Not reported,West Mercia,Not reported,Total: Not reported,Mental,22.0
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,Mental,553.0
*Total Tactics,West Midlands,Total,Total: all,Mental,1382.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,Mental,625.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,Mental,344.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,Mental,72.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,Mental,272.0
Handcuffing not stated,West Midlands,,,Mental,0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,Mental,118.0
Ground restraint,West Midlands,Restraint,Ground restraint,Mental,163.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,Mental,421.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,Mental,101.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,Mental,12.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,Mental,
Baton used,West Midlands,Other equipment,Baton: used,Mental,
Baton not stated,West Midlands,,,Mental,12.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,Mental,48.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,Mental,
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,Mental,
Irritant spray not stated,West Midlands,,,Mental,48.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,Mental,34.0
Shield,West Midlands,Other equipment,Shield,Mental,7.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,Mental,184.0
CED of which,West Midlands,,,Mental,184.0
CED non-discharge,West Midlands,,,Mental,159.0
CED discharge,West Midlands,,,Mental,25.0
CED not stated,West Midlands,,,Mental,0.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,West Midlands,,,Mental,0.0
AEP used,West Midlands,,,Mental,0.0
AEP not stated,West Midlands,,,Mental,0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,Mental,4.0
*Total Other,West Midlands,Other,Total: Other,Mental,47.0
"Dog use, of which",West Midlands,Other,Total: Dog,Mental,0.0
Dog deployed,West Midlands,Other,Dog: deployed,Mental,
Dog bite,West Midlands,Other,Dog: bite,Mental,
Dog not stated,West Midlands,,,Mental,0.0
Other / improvised,West Midlands,Other,Other / improvised,Mental,47.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,Mental,0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,Mental,0.0
*Total Tactics,West Yorkshire,Total,Total: all,Mental,6123.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,Mental,3224.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,Mental,2694.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,Mental,1209.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,Mental,1485.0
Handcuffing not stated,West Yorkshire,,,Mental,0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,Mental,278.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,Mental,252.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,Mental,2041.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,Mental,471.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,Mental,40.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,Mental,23.0
Baton used,West Yorkshire,Other equipment,Baton: used,Mental,17.0
Baton not stated,West Yorkshire,,,Mental,0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,Mental,321.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,Mental,121.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,Mental,200.0
Irritant spray not stated,West Yorkshire,,,Mental,0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,Mental,100.0
Shield,West Yorkshire,Other equipment,Shield,Mental,10.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,Mental,267.0
CED of which,West Yorkshire,,,Mental,263.0
CED non-discharge,West Yorkshire,,,Mental,226.0
CED discharge,West Yorkshire,,,Mental,37.0
CED not stated,West Yorkshire,,,Mental,0.0
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,Mental,4.0
AEP drawn,West Yorkshire,,,Mental,4.0
AEP used,West Yorkshire,,,Mental,0.0
AEP not stated,West Yorkshire,,,Mental,0.0
*Total Firearms,West Yorkshire,Firearms,Total: Firearms,Mental,14.0
*Total Other,West Yorkshire,Other,Total: Other,Mental,106.0
"Dog use, of which",West Yorkshire,Other,Total: Dog,Mental,1.0
Dog deployed,West Yorkshire,Other,Dog: deployed,Mental,1.0
Dog bite,West Yorkshire,Other,Dog: bite,Mental,0.0
Dog not stated,West Yorkshire,,,Mental,0.0
Other / improvised,West Yorkshire,Other,Other / improvised,Mental,105.0
*Total Not reported,West Yorkshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,West Yorkshire,Excluded: Tactical Communication,Tactical Communication,Mental,3029.0
*Total Tactics,Wiltshire,Total,Total: all,Mental,0.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,Mental,0.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,Mental,0.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,Mental,0.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,Mental,0.0
Handcuffing not stated,Wiltshire,,,Mental,0.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,Mental,0.0
Ground restraint,Wiltshire,Restraint,Ground restraint,Mental,0.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,Mental,0.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,Mental,0.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,Mental,0.0
Baton drawn,Wiltshire,Other equipment,Baton: drawn,Mental,0.0
Baton used,Wiltshire,Other equipment,Baton: used,Mental,0.0
Baton not stated,Wiltshire,,,Mental,0.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,Mental,0.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,Mental,0.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,Mental,0.0
Irritant spray not stated,Wiltshire,,,Mental,0.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,Mental,0.0
Shield,Wiltshire,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,Mental,0.0
CED of which,Wiltshire,,,Mental,0.0
CED non-discharge,Wiltshire,,,Mental,0.0
CED discharge,Wiltshire,,,Mental,0.0
CED not stated,Wiltshire,,,Mental,0.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Wiltshire,,,Mental,0.0
AEP used,Wiltshire,,,Mental,0.0
AEP not stated,Wiltshire,,,Mental,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Wiltshire,Other,Total: Other,Mental,0.0
"Dog use, of which",Wiltshire,Other,Total: Dog,Mental,0.0
Dog deployed,Wiltshire,Other,Dog: deployed,Mental,0.0
Dog bite,Wiltshire,Other,Dog: bite,Mental,0.0
Dog not stated,Wiltshire,,,Mental,0.0
Other / improvised,Wiltshire,Other,Other / improvised,Mental,0.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,Mental,0.0
*Total Tactics,Avon & Somerset,Total,Total: all,Physical,0.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,Physical,0.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,Physical,0.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,Physical,
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,Physical,
Handcuffing not stated,Avon & Somerset,,,Physical,0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,Physical,0.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,Physical,0.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,Physical,0.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,Physical,0.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,Physical,
Baton used,Avon & Somerset,Other equipment,Baton: used,Physical,
Baton not stated,Avon & Somerset,,,Physical,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,Physical,0.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,Physical,
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,Physical,
Irritant spray not stated,Avon & Somerset,,,Physical,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,Physical,0.0
Shield,Avon & Somerset,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,Physical,0.0
CED of which,Avon & Somerset,,,Physical,0.0
CED non-discharge,Avon & Somerset,,,Physical,0.0
CED discharge,Avon & Somerset,,,Physical,0.0
CED not stated,Avon & Somerset,,,Physical,0.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Avon & Somerset,,,Physical,0.0
AEP used,Avon & Somerset,,,Physical,0.0
AEP not stated,Avon & Somerset,,,Physical,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,Physical,0.0
*Total Other,Avon & Somerset,Other,Total: Other,Physical,0.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,Physical,0.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,Physical,
Dog bite,Avon & Somerset,Other,Dog: bite,Physical,
Dog not stated,Avon & Somerset,,,Physical,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,Physical,0.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,Physical,0.0
*Total Tactics,Bedfordshire,Total,Total: all,Physical,24.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,Physical,11.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,Physical,11.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,Physical,5.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,Physical,6.0
Handcuffing not stated,Bedfordshire,,,Physical,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,Physical,0.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,Physical,0.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,Physical,9.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,Physical,2.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,Physical,1.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,Physical,1.0
Baton used,Bedfordshire,Other equipment,Baton: used,Physical,0.0
Baton not stated,Bedfordshire,,,Physical,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,Physical,0.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,Physical,0.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,Physical,0.0
Irritant spray not stated,Bedfordshire,,,Physical,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,Physical,1.0
Shield,Bedfordshire,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,Physical,1.0
CED of which,Bedfordshire,,,Physical,1.0
CED non-discharge,Bedfordshire,,,Physical,1.0
CED discharge,Bedfordshire,,,Physical,0.0
CED not stated,Bedfordshire,,,Physical,0.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Bedfordshire,,,Physical,0.0
AEP used,Bedfordshire,,,Physical,0.0
AEP not stated,Bedfordshire,,,Physical,0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,Physical,0.0
*Total Other,Bedfordshire,Other,Total: Other,Physical,1.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,Physical,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,Physical,0.0
Dog bite,Bedfordshire,Other,Dog: bite,Physical,0.0
Dog not stated,Bedfordshire,,,Physical,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,Physical,1.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,Physical,17.0
*Total Tactics,Cambridgeshire,Total,Total: all,Physical,62.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,Physical,24.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,Physical,18.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,Physical,6.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,Physical,12.0
Handcuffing not stated,Cambridgeshire,,,Physical,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,Physical,2.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,Physical,4.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,Physical,22.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,Physical,5.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,Physical,0.0
Baton used,Cambridgeshire,Other equipment,Baton: used,Physical,0.0
Baton not stated,Cambridgeshire,,,Physical,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,Physical,4.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,Physical,3.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,Physical,1.0
Irritant spray not stated,Cambridgeshire,,,Physical,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,Physical,1.0
Shield,Cambridgeshire,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,Physical,1.0
CED of which,Cambridgeshire,,,Physical,1.0
CED non-discharge,Cambridgeshire,,,Physical,1.0
CED discharge,Cambridgeshire,,,Physical,0.0
CED not stated,Cambridgeshire,,,Physical,0.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Cambridgeshire,,,Physical,0.0
AEP used,Cambridgeshire,,,Physical,0.0
AEP not stated,Cambridgeshire,,,Physical,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,Physical,0.0
*Total Other,Cambridgeshire,Other,Total: Other,Physical,10.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,Physical,0.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,Physical,0.0
Dog bite,Cambridgeshire,Other,Dog: bite,Physical,0.0
Dog not stated,Cambridgeshire,,,Physical,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,Physical,10.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,Physical,35.0
*Total Tactics,Cheshire,Total,Total: all,Physical,122.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,Physical,88.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,Physical,55.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,Physical,30.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,Physical,25.0
Handcuffing not stated,Cheshire,,,Physical,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,Physical,4.0
Ground restraint,Cheshire,Restraint,Ground restraint,Physical,29.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,Physical,19.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,Physical,9.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,Physical,0.0
Baton used,Cheshire,Other equipment,Baton: used,Physical,0.0
Baton not stated,Cheshire,,,Physical,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,Physical,6.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,Physical,2.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,Physical,4.0
Irritant spray not stated,Cheshire,,,Physical,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,Physical,3.0
Shield,Cheshire,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,Physical,6.0
CED of which,Cheshire,,,Physical,6.0
CED non-discharge,Cheshire,,,Physical,6.0
CED discharge,Cheshire,,,Physical,0.0
CED not stated,Cheshire,,,Physical,0.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Cheshire,,,Physical,0.0
AEP used,Cheshire,,,Physical,0.0
AEP not stated,Cheshire,,,Physical,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,Physical,0.0
*Total Other,Cheshire,Other,Total: Other,Physical,0.0
"Dog use, of which",Cheshire,Other,Total: Dog,Physical,0.0
Dog deployed,Cheshire,Other,Dog: deployed,Physical,0.0
Dog bite,Cheshire,Other,Dog: bite,Physical,0.0
Dog not stated,Cheshire,,,Physical,0.0
Other / improvised,Cheshire,Other,Other / improvised,Physical,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,Physical,60.0
*Total Tactics,City of London,Total,Total: all,Physical,6.0
*Total Restraint,City of London,Restraint,Total: Restraint,Physical,3.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,Physical,3.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,Physical,2.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,Physical,1.0
Handcuffing not stated,City of London,,,Physical,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,Physical,0.0
Ground restraint,City of London,Restraint,Ground restraint,Physical,0.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,Physical,1.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,Physical,0.0
"Baton, of which",City of London,Other equipment,Total: Baton,Physical,0.0
Baton drawn,City of London,Other equipment,Baton: drawn,Physical,0.0
Baton used,City of London,Other equipment,Baton: used,Physical,0.0
Baton not stated,City of London,,,Physical,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,Physical,0.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,Physical,0.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,Physical,0.0
Irritant spray not stated,City of London,,,Physical,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,Physical,0.0
Shield,City of London,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,Physical,0.0
CED of which,City of London,,,Physical,0.0
CED non-discharge,City of London,,,Physical,0.0
