Tactic,Police Force,Force type - Output,Tactic - Output,Age,count
CED,Dorset,Less lethal weapons,CED,11 - 17 years,10.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP aimed,Dorset,Less lethal weapons,AEP: Aimed,11 - 17 years,0.0
AEP fired,Dorset,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Dorset,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,11 - 17 years,4.0
*Total Other,Dorset,Other,Total: Other,11 - 17 years,8.0
"Dog use, of which",Dorset,Other,Total: Dog,11 - 17 years,1.0
Dog deployed,Dorset,Other,Dog: deployed,11 - 17 years,1.0
Dog bite,Dorset,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Dorset,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Dorset,Other,Other / improvised,11 - 17 years,7.0
*Total Not reported,Dorset,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,22.0
*Total Tactics,Durham,Total,Total: all,11 - 17 years,749.0
*Total Restraint,Durham,Restraint,Total: Restraint,11 - 17 years,454.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,11 - 17 years,376.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,11 - 17 years,217.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,11 - 17 years,159.0
Not stated handcuffing,Durham,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,11 - 17 years,7.0
Ground restraint,Durham,Restraint,Ground restraint,11 - 17 years,71.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,11 - 17 years,240.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,11 - 17 years,13.0
"Baton, of which",Durham,Other equipment,Total: Baton,11 - 17 years,4.0
Baton drawn,Durham,Other equipment,Baton: drawn,11 - 17 years,4.0
Baton used,Durham,Other equipment,Baton: used,11 - 17 years,0.0
Not stated baton,Durham,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,11 - 17 years,9.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,11 - 17 years,4.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,11 - 17 years,5.0
Not stated irritant spray,Durham,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,11 - 17 years,0.0
Shield,Durham,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,16.0
CED,Durham,Less lethal weapons,CED,11 - 17 years,16.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP aimed,Durham,Less lethal weapons,AEP: Aimed,11 - 17 years,0.0
AEP fired,Durham,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Durham,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,11 - 17 years,1.0
*Total Other,Durham,Other,Total: Other,11 - 17 years,25.0
"Dog use, of which",Durham,Other,Total: Dog,11 - 17 years,2.0
Dog deployed,Durham,Other,Dog: deployed,11 - 17 years,2.0
Dog bite,Durham,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Durham,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Durham,Other,Other / improvised,11 - 17 years,23.0
*Total Not reported,Durham,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,100.0
*Total Tactics,Dyfed-Powys,Total,Total: all,11 - 17 years,563.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,11 - 17 years,298.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,11 - 17 years,241.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,11 - 17 years,100.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,11 - 17 years,141.0
Not stated handcuffing,Dyfed-Powys,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,11 - 17 years,26.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,11 - 17 years,31.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,11 - 17 years,224.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,11 - 17 years,15.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,11 - 17 years,1.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,11 - 17 years,1.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,11 - 17 years,0.0
Not stated baton,Dyfed-Powys,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,11 - 17 years,11.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,11 - 17 years,2.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,11 - 17 years,9.0
Not stated irritant spray,Dyfed-Powys,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,11 - 17 years,3.0
Shield,Dyfed-Powys,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,10.0
CED,Dyfed-Powys,Less lethal weapons,CED,11 - 17 years,9.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP aimed,Dyfed-Powys,Less lethal weapons,AEP: Aimed,11 - 17 years,1.0
AEP fired,Dyfed-Powys,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Dyfed-Powys,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,11 - 17 years,1.0
*Total Other,Dyfed-Powys,Other,Total: Other,11 - 17 years,15.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,11 - 17 years,0.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,11 - 17 years,0.0
Dog bite,Dyfed-Powys,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Dyfed-Powys,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,11 - 17 years,15.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,213.0
*Total Tactics,Essex,Total,Total: all,11 - 17 years,1828.0
*Total Restraint,Essex,Restraint,Total: Restraint,11 - 17 years,1151.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,11 - 17 years,854.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,11 - 17 years,509.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,11 - 17 years,345.0
Not stated handcuffing,Essex,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,11 - 17 years,75.0
Ground restraint,Essex,Restraint,Ground restraint,11 - 17 years,222.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,11 - 17 years,413.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,11 - 17 years,46.0
"Baton, of which",Essex,Other equipment,Total: Baton,11 - 17 years,17.0
Baton drawn,Essex,Other equipment,Baton: drawn,11 - 17 years,14.0
Baton used,Essex,Other equipment,Baton: used,11 - 17 years,3.0
Not stated baton,Essex,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,11 - 17 years,19.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,11 - 17 years,12.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,11 - 17 years,7.0
Not stated irritant spray,Essex,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,11 - 17 years,9.0
Shield,Essex,Other equipment,Shield,11 - 17 years,1.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,24.0
CED,Essex,Less lethal weapons,CED,11 - 17 years,20.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,11 - 17 years,4.0
AEP aimed,Essex,Less lethal weapons,AEP: Aimed,11 - 17 years,4.0
AEP fired,Essex,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Essex,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,11 - 17 years,30.0
*Total Other,Essex,Other,Total: Other,11 - 17 years,164.0
"Dog use, of which",Essex,Other,Total: Dog,11 - 17 years,11.0
Dog deployed,Essex,Other,Dog: deployed,11 - 17 years,7.0
Dog bite,Essex,Other,Dog: bite,11 - 17 years,4.0
Not stated dog,Essex,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Essex,Other,Other / improvised,11 - 17 years,153.0
*Total Not reported,Essex,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,487.0
*Total Tactics,Gloucestershire,Total,Total: all,11 - 17 years,180.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,11 - 17 years,121.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,11 - 17 years,74.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,11 - 17 years,38.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,11 - 17 years,36.0
Not stated handcuffing,Gloucestershire,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,11 - 17 years,13.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,11 - 17 years,34.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,11 - 17 years,35.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,11 - 17 years,9.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,11 - 17 years,0.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,11 - 17 years,0.0
Baton used,Gloucestershire,Other equipment,Baton: used,11 - 17 years,0.0
Not stated baton,Gloucestershire,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,11 - 17 years,4.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,11 - 17 years,2.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,11 - 17 years,2.0
Not stated irritant spray,Gloucestershire,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,11 - 17 years,5.0
Shield,Gloucestershire,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,9.0
CED,Gloucestershire,Less lethal weapons,CED,11 - 17 years,8.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP aimed,Gloucestershire,Less lethal weapons,AEP: Aimed,11 - 17 years,1.0
AEP fired,Gloucestershire,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Gloucestershire,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Gloucestershire,Other,Total: Other,11 - 17 years,6.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,11 - 17 years,0.0
Dog deployed,Gloucestershire,Other,Dog: deployed,11 - 17 years,0.0
Dog bite,Gloucestershire,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Gloucestershire,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,11 - 17 years,6.0
*Total Not reported,Gloucestershire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Gloucestershire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,89.0
*Total Tactics,Greater Manchester,Total,Total: all,11 - 17 years,1331.0
*Total Restraint,Greater Manchester,Restraint,Total: Restraint,11 - 17 years,845.0
"Handcuffing, of which",Greater Manchester,Restraint,Total: Handcuffing,11 - 17 years,427.0
Compliant handcuffing,Greater Manchester,Restraint,Handcuffing: compliant,11 - 17 years,166.0
Non-compliant handcuffing,Greater Manchester,Restraint,Handcuffing: non-compliant,11 - 17 years,261.0
Not stated handcuffing,Greater Manchester,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Greater Manchester,Restraint,Limb / body restraints,11 - 17 years,234.0
Ground restraint,Greater Manchester,Restraint,Ground restraint,11 - 17 years,184.0
*Total Unarmed skills,Greater Manchester,Unarmed skills,Total: unarmed skills,11 - 17 years,294.0
*Total Other equipment,Greater Manchester,Other equipment,Total: Other equipment,11 - 17 years,49.0
"Baton, of which",Greater Manchester,Other equipment,Total: Baton,11 - 17 years,25.0
Baton drawn,Greater Manchester,Other equipment,Baton: drawn,11 - 17 years,22.0
Baton used,Greater Manchester,Other equipment,Baton: used,11 - 17 years,3.0
Not stated baton,Greater Manchester,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Greater Manchester,Other equipment,Total: Irritant spray,11 - 17 years,21.0
Irritant spray - drawn,Greater Manchester,Other equipment,Irritant spray: drawn,11 - 17 years,17.0
Irritant spray - used,Greater Manchester,Other equipment,Irritant spray: used,11 - 17 years,4.0
Not stated irritant spray,Greater Manchester,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Greater Manchester,Other equipment,Spit and bite guard,11 - 17 years,0.0
Shield,Greater Manchester,Other equipment,Shield,11 - 17 years,3.0
*Total Less lethal weapons,Greater Manchester,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,111.0
CED,Greater Manchester,Less lethal weapons,CED,11 - 17 years,110.0
"AEP, of which",Greater Manchester,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP aimed,Greater Manchester,Less lethal weapons,AEP: Aimed,11 - 17 years,1.0
AEP fired,Greater Manchester,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Greater Manchester,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Greater Manchester,Firearms,Total: Firearms,11 - 17 years,4.0
*Total Other,Greater Manchester,Other,Total: Other,11 - 17 years,28.0
"Dog use, of which",Greater Manchester,Other,Total: Dog,11 - 17 years,4.0
Dog deployed,Greater Manchester,Other,Dog: deployed,11 - 17 years,2.0
Dog bite,Greater Manchester,Other,Dog: bite,11 - 17 years,2.0
Not stated dog,Greater Manchester,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Greater Manchester,Other,Other / improvised,11 - 17 years,24.0
*Total Not reported,Greater Manchester,Not reported,Total: Not reported,11 - 17 years,2.0
Tactical communication,Greater Manchester,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,565.0
*Total Tactics,Gwent,Total,Total: all,11 - 17 years,697.0
*Total Restraint,Gwent,Restraint,Total: Restraint,11 - 17 years,452.0
"Handcuffing, of which",Gwent,Restraint,Total: Handcuffing,11 - 17 years,384.0
Compliant handcuffing,Gwent,Restraint,Handcuffing: compliant,11 - 17 years,219.0
Non-compliant handcuffing,Gwent,Restraint,Handcuffing: non-compliant,11 - 17 years,164.0
Not stated handcuffing,Gwent,Restraint,Handcuffing: not stated,11 - 17 years,1.0
Limb / Body restraints,Gwent,Restraint,Limb / body restraints,11 - 17 years,0.0
Ground restraint,Gwent,Restraint,Ground restraint,11 - 17 years,68.0
*Total Unarmed skills,Gwent,Unarmed skills,Total: unarmed skills,11 - 17 years,190.0
*Total Other equipment,Gwent,Other equipment,Total: Other equipment,11 - 17 years,31.0
"Baton, of which",Gwent,Other equipment,Total: Baton,11 - 17 years,0.0
Baton drawn,Gwent,Other equipment,Baton: drawn,11 - 17 years,0.0
Baton used,Gwent,Other equipment,Baton: used,11 - 17 years,0.0
Not stated baton,Gwent,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Gwent,Other equipment,Total: Irritant spray,11 - 17 years,16.0
Irritant spray - drawn,Gwent,Other equipment,Irritant spray: drawn,11 - 17 years,5.0
Irritant spray - used,Gwent,Other equipment,Irritant spray: used,11 - 17 years,11.0
Not stated irritant spray,Gwent,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Gwent,Other equipment,Spit and bite guard,11 - 17 years,15.0
Shield,Gwent,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Gwent,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,5.0
CED,Gwent,Less lethal weapons,CED,11 - 17 years,5.0
"AEP, of which",Gwent,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP aimed,Gwent,Less lethal weapons,AEP: Aimed,11 - 17 years,0.0
AEP fired,Gwent,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Gwent,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Gwent,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Gwent,Other,Total: Other,11 - 17 years,19.0
"Dog use, of which",Gwent,Other,Total: Dog,11 - 17 years,4.0
Dog deployed,Gwent,Other,Dog: deployed,11 - 17 years,4.0
Dog bite,Gwent,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Gwent,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Gwent,Other,Other / improvised,11 - 17 years,15.0
*Total Not reported,Gwent,Not reported,Total: Not reported,11 - 17 years,42.0
Tactical communication,Gwent,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,170.0
*Total Tactics,Hampshire,Total,Total: all,11 - 17 years,613.0
*Total Restraint,Hampshire,Restraint,Total: Restraint,11 - 17 years,386.0
"Handcuffing, of which",Hampshire,Restraint,Total: Handcuffing,11 - 17 years,203.0
Compliant handcuffing,Hampshire,Restraint,Handcuffing: compliant,11 - 17 years,51.0
Non-compliant handcuffing,Hampshire,Restraint,Handcuffing: non-compliant,11 - 17 years,152.0
Not stated handcuffing,Hampshire,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Hampshire,Restraint,Limb / body restraints,11 - 17 years,66.0
Ground restraint,Hampshire,Restraint,Ground restraint,11 - 17 years,117.0
*Total Unarmed skills,Hampshire,Unarmed skills,Total: unarmed skills,11 - 17 years,187.0
*Total Other equipment,Hampshire,Other equipment,Total: Other equipment,11 - 17 years,15.0
"Baton, of which",Hampshire,Other equipment,Total: Baton,11 - 17 years,4.0
Baton drawn,Hampshire,Other equipment,Baton: drawn,11 - 17 years,4.0
Baton used,Hampshire,Other equipment,Baton: used,11 - 17 years,0.0
Not stated baton,Hampshire,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Hampshire,Other equipment,Total: Irritant spray,11 - 17 years,6.0
Irritant spray - drawn,Hampshire,Other equipment,Irritant spray: drawn,11 - 17 years,5.0
Irritant spray - used,Hampshire,Other equipment,Irritant spray: used,11 - 17 years,1.0
Not stated irritant spray,Hampshire,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Hampshire,Other equipment,Spit and bite guard,11 - 17 years,5.0
Shield,Hampshire,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Hampshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,6.0
CED,Hampshire,Less lethal weapons,CED,11 - 17 years,6.0
"AEP, of which",Hampshire,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP aimed,Hampshire,Less lethal weapons,AEP: Aimed,11 - 17 years,0.0
AEP fired,Hampshire,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Hampshire,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Hampshire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Hampshire,Other,Total: Other,11 - 17 years,19.0
"Dog use, of which",Hampshire,Other,Total: Dog,11 - 17 years,1.0
Dog deployed,Hampshire,Other,Dog: deployed,11 - 17 years,1.0
Dog bite,Hampshire,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Hampshire,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Hampshire,Other,Other / improvised,11 - 17 years,18.0
*Total Not reported,Hampshire,Not reported,Total: Not reported,11 - 17 years,1.0
Tactical communication,Hampshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,261.0
*Total Tactics,Hertfordshire,Total,Total: all,11 - 17 years,1798.0
*Total Restraint,Hertfordshire,Restraint,Total: Restraint,11 - 17 years,1086.0
"Handcuffing, of which",Hertfordshire,Restraint,Total: Handcuffing,11 - 17 years,847.0
Compliant handcuffing,Hertfordshire,Restraint,Handcuffing: compliant,11 - 17 years,535.0
Non-compliant handcuffing,Hertfordshire,Restraint,Handcuffing: non-compliant,11 - 17 years,312.0
Not stated handcuffing,Hertfordshire,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Hertfordshire,Restraint,Limb / body restraints,11 - 17 years,73.0
Ground restraint,Hertfordshire,Restraint,Ground restraint,11 - 17 years,166.0
*Total Unarmed skills,Hertfordshire,Unarmed skills,Total: unarmed skills,11 - 17 years,559.0
*Total Other equipment,Hertfordshire,Other equipment,Total: Other equipment,11 - 17 years,74.0
"Baton, of which",Hertfordshire,Other equipment,Total: Baton,11 - 17 years,12.0
Baton drawn,Hertfordshire,Other equipment,Baton: drawn,11 - 17 years,10.0
Baton used,Hertfordshire,Other equipment,Baton: used,11 - 17 years,2.0
Not stated baton,Hertfordshire,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Hertfordshire,Other equipment,Total: Irritant spray,11 - 17 years,47.0
Irritant spray - drawn,Hertfordshire,Other equipment,Irritant spray: drawn,11 - 17 years,28.0
Irritant spray - used,Hertfordshire,Other equipment,Irritant spray: used,11 - 17 years,18.0
Not stated irritant spray,Hertfordshire,Other equipment,Irritant spray: not stated,11 - 17 years,1.0
Spit and bite guard,Hertfordshire,Other equipment,Spit and bite guard,11 - 17 years,13.0
Shield,Hertfordshire,Other equipment,Shield,11 - 17 years,2.0
*Total Less lethal weapons,Hertfordshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,30.0
CED,Hertfordshire,Less lethal weapons,CED,11 - 17 years,30.0
"AEP, of which",Hertfordshire,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP aimed,Hertfordshire,Less lethal weapons,AEP: Aimed,11 - 17 years,0.0
AEP fired,Hertfordshire,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Hertfordshire,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Hertfordshire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Hertfordshire,Other,Total: Other,11 - 17 years,49.0
"Dog use, of which",Hertfordshire,Other,Total: Dog,11 - 17 years,0.0
Dog deployed,Hertfordshire,Other,Dog: deployed,11 - 17 years,0.0
Dog bite,Hertfordshire,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Hertfordshire,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Hertfordshire,Other,Other / improvised,11 - 17 years,49.0
*Total Not reported,Hertfordshire,Not reported,Total: Not reported,11 - 17 years,5.0
Tactical communication,Hertfordshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,1024.0
*Total Tactics,Humberside,Total,Total: all,11 - 17 years,853.0
*Total Restraint,Humberside,Restraint,Total: Restraint,11 - 17 years,451.0
"Handcuffing, of which",Humberside,Restraint,Total: Handcuffing,11 - 17 years,326.0
Compliant handcuffing,Humberside,Restraint,Handcuffing: compliant,11 - 17 years,153.0
Non-compliant handcuffing,Humberside,Restraint,Handcuffing: non-compliant,11 - 17 years,173.0
Not stated handcuffing,Humberside,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Humberside,Restraint,Limb / body restraints,11 - 17 years,40.0
Ground restraint,Humberside,Restraint,Ground restraint,11 - 17 years,85.0
*Total Unarmed skills,Humberside,Unarmed skills,Total: unarmed skills,11 - 17 years,313.0
*Total Other equipment,Humberside,Other equipment,Total: Other equipment,11 - 17 years,31.0
"Baton, of which",Humberside,Other equipment,Total: Baton,11 - 17 years,5.0
Baton drawn,Humberside,Other equipment,Baton: drawn,11 - 17 years,2.0
Baton used,Humberside,Other equipment,Baton: used,11 - 17 years,3.0
Not stated baton,Humberside,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Humberside,Other equipment,Total: Irritant spray,11 - 17 years,18.0
Irritant spray - drawn,Humberside,Other equipment,Irritant spray: drawn,11 - 17 years,11.0
Irritant spray - used,Humberside,Other equipment,Irritant spray: used,11 - 17 years,7.0
Not stated irritant spray,Humberside,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Humberside,Other equipment,Spit and bite guard,11 - 17 years,7.0
Shield,Humberside,Other equipment,Shield,11 - 17 years,1.0
*Total Less lethal weapons,Humberside,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,26.0
CED,Humberside,Less lethal weapons,CED,11 - 17 years,24.0
"AEP, of which",Humberside,Less lethal weapons,Total: AEP,11 - 17 years,2.0
AEP aimed,Humberside,Less lethal weapons,AEP: Aimed,11 - 17 years,2.0
AEP fired,Humberside,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Humberside,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Humberside,Firearms,Total: Firearms,11 - 17 years,2.0
*Total Other,Humberside,Other,Total: Other,11 - 17 years,30.0
"Dog use, of which",Humberside,Other,Total: Dog,11 - 17 years,2.0
Dog deployed,Humberside,Other,Dog: deployed,11 - 17 years,2.0
Dog bite,Humberside,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Humberside,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Humberside,Other,Other / improvised,11 - 17 years,28.0
*Total Not reported,Humberside,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Humberside,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,325.0
*Total Tactics,Kent,Total,Total: all,11 - 17 years,1413.0
*Total Restraint,Kent,Restraint,Total: Restraint,11 - 17 years,915.0
"Handcuffing, of which",Kent,Restraint,Total: Handcuffing,11 - 17 years,670.0
Compliant handcuffing,Kent,Restraint,Handcuffing: compliant,11 - 17 years,353.0
Non-compliant handcuffing,Kent,Restraint,Handcuffing: non-compliant,11 - 17 years,317.0
Not stated handcuffing,Kent,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Kent,Restraint,Limb / body restraints,11 - 17 years,109.0
Ground restraint,Kent,Restraint,Ground restraint,11 - 17 years,136.0
*Total Unarmed skills,Kent,Unarmed skills,Total: unarmed skills,11 - 17 years,334.0
*Total Other equipment,Kent,Other equipment,Total: Other equipment,11 - 17 years,43.0
"Baton, of which",Kent,Other equipment,Total: Baton,11 - 17 years,9.0
Baton drawn,Kent,Other equipment,Baton: drawn,11 - 17 years,7.0
Baton used,Kent,Other equipment,Baton: used,11 - 17 years,2.0
Not stated baton,Kent,Other equipment,Baton: not stated,11 - 17 years,0.0
