Police Force,Type of force,Tactic,Mental,Physical,Physical and mental,None,Not reported,Number of times tactic reported
Derbyshire,Less lethal weapons,"AEP, of which",5.0,0.0,0.0,7.0,0.0,12.0
Derbyshire,Less lethal weapons,AEP aimed,5.0,0.0,0.0,7.0,0.0,12.0
Derbyshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Firearms,*Total Firearms,6.0,0.0,0.0,26.0,0.0,32.0
Derbyshire,Other,*Total Other,79.0,0.0,1.0,137.0,0.0,217.0
Derbyshire,Other,"Dog use, of which",2.0,0.0,0.0,13.0,0.0,15.0
Derbyshire,Other,Dog deployed,1.0,0.0,0.0,10.0,0.0,11.0
Derbyshire,Other,Dog bite,1.0,0.0,0.0,3.0,0.0,4.0
Derbyshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other,Other / improvised,77.0,0.0,1.0,124.0,0.0,202.0
Derbyshire,Not reported,*Total Not reported,0.0,0.0,0.0,34.0,0.0,34.0
Derbyshire,Tactical communication,Tactical communication,795.0,9.0,13.0,1694.0,0.0,2511.0
Devon & Cornwall ,Total (excluding not reported and tactical communication),*Total Tactics,3875.0,66.0,97.0,7503.0,0.0,11541.0
Devon & Cornwall ,Restraint,*Total Restraint,1937.0,36.0,48.0,4550.0,0.0,6571.0
Devon & Cornwall ,Restraint,"Handcuffing, of which",1624.0,29.0,42.0,3911.0,0.0,5606.0
Devon & Cornwall ,Restraint,Compliant handcuffing,499.0,12.0,12.0,1932.0,0.0,2455.0
Devon & Cornwall ,Restraint,Non-compliant handcuffing,1125.0,17.0,30.0,1979.0,0.0,3151.0
Devon & Cornwall ,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall ,Restraint,Limb / Body restraints,53.0,3.0,1.0,97.0,0.0,154.0
Devon & Cornwall ,Restraint,Ground restraint,260.0,4.0,5.0,542.0,0.0,811.0
Devon & Cornwall ,Unarmed skills,*Total Unarmed skills,1488.0,25.0,37.0,2186.0,0.0,3736.0
Devon & Cornwall ,Other equipment,*Total Other equipment,100.0,1.0,0.0,183.0,0.0,284.0
Devon & Cornwall ,Other equipment,"Baton, of which",3.0,0.0,0.0,26.0,0.0,29.0
Devon & Cornwall ,Other equipment,Baton drawn,0.0,0.0,0.0,6.0,0.0,6.0
Devon & Cornwall ,Other equipment,Baton used,1.0,0.0,0.0,0.0,0.0,1.0
Devon & Cornwall ,Other equipment,Not stated baton,2.0,0.0,0.0,20.0,0.0,22.0
Devon & Cornwall ,Other equipment,"Irritant spray, of which",70.0,0.0,0.0,133.0,0.0,203.0
Devon & Cornwall ,Other equipment,Irritant spray - drawn,67.0,0.0,0.0,107.0,0.0,174.0
Devon & Cornwall ,Other equipment,Irritant spray - used,3.0,0.0,0.0,26.0,0.0,29.0
Devon & Cornwall ,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall ,Other equipment,Spit and bite guard,3.0,1.0,0.0,12.0,0.0,16.0
Devon & Cornwall ,Other equipment,Shield,24.0,0.0,0.0,12.0,0.0,36.0
Devon & Cornwall ,Less lethal weapons,*Total Less lethal weapons,284.0,4.0,8.0,427.0,0.0,723.0
Devon & Cornwall ,Less lethal weapons,CED,270.0,4.0,8.0,414.0,0.0,696.0
Devon & Cornwall ,Less lethal weapons,"AEP, of which",14.0,0.0,0.0,13.0,0.0,27.0
Devon & Cornwall ,Less lethal weapons,AEP aimed,0.0,0.0,0.0,3.0,0.0,3.0
Devon & Cornwall ,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall ,Less lethal weapons,Not stated AEP,14.0,0.0,0.0,10.0,0.0,24.0
Devon & Cornwall ,Firearms,*Total Firearms,19.0,0.0,2.0,69.0,0.0,90.0
Devon & Cornwall ,Other,*Total Other,47.0,0.0,2.0,88.0,0.0,137.0
Devon & Cornwall ,Other,"Dog use, of which",4.0,0.0,0.0,27.0,0.0,31.0
Devon & Cornwall ,Other,Dog deployed,0.0,0.0,0.0,3.0,0.0,3.0
Devon & Cornwall ,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall ,Other,Not stated dog,4.0,0.0,0.0,24.0,0.0,28.0
Devon & Cornwall ,Other,Other / improvised,43.0,0.0,2.0,61.0,0.0,106.0
Devon & Cornwall ,Not reported,*Total Not reported,0.0,0.0,0.0,5.0,0.0,5.0
Devon & Cornwall ,Tactical communication,Tactical communication,2988.0,49.0,80.0,5375.0,0.0,8492.0
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,1509.0,495.0,84.0,11051.0,0.0,13139.0
Dorset,Restraint,*Total Restraint,1183.0,375.0,66.0,8724.0,0.0,10348.0
Dorset,Restraint,"Handcuffing, of which",737.0,249.0,42.0,6138.0,0.0,7166.0
Dorset,Restraint,Compliant handcuffing,171.0,75.0,12.0,2219.0,0.0,2477.0
Dorset,Restraint,Non-compliant handcuffing,566.0,174.0,30.0,3919.0,0.0,4689.0
Dorset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Restraint,Limb / Body restraints,115.0,35.0,6.0,609.0,0.0,765.0
Dorset,Restraint,Ground restraint,331.0,91.0,18.0,1977.0,0.0,2417.0
Dorset,Unarmed skills,*Total Unarmed skills,216.0,79.0,10.0,1513.0,0.0,1818.0
Dorset,Other equipment,*Total Other equipment,49.0,22.0,3.0,348.0,0.0,422.0
Dorset,Other equipment,"Baton, of which",3.0,0.0,1.0,31.0,0.0,35.0
Dorset,Other equipment,Baton drawn,2.0,0.0,1.0,25.0,0.0,28.0
Dorset,Other equipment,Baton used,1.0,0.0,0.0,6.0,0.0,7.0
Dorset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,"Irritant spray, of which",41.0,22.0,2.0,303.0,0.0,368.0
Dorset,Other equipment,Irritant spray - drawn,12.0,4.0,0.0,85.0,0.0,101.0
Dorset,Other equipment,Irritant spray - used,29.0,18.0,2.0,218.0,0.0,267.0
Dorset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,Spit and bite guard,5.0,0.0,0.0,14.0,0.0,19.0
Dorset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,*Total Less lethal weapons,37.0,5.0,2.0,208.0,0.0,252.0
Dorset,Less lethal weapons,CED,37.0,5.0,2.0,208.0,0.0,252.0
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Firearms,*Total Firearms,2.0,0.0,0.0,89.0,0.0,91.0
Dorset,Other,*Total Other,22.0,14.0,3.0,169.0,0.0,208.0
Dorset,Other,"Dog use, of which",0.0,0.0,0.0,25.0,0.0,25.0
Dorset,Other,Dog deployed,0.0,0.0,0.0,22.0,0.0,22.0
Dorset,Other,Dog bite,0.0,0.0,0.0,3.0,0.0,3.0
Dorset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other,Other / improvised,22.0,14.0,3.0,144.0,0.0,183.0
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Tactical communication,Tactical communication,78.0,19.0,6.0,370.0,0.0,473.0
Durham,Total (excluding not reported and tactical communication),*Total Tactics,473.0,37.0,9.0,8021.0,0.0,8540.0
Durham,Restraint,*Total Restraint,274.0,26.0,3.0,5291.0,0.0,5594.0
Durham,Restraint,"Handcuffing, of which",197.0,23.0,3.0,4308.0,0.0,4531.0
Durham,Restraint,Compliant handcuffing,98.0,15.0,2.0,3091.0,0.0,3206.0
Durham,Restraint,Non-compliant handcuffing,99.0,8.0,1.0,1217.0,0.0,1325.0
Durham,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Restraint,Limb / Body restraints,14.0,0.0,0.0,94.0,0.0,108.0
Durham,Restraint,Ground restraint,63.0,3.0,0.0,889.0,0.0,955.0
Durham,Unarmed skills,*Total Unarmed skills,142.0,7.0,5.0,1889.0,0.0,2043.0
Durham,Other equipment,*Total Other equipment,18.0,2.0,0.0,259.0,0.0,279.0
Durham,Other equipment,"Baton, of which",1.0,0.0,0.0,35.0,0.0,36.0
Durham,Other equipment,Baton drawn,1.0,0.0,0.0,20.0,0.0,21.0
Durham,Other equipment,Baton used,0.0,0.0,0.0,15.0,0.0,15.0
Durham,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,"Irritant spray, of which",12.0,2.0,0.0,219.0,0.0,233.0
Durham,Other equipment,Irritant spray - drawn,4.0,1.0,0.0,74.0,0.0,79.0
Durham,Other equipment,Irritant spray - used,8.0,1.0,0.0,145.0,0.0,154.0
Durham,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Shield,5.0,0.0,0.0,5.0,0.0,10.0
Durham,Less lethal weapons,*Total Less lethal weapons,22.0,0.0,0.0,297.0,0.0,319.0
Durham,Less lethal weapons,CED,22.0,0.0,0.0,282.0,0.0,304.0
Durham,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,15.0,0.0,15.0
Durham,Less lethal weapons,AEP aimed,0.0,0.0,0.0,13.0,0.0,13.0
Durham,Less lethal weapons,AEP fired,0.0,0.0,0.0,2.0,0.0,2.0
Durham,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Firearms,*Total Firearms,2.0,0.0,0.0,19.0,0.0,21.0
Durham,Other,*Total Other,15.0,2.0,1.0,266.0,0.0,284.0
Durham,Other,"Dog use, of which",1.0,0.0,0.0,25.0,0.0,26.0
Durham,Other,Dog deployed,1.0,0.0,0.0,24.0,0.0,25.0
Durham,Other,Dog bite,0.0,0.0,0.0,1.0,0.0,1.0
Durham,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other,Other / improvised,14.0,2.0,1.0,241.0,0.0,258.0
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Tactical communication,Tactical communication,90.0,3.0,2.0,1041.0,0.0,1136.0
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,1733.0,11.0,31.0,3436.0,0.0,5211.0
Dyfed-Powys,Restraint,*Total Restraint,931.0,8.0,14.0,2058.0,0.0,3011.0
Dyfed-Powys,Restraint,"Handcuffing, of which",762.0,8.0,13.0,1823.0,0.0,2606.0
Dyfed-Powys,Restraint,Compliant handcuffing,386.0,5.0,6.0,1243.0,0.0,1640.0
Dyfed-Powys,Restraint,Non-compliant handcuffing,376.0,3.0,7.0,580.0,0.0,966.0
Dyfed-Powys,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Restraint,Limb / Body restraints,58.0,0.0,0.0,52.0,0.0,110.0
Dyfed-Powys,Restraint,Ground restraint,111.0,0.0,1.0,183.0,0.0,295.0
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,555.0,3.0,10.0,982.0,0.0,1550.0
Dyfed-Powys,Other equipment,*Total Other equipment,59.0,0.0,0.0,112.0,0.0,171.0
Dyfed-Powys,Other equipment,"Baton, of which",3.0,0.0,0.0,10.0,0.0,13.0
Dyfed-Powys,Other equipment,Baton drawn,3.0,0.0,0.0,6.0,0.0,9.0
Dyfed-Powys,Other equipment,Baton used,0.0,0.0,0.0,4.0,0.0,4.0
Dyfed-Powys,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,"Irritant spray, of which",41.0,0.0,0.0,84.0,0.0,125.0
Dyfed-Powys,Other equipment,Irritant spray - drawn,16.0,0.0,0.0,29.0,0.0,45.0
Dyfed-Powys,Other equipment,Irritant spray - used,25.0,0.0,0.0,55.0,0.0,80.0
Dyfed-Powys,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,Spit and bite guard,14.0,0.0,0.0,18.0,0.0,32.0
Dyfed-Powys,Other equipment,Shield,1.0,0.0,0.0,0.0,0.0,1.0
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,111.0,0.0,4.0,132.0,0.0,247.0
Dyfed-Powys,Less lethal weapons,CED,98.0,0.0,3.0,120.0,0.0,221.0
Dyfed-Powys,Less lethal weapons,"AEP, of which",13.0,0.0,1.0,12.0,0.0,26.0
Dyfed-Powys,Less lethal weapons,AEP aimed,13.0,0.0,1.0,12.0,0.0,26.0
Dyfed-Powys,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Firearms,*Total Firearms,20.0,0.0,0.0,52.0,0.0,72.0
Dyfed-Powys,Other,*Total Other,57.0,0.0,3.0,100.0,0.0,160.0
Dyfed-Powys,Other,"Dog use, of which",0.0,0.0,0.0,4.0,0.0,4.0
Dyfed-Powys,Other,Dog deployed,0.0,0.0,0.0,4.0,0.0,4.0
Dyfed-Powys,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Other / improvised,57.0,0.0,3.0,96.0,0.0,156.0
Dyfed-Powys,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Tactical communication,Tactical communication,725.0,5.0,13.0,1333.0,0.0,2076.0
Essex,Total (excluding not reported and tactical communication),*Total Tactics,1986.0,80.0,61.0,16172.0,0.0,18299.0
Essex,Restraint,*Total Restraint,1233.0,46.0,37.0,10649.0,0.0,11965.0
Essex,Restraint,"Handcuffing, of which",670.0,28.0,25.0,7257.0,0.0,7980.0
Essex,Restraint,Compliant handcuffing,234.0,17.0,6.0,4521.0,0.0,4778.0
Essex,Restraint,Non-compliant handcuffing,436.0,11.0,19.0,2736.0,0.0,3202.0
Essex,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Restraint,Limb / Body restraints,176.0,3.0,3.0,851.0,0.0,1033.0
Essex,Restraint,Ground restraint,387.0,15.0,9.0,2541.0,0.0,2952.0
Essex,Unarmed skills,*Total Unarmed skills,487.0,16.0,16.0,3401.0,0.0,3920.0
Essex,Other equipment,*Total Other equipment,60.0,5.0,2.0,473.0,0.0,540.0
Essex,Other equipment,"Baton, of which",17.0,3.0,0.0,131.0,0.0,151.0
Essex,Other equipment,Baton drawn,11.0,3.0,0.0,94.0,0.0,108.0
Essex,Other equipment,Baton used,6.0,0.0,0.0,37.0,0.0,43.0
Essex,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,"Irritant spray, of which",19.0,1.0,2.0,171.0,0.0,193.0
Essex,Other equipment,Irritant spray - drawn,13.0,1.0,1.0,101.0,0.0,116.0
Essex,Other equipment,Irritant spray - used,6.0,0.0,1.0,70.0,0.0,77.0
Essex,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,Spit and bite guard,13.0,1.0,0.0,137.0,0.0,151.0
Essex,Other equipment,Shield,11.0,0.0,0.0,34.0,0.0,45.0
Essex,Less lethal weapons,*Total Less lethal weapons,45.0,1.0,2.0,234.0,0.0,282.0
Essex,Less lethal weapons,CED,39.0,1.0,2.0,205.0,0.0,247.0
Essex,Less lethal weapons,"AEP, of which",6.0,0.0,0.0,29.0,0.0,35.0
Essex,Less lethal weapons,AEP aimed,5.0,0.0,0.0,28.0,0.0,33.0
Essex,Less lethal weapons,AEP fired,1.0,0.0,0.0,1.0,0.0,2.0
Essex,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Firearms,*Total Firearms,12.0,3.0,2.0,216.0,0.0,233.0
Essex,Other,*Total Other,149.0,9.0,2.0,1199.0,0.0,1359.0
Essex,Other,"Dog use, of which",5.0,0.0,0.0,84.0,0.0,89.0
Essex,Other,Dog deployed,4.0,0.0,0.0,53.0,0.0,57.0
Essex,Other,Dog bite,1.0,0.0,0.0,31.0,0.0,32.0
Essex,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other,Other / improvised,144.0,9.0,2.0,1115.0,0.0,1270.0
Essex,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Tactical communication,Tactical communication,520.0,27.0,19.0,3933.0,0.0,4499.0
Gloucestershire,Total (excluding not reported and tactical communication),*Total Tactics,146.0,3.0,4.0,1506.0,0.0,1659.0
Gloucestershire,Restraint,*Total Restraint,87.0,1.0,3.0,985.0,0.0,1076.0
Gloucestershire,Restraint,"Handcuffing, of which",57.0,1.0,3.0,693.0,0.0,754.0
Gloucestershire,Restraint,Compliant handcuffing,29.0,1.0,1.0,419.0,0.0,450.0
Gloucestershire,Restraint,Non-compliant handcuffing,28.0,0.0,2.0,274.0,0.0,304.0
Gloucestershire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Restraint,Limb / Body restraints,8.0,0.0,0.0,60.0,0.0,68.0
Gloucestershire,Restraint,Ground restraint,22.0,0.0,0.0,232.0,0.0,254.0
Gloucestershire,Unarmed skills,*Total Unarmed skills,30.0,0.0,0.0,234.0,0.0,264.0
Gloucestershire,Other equipment,*Total Other equipment,9.0,0.0,0.0,112.0,0.0,121.0
Gloucestershire,Other equipment,"Baton, of which",2.0,0.0,0.0,24.0,0.0,26.0
Gloucestershire,Other equipment,Baton drawn,1.0,0.0,0.0,14.0,0.0,15.0
Gloucestershire,Other equipment,Baton used,1.0,0.0,0.0,10.0,0.0,11.0
Gloucestershire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,"Irritant spray, of which",5.0,0.0,0.0,57.0,0.0,62.0
Gloucestershire,Other equipment,Irritant spray - drawn,3.0,0.0,0.0,23.0,0.0,26.0
Gloucestershire,Other equipment,Irritant spray - used,2.0,0.0,0.0,34.0,0.0,36.0
Gloucestershire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,Spit and bite guard,2.0,0.0,0.0,23.0,0.0,25.0
Gloucestershire,Other equipment,Shield,0.0,0.0,0.0,8.0,0.0,8.0
Gloucestershire,Less lethal weapons,*Total Less lethal weapons,17.0,2.0,1.0,134.0,0.0,154.0
Gloucestershire,Less lethal weapons,CED,14.0,1.0,1.0,121.0,0.0,137.0
Gloucestershire,Less lethal weapons,"AEP, of which",3.0,1.0,0.0,13.0,0.0,17.0
Gloucestershire,Less lethal weapons,AEP aimed,1.0,1.0,0.0,11.0,0.0,13.0
Gloucestershire,Less lethal weapons,AEP fired,2.0,0.0,0.0,2.0,0.0,4.0
Gloucestershire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Firearms,*Total Firearms,0.0,0.0,0.0,5.0,0.0,5.0
Gloucestershire,Other,*Total Other,3.0,0.0,0.0,36.0,0.0,39.0
Gloucestershire,Other,"Dog use, of which",0.0,0.0,0.0,1.0,0.0,1.0
Gloucestershire,Other,Dog deployed,0.0,0.0,0.0,1.0,0.0,1.0
Gloucestershire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Other / improvised,3.0,0.0,0.0,35.0,0.0,38.0
Gloucestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Tactical communication,Tactical communication,66.0,2.0,2.0,772.0,0.0,842.0
Greater Manchester,Total (excluding not reported and tactical communication),*Total Tactics,1603.0,107.0,47.0,11214.0,0.0,12971.0
Greater Manchester,Restraint,*Total Restraint,975.0,68.0,28.0,6884.0,0.0,7955.0
Greater Manchester,Restraint,"Handcuffing, of which",448.0,35.0,13.0,3556.0,0.0,4052.0
Greater Manchester,Restraint,Compliant handcuffing,137.0,7.0,8.0,1603.0,0.0,1755.0
Greater Manchester,Restraint,Non-compliant handcuffing,311.0,28.0,5.0,1953.0,0.0,2297.0
Greater Manchester,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Restraint,Limb / Body restraints,297.0,19.0,10.0,1740.0,0.0,2066.0
Greater Manchester,Restraint,Ground restraint,230.0,14.0,5.0,1588.0,0.0,1837.0
Greater Manchester,Unarmed skills,*Total Unarmed skills,306.0,23.0,13.0,2240.0,0.0,2582.0
Greater Manchester,Other equipment,*Total Other equipment,93.0,5.0,0.0,557.0,0.0,655.0
Greater Manchester,Other equipment,"Baton, of which",25.0,2.0,0.0,284.0,0.0,311.0
Greater Manchester,Other equipment,Baton drawn,20.0,2.0,0.0,202.0,0.0,224.0
Greater Manchester,Other equipment,Baton used,5.0,0.0,0.0,82.0,0.0,87.0
Greater Manchester,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,"Irritant spray, of which",23.0,2.0,0.0,206.0,0.0,231.0
Greater Manchester,Other equipment,Irritant spray - drawn,13.0,1.0,0.0,122.0,0.0,136.0
Greater Manchester,Other equipment,Irritant spray - used,10.0,1.0,0.0,84.0,0.0,95.0
Greater Manchester,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,Spit and bite guard,2.0,0.0,0.0,1.0,0.0,3.0
Greater Manchester,Other equipment,Shield,43.0,1.0,0.0,66.0,0.0,110.0
Greater Manchester,Less lethal weapons,*Total Less lethal weapons,200.0,7.0,5.0,1235.0,0.0,1447.0
Greater Manchester,Less lethal weapons,CED,198.0,7.0,5.0,1232.0,0.0,1442.0
Greater Manchester,Less lethal weapons,"AEP, of which",2.0,0.0,0.0,3.0,0.0,5.0
Greater Manchester,Less lethal weapons,AEP aimed,1.0,0.0,0.0,2.0,0.0,3.0
Greater Manchester,Less lethal weapons,AEP fired,1.0,0.0,0.0,1.0,0.0,2.0
Greater Manchester,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Firearms,*Total Firearms,4.0,1.0,0.0,96.0,0.0,101.0
Greater Manchester,Other,*Total Other,25.0,3.0,1.0,202.0,0.0,231.0
Greater Manchester,Other,"Dog use, of which",0.0,0.0,0.0,39.0,0.0,39.0
Greater Manchester,Other,Dog deployed,0.0,0.0,0.0,24.0,0.0,24.0
Greater Manchester,Other,Dog bite,0.0,0.0,0.0,15.0,0.0,15.0
Greater Manchester,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other,Other / improvised,25.0,3.0,1.0,163.0,0.0,192.0
Greater Manchester,Not reported,*Total Not reported,5.0,0.0,0.0,25.0,0.0,30.0
Greater Manchester,Tactical communication,Tactical communication,663.0,39.0,23.0,4752.0,0.0,5477.0
Gwent,Total (excluding not reported and tactical communication),*Total Tactics,475.0,48.0,16.0,7144.0,0.0,7683.0
Gwent,Restraint,*Total Restraint,270.0,35.0,8.0,4866.0,0.0,5179.0
Gwent,Restraint,"Handcuffing, of which",244.0,31.0,7.0,4357.0,0.0,4639.0
Gwent,Restraint,Compliant handcuffing,131.0,23.0,4.0,3065.0,0.0,3223.0
Gwent,Restraint,Non-compliant handcuffing,113.0,8.0,3.0,1286.0,0.0,1410.0
Gwent,Restraint,Not stated handcuffing,0.0,0.0,0.0,6.0,0.0,6.0
Gwent,Restraint,Limb / Body restraints,1.0,0.0,0.0,12.0,0.0,13.0
Gwent,Restraint,Ground restraint,25.0,4.0,1.0,497.0,0.0,527.0
Gwent,Unarmed skills,*Total Unarmed skills,146.0,5.0,6.0,1506.0,0.0,1663.0
Gwent,Other equipment,*Total Other equipment,26.0,4.0,2.0,423.0,0.0,455.0
Gwent,Other equipment,"Baton, of which",0.0,0.0,0.0,52.0,0.0,52.0
Gwent,Other equipment,Baton drawn,0.0,0.0,0.0,37.0,0.0,37.0
Gwent,Other equipment,Baton used,0.0,0.0,0.0,15.0,0.0,15.0
Gwent,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,"Irritant spray, of which",14.0,2.0,0.0,251.0,0.0,267.0
Gwent,Other equipment,Irritant spray - drawn,5.0,1.0,0.0,115.0,0.0,121.0
Gwent,Other equipment,Irritant spray - used,9.0,1.0,0.0,136.0,0.0,146.0
Gwent,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,Spit and bite guard,7.0,1.0,2.0,111.0,0.0,121.0
Gwent,Other equipment,Shield,5.0,1.0,0.0,9.0,0.0,15.0
Gwent,Less lethal weapons,*Total Less lethal weapons,14.0,1.0,0.0,163.0,0.0,178.0
Gwent,Less lethal weapons,CED,13.0,0.0,0.0,158.0,0.0,171.0
Gwent,Less lethal weapons,"AEP, of which",1.0,1.0,0.0,5.0,0.0,7.0
Gwent,Less lethal weapons,AEP aimed,0.0,1.0,0.0,5.0,0.0,6.0
Gwent,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Less lethal weapons,Not stated AEP,1.0,0.0,0.0,0.0,0.0,1.0
Gwent,Firearms,*Total Firearms,3.0,0.0,0.0,28.0,0.0,31.0
Gwent,Other,*Total Other,16.0,3.0,0.0,158.0,0.0,177.0
Gwent,Other,"Dog use, of which",0.0,0.0,0.0,29.0,0.0,29.0
Gwent,Other,Dog deployed,0.0,0.0,0.0,27.0,0.0,27.0
Gwent,Other,Dog bite,0.0,0.0,0.0,2.0,0.0,2.0
Gwent,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other,Other / improvised,16.0,3.0,0.0,129.0,0.0,148.0
Gwent,Not reported,*Total Not reported,19.0,3.0,0.0,373.0,0.0,395.0
Gwent,Tactical communication,Tactical communication,148.0,13.0,4.0,1598.0,0.0,1763.0
Hampshire,Total (excluding not reported and tactical communication),*Total Tactics,669.0,66.0,30.0,7763.0,0.0,8528.0
Hampshire,Restraint,*Total Restraint,414.0,41.0,17.0,4766.0,0.0,5238.0
Hampshire,Restraint,"Handcuffing, of which",211.0,25.0,5.0,2590.0,0.0,2831.0
Hampshire,Restraint,Compliant handcuffing,54.0,6.0,1.0,696.0,0.0,757.0
Hampshire,Restraint,Non-compliant handcuffing,157.0,19.0,4.0,1894.0,0.0,2074.0
Hampshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Restraint,Limb / Body restraints,70.0,5.0,3.0,643.0,0.0,721.0
Hampshire,Restraint,Ground restraint,133.0,11.0,9.0,1533.0,0.0,1686.0
Hampshire,Unarmed skills,*Total Unarmed skills,193.0,20.0,7.0,2167.0,0.0,2387.0
Hampshire,Other equipment,*Total Other equipment,20.0,3.0,3.0,379.0,0.0,405.0
Hampshire,Other equipment,"Baton, of which",1.0,0.0,0.0,72.0,0.0,73.0
Hampshire,Other equipment,Baton drawn,1.0,0.0,0.0,61.0,0.0,62.0
Hampshire,Other equipment,Baton used,0.0,0.0,0.0,11.0,0.0,11.0
