Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Cumbria,Other equipment,"Baton, of which",1.0,0.0,12.0,7.0,0.0,0.0,3.0,23.0
Cumbria,Other equipment,Baton drawn,0.0,0.0,7.0,1.0,0.0,0.0,1.0,9.0
Cumbria,Other equipment,Baton used,1.0,0.0,5.0,6.0,0.0,0.0,2.0,14.0
Cumbria,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,"Irritant spray, of which",0.0,26.0,213.0,101.0,23.0,4.0,16.0,383.0
Cumbria,Other equipment,Irritant spray - drawn,0.0,14.0,85.0,39.0,10.0,0.0,6.0,154.0
Cumbria,Other equipment,Irritant spray - used,0.0,12.0,128.0,62.0,13.0,4.0,10.0,229.0
Cumbria,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,Spit and bite guard,0.0,3.0,9.0,6.0,0.0,0.0,0.0,18.0
Cumbria,Other equipment,Shield,0.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0
Cumbria,Less lethal weapons,*Total Less lethal weapons,1.0,7.0,141.0,43.0,11.0,1.0,10.0,214.0
Cumbria,Less lethal weapons,CED,1.0,7.0,141.0,43.0,11.0,1.0,10.0,214.0
Cumbria,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Firearms,*Total Firearms,0.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0
Cumbria,Other,*Total Other,3.0,20.0,152.0,76.0,22.0,2.0,16.0,291.0
Cumbria,Other,"Dog use, of which",0.0,1.0,7.0,9.0,2.0,0.0,4.0,23.0
Cumbria,Other,Dog deployed,0.0,1.0,6.0,8.0,2.0,0.0,4.0,21.0
Cumbria,Other,Dog bite,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Cumbria,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other,Other / improvised,3.0,19.0,145.0,67.0,20.0,2.0,12.0,268.0
Cumbria,Not reported,*Total Not reported,0.0,2.0,3.0,1.0,4.0,0.0,2.0,12.0
Cumbria,Tactical communication,Tactical communication,8.0,233.0,1497.0,628.0,164.0,33.0,88.0,2651.0
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,4.0,447.0,3278.0,1517.0,374.0,30.0,136.0,5786.0
Derbyshire,Restraint,*Total Restraint,2.0,229.0,1748.0,804.0,192.0,16.0,54.0,3045.0
Derbyshire,Restraint,"Handcuffing, of which",1.0,198.0,1285.0,641.0,169.0,12.0,43.0,2349.0
Derbyshire,Restraint,Compliant handcuffing,0.0,101.0,591.0,301.0,86.0,6.0,25.0,1110.0
Derbyshire,Restraint,Non-compliant handcuffing,1.0,97.0,694.0,340.0,83.0,6.0,18.0,1239.0
Derbyshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Restraint,Limb / Body restraints,0.0,9.0,192.0,64.0,10.0,4.0,4.0,283.0
Derbyshire,Restraint,Ground restraint,1.0,22.0,271.0,99.0,13.0,0.0,7.0,413.0
Derbyshire,Unarmed skills,*Total Unarmed skills,1.0,144.0,945.0,423.0,100.0,9.0,47.0,1669.0
Derbyshire,Other equipment,*Total Other equipment,0.0,37.0,380.0,174.0,50.0,0.0,17.0,658.0
Derbyshire,Other equipment,"Baton, of which",0.0,7.0,41.0,14.0,5.0,0.0,6.0,73.0
Derbyshire,Other equipment,Baton drawn,0.0,5.0,26.0,9.0,4.0,0.0,5.0,49.0
Derbyshire,Other equipment,Baton used,0.0,2.0,15.0,5.0,1.0,0.0,1.0,24.0
Derbyshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,"Irritant spray, of which",0.0,28.0,301.0,133.0,41.0,0.0,11.0,514.0
Derbyshire,Other equipment,Irritant spray - drawn,0.0,13.0,140.0,63.0,21.0,0.0,7.0,244.0
Derbyshire,Other equipment,Irritant spray - used,0.0,15.0,161.0,70.0,20.0,0.0,4.0,270.0
Derbyshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,Spit and bite guard,0.0,2.0,32.0,24.0,4.0,0.0,0.0,62.0
Derbyshire,Other equipment,Shield,0.0,0.0,6.0,3.0,0.0,0.0,0.0,9.0
Derbyshire,Less lethal weapons,*Total Less lethal weapons,0.0,7.0,90.0,51.0,12.0,1.0,4.0,165.0
Derbyshire,Less lethal weapons,CED,0.0,7.0,82.0,48.0,11.0,1.0,4.0,153.0
Derbyshire,Less lethal weapons,"AEP, of which",0.0,0.0,8.0,3.0,1.0,0.0,0.0,12.0
Derbyshire,Less lethal weapons,AEP aimed,0.0,0.0,8.0,3.0,1.0,0.0,0.0,12.0
Derbyshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Firearms,*Total Firearms,0.0,2.0,16.0,4.0,10.0,0.0,0.0,32.0
Derbyshire,Other,*Total Other,1.0,28.0,99.0,61.0,10.0,4.0,14.0,217.0
Derbyshire,Other,"Dog use, of which",0.0,2.0,8.0,3.0,0.0,0.0,2.0,15.0
Derbyshire,Other,Dog deployed,0.0,1.0,6.0,2.0,0.0,0.0,2.0,11.0
Derbyshire,Other,Dog bite,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0
Derbyshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other,Other / improvised,1.0,26.0,91.0,58.0,10.0,4.0,12.0,202.0
Derbyshire,Not reported,*Total Not reported,0.0,0.0,13.0,0.0,0.0,0.0,21.0,34.0
Derbyshire,Tactical communication,Tactical communication,3.0,202.0,1399.0,649.0,176.0,16.0,66.0,2511.0
Devon & Cornwall,Total (excluding not reported and tactical communication),*Total Tactics,13.0,845.0,5268.0,2339.0,512.0,74.0,2490.0,11541.0
Devon & Cornwall,Restraint,*Total Restraint,3.0,438.0,3026.0,1352.0,289.0,28.0,1435.0,6571.0
Devon & Cornwall,Restraint,"Handcuffing, of which",3.0,371.0,2518.0,1192.0,254.0,24.0,1244.0,5606.0
Devon & Cornwall,Restraint,Compliant handcuffing,0.0,147.0,1057.0,583.0,129.0,12.0,527.0,2455.0
Devon & Cornwall,Restraint,Non-compliant handcuffing,3.0,224.0,1461.0,609.0,125.0,12.0,717.0,3151.0
Devon & Cornwall,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Restraint,Limb / Body restraints,0.0,12.0,81.0,31.0,3.0,1.0,26.0,154.0
Devon & Cornwall,Restraint,Ground restraint,0.0,55.0,427.0,129.0,32.0,3.0,165.0,811.0
Devon & Cornwall,Unarmed skills,*Total Unarmed skills,8.0,353.0,1685.0,705.0,168.0,33.0,784.0,3736.0
Devon & Cornwall,Other equipment,*Total Other equipment,1.0,12.0,147.0,65.0,13.0,1.0,45.0,284.0
Devon & Cornwall,Other equipment,"Baton, of which",0.0,1.0,12.0,9.0,0.0,0.0,7.0,29.0
Devon & Cornwall,Other equipment,Baton drawn,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0
Devon & Cornwall,Other equipment,Baton used,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Devon & Cornwall,Other equipment,Not stated baton,0.0,1.0,10.0,8.0,0.0,0.0,3.0,22.0
Devon & Cornwall,Other equipment,"Irritant spray, of which",1.0,6.0,118.0,43.0,4.0,0.0,31.0,203.0
Devon & Cornwall,Other equipment,Irritant spray - drawn,1.0,5.0,98.0,36.0,4.0,0.0,30.0,174.0
Devon & Cornwall,Other equipment,Irritant spray - used,0.0,1.0,20.0,7.0,0.0,0.0,1.0,29.0
Devon & Cornwall,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other equipment,Spit and bite guard,0.0,3.0,8.0,4.0,0.0,0.0,1.0,16.0
Devon & Cornwall,Other equipment,Shield,0.0,2.0,9.0,9.0,9.0,1.0,6.0,36.0
Devon & Cornwall,Less lethal weapons,*Total Less lethal weapons,0.0,30.0,322.0,158.0,31.0,8.0,174.0,723.0
Devon & Cornwall,Less lethal weapons,CED,0.0,28.0,312.0,152.0,30.0,8.0,166.0,696.0
Devon & Cornwall,Less lethal weapons,"AEP, of which",0.0,2.0,10.0,6.0,1.0,0.0,8.0,27.0
Devon & Cornwall,Less lethal weapons,AEP aimed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0
Devon & Cornwall,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Less lethal weapons,Not stated AEP,0.0,2.0,9.0,5.0,1.0,0.0,7.0,24.0
Devon & Cornwall,Firearms,*Total Firearms,0.0,0.0,35.0,33.0,3.0,2.0,17.0,90.0
Devon & Cornwall,Other,*Total Other,1.0,12.0,53.0,26.0,8.0,2.0,35.0,137.0
Devon & Cornwall,Other,"Dog use, of which",0.0,1.0,15.0,5.0,1.0,0.0,9.0,31.0
Devon & Cornwall,Other,Dog deployed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0
Devon & Cornwall,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other,Not stated dog,0.0,1.0,14.0,4.0,1.0,0.0,8.0,28.0
Devon & Cornwall,Other,Other / improvised,1.0,11.0,38.0,21.0,7.0,2.0,26.0,106.0
Devon & Cornwall,Not reported,*Total Not reported,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0
Devon & Cornwall,Tactical communication,Tactical communication,12.0,650.0,3743.0,1753.0,390.0,59.0,1885.0,8492.0
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,20.0,847.0,6325.0,3123.0,973.0,81.0,1770.0,13139.0
Dorset,Restraint,*Total Restraint,15.0,669.0,5006.0,2444.0,777.0,63.0,1374.0,10348.0
Dorset,Restraint,"Handcuffing, of which",9.0,473.0,3351.0,1740.0,551.0,49.0,993.0,7166.0
Dorset,Restraint,Compliant handcuffing,0.0,142.0,1116.0,637.0,182.0,14.0,386.0,2477.0
Dorset,Restraint,Non-compliant handcuffing,9.0,331.0,2235.0,1103.0,369.0,35.0,607.0,4689.0
Dorset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Restraint,Limb / Body restraints,1.0,39.0,426.0,137.0,52.0,2.0,108.0,765.0
Dorset,Restraint,Ground restraint,5.0,157.0,1229.0,567.0,174.0,12.0,273.0,2417.0
Dorset,Unarmed skills,*Total Unarmed skills,5.0,138.0,821.0,457.0,131.0,12.0,254.0,1818.0
Dorset,Other equipment,*Total Other equipment,0.0,18.0,216.0,99.0,29.0,2.0,58.0,422.0
Dorset,Other equipment,"Baton, of which",0.0,1.0,17.0,9.0,1.0,0.0,7.0,35.0
Dorset,Other equipment,Baton drawn,0.0,1.0,12.0,7.0,1.0,0.0,7.0,28.0
Dorset,Other equipment,Baton used,0.0,0.0,5.0,2.0,0.0,0.0,0.0,7.0
Dorset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,"Irritant spray, of which",0.0,17.0,188.0,85.0,28.0,0.0,50.0,368.0
Dorset,Other equipment,Irritant spray - drawn,0.0,5.0,52.0,25.0,6.0,0.0,13.0,101.0
Dorset,Other equipment,Irritant spray - used,0.0,12.0,136.0,60.0,22.0,0.0,37.0,267.0
Dorset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,Spit and bite guard,0.0,0.0,11.0,5.0,0.0,2.0,1.0,19.0
Dorset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,*Total Less lethal weapons,0.0,10.0,134.0,53.0,15.0,2.0,38.0,252.0
Dorset,Less lethal weapons,CED,0.0,10.0,134.0,53.0,15.0,2.0,38.0,252.0
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Firearms,*Total Firearms,0.0,4.0,66.0,17.0,2.0,0.0,2.0,91.0
Dorset,Other,*Total Other,0.0,8.0,82.0,53.0,19.0,2.0,44.0,208.0
Dorset,Other,"Dog use, of which",0.0,1.0,6.0,5.0,1.0,0.0,12.0,25.0
Dorset,Other,Dog deployed,0.0,1.0,6.0,5.0,1.0,0.0,9.0,22.0
Dorset,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Dorset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other,Other / improvised,0.0,7.0,76.0,48.0,18.0,2.0,32.0,183.0
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Tactical communication,Tactical communication,0.0,22.0,242.0,108.0,33.0,4.0,64.0,473.0
Durham,Total (excluding not reported and tactical communication),*Total Tactics,12.0,749.0,5061.0,2098.0,412.0,21.0,187.0,8540.0
Durham,Restraint,*Total Restraint,5.0,454.0,3318.0,1448.0,275.0,10.0,84.0,5594.0
Durham,Restraint,"Handcuffing, of which",0.0,376.0,2640.0,1210.0,228.0,10.0,67.0,4531.0
Durham,Restraint,Compliant handcuffing,0.0,217.0,1888.0,898.0,154.0,5.0,44.0,3206.0
Durham,Restraint,Non-compliant handcuffing,0.0,159.0,752.0,312.0,74.0,5.0,23.0,1325.0
Durham,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Restraint,Limb / Body restraints,0.0,7.0,67.0,22.0,11.0,0.0,1.0,108.0
Durham,Restraint,Ground restraint,5.0,71.0,611.0,216.0,36.0,0.0,16.0,955.0
Durham,Unarmed skills,*Total Unarmed skills,7.0,240.0,1215.0,445.0,93.0,9.0,34.0,2043.0
Durham,Other equipment,*Total Other equipment,0.0,13.0,173.0,78.0,10.0,0.0,5.0,279.0
Durham,Other equipment,"Baton, of which",0.0,4.0,19.0,10.0,1.0,0.0,2.0,36.0
Durham,Other equipment,Baton drawn,0.0,4.0,11.0,5.0,0.0,0.0,1.0,21.0
Durham,Other equipment,Baton used,0.0,0.0,8.0,5.0,1.0,0.0,1.0,15.0
Durham,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,"Irritant spray, of which",0.0,9.0,149.0,64.0,8.0,0.0,3.0,233.0
Durham,Other equipment,Irritant spray - drawn,0.0,4.0,53.0,19.0,3.0,0.0,0.0,79.0
Durham,Other equipment,Irritant spray - used,0.0,5.0,96.0,45.0,5.0,0.0,3.0,154.0
Durham,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Shield,0.0,0.0,5.0,4.0,1.0,0.0,0.0,10.0
Durham,Less lethal weapons,*Total Less lethal weapons,0.0,16.0,212.0,68.0,18.0,0.0,5.0,319.0
Durham,Less lethal weapons,CED,0.0,16.0,201.0,64.0,18.0,0.0,5.0,304.0
Durham,Less lethal weapons,"AEP, of which",0.0,0.0,11.0,4.0,0.0,0.0,0.0,15.0
Durham,Less lethal weapons,AEP aimed,0.0,0.0,9.0,4.0,0.0,0.0,0.0,13.0
Durham,Less lethal weapons,AEP fired,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Durham,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Firearms,*Total Firearms,0.0,1.0,10.0,7.0,2.0,0.0,1.0,21.0
Durham,Other,*Total Other,0.0,25.0,133.0,52.0,14.0,2.0,58.0,284.0
Durham,Other,"Dog use, of which",0.0,2.0,20.0,3.0,0.0,0.0,1.0,26.0
Durham,Other,Dog deployed,0.0,2.0,19.0,3.0,0.0,0.0,1.0,25.0
Durham,Other,Dog bite,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Durham,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other,Other / improvised,0.0,23.0,113.0,49.0,14.0,2.0,57.0,258.0
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Tactical communication,Tactical communication,8.0,100.0,681.0,278.0,44.0,4.0,21.0,1136.0
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,20.0,563.0,2809.0,1024.0,357.0,48.0,390.0,5211.0
Dyfed-Powys,Restraint,*Total Restraint,5.0,298.0,1622.0,651.0,218.0,24.0,193.0,3011.0
Dyfed-Powys,Restraint,"Handcuffing, of which",5.0,241.0,1385.0,577.0,206.0,24.0,168.0,2606.0
Dyfed-Powys,Restraint,Compliant handcuffing,2.0,100.0,862.0,415.0,147.0,16.0,98.0,1640.0
Dyfed-Powys,Restraint,Non-compliant handcuffing,3.0,141.0,523.0,162.0,59.0,8.0,70.0,966.0
Dyfed-Powys,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Restraint,Limb / Body restraints,0.0,26.0,59.0,14.0,0.0,0.0,11.0,110.0
Dyfed-Powys,Restraint,Ground restraint,0.0,31.0,178.0,60.0,12.0,0.0,14.0,295.0
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,8.0,224.0,824.0,241.0,90.0,16.0,147.0,1550.0
Dyfed-Powys,Other equipment,*Total Other equipment,0.0,15.0,108.0,31.0,10.0,0.0,7.0,171.0
Dyfed-Powys,Other equipment,"Baton, of which",0.0,1.0,9.0,1.0,1.0,0.0,1.0,13.0
Dyfed-Powys,Other equipment,Baton drawn,0.0,1.0,5.0,1.0,1.0,0.0,1.0,9.0
Dyfed-Powys,Other equipment,Baton used,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
Dyfed-Powys,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,"Irritant spray, of which",0.0,11.0,76.0,23.0,9.0,0.0,6.0,125.0
Dyfed-Powys,Other equipment,Irritant spray - drawn,0.0,2.0,28.0,8.0,4.0,0.0,3.0,45.0
Dyfed-Powys,Other equipment,Irritant spray - used,0.0,9.0,48.0,15.0,5.0,0.0,3.0,80.0
Dyfed-Powys,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,Spit and bite guard,0.0,3.0,23.0,6.0,0.0,0.0,0.0,32.0
Dyfed-Powys,Other equipment,Shield,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,2.0,10.0,133.0,66.0,17.0,2.0,17.0,247.0
Dyfed-Powys,Less lethal weapons,CED,2.0,9.0,117.0,61.0,15.0,2.0,15.0,221.0
Dyfed-Powys,Less lethal weapons,"AEP, of which",0.0,1.0,16.0,5.0,2.0,0.0,2.0,26.0
Dyfed-Powys,Less lethal weapons,AEP aimed,0.0,1.0,16.0,5.0,2.0,0.0,2.0,26.0
Dyfed-Powys,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Firearms,*Total Firearms,0.0,1.0,34.0,15.0,7.0,1.0,14.0,72.0
Dyfed-Powys,Other,*Total Other,5.0,15.0,88.0,20.0,15.0,5.0,12.0,160.0
Dyfed-Powys,Other,"Dog use, of which",0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0
Dyfed-Powys,Other,Dog deployed,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0
Dyfed-Powys,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Other / improvised,5.0,15.0,86.0,19.0,14.0,5.0,12.0,156.0
Dyfed-Powys,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Tactical communication,Tactical communication,8.0,213.0,1105.0,413.0,141.0,30.0,166.0,2076.0
Essex,Total (excluding not reported and tactical communication),*Total Tactics,42.0,1828.0,10463.0,4557.0,1063.0,107.0,239.0,18299.0
Essex,Restraint,*Total Restraint,18.0,1151.0,6908.0,3026.0,664.0,55.0,143.0,11965.0
Essex,Restraint,"Handcuffing, of which",12.0,854.0,4471.0,2015.0,493.0,46.0,89.0,7980.0
Essex,Restraint,Compliant handcuffing,9.0,509.0,2664.0,1256.0,272.0,22.0,46.0,4778.0
Essex,Restraint,Non-compliant handcuffing,3.0,345.0,1807.0,759.0,221.0,24.0,43.0,3202.0
Essex,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Restraint,Limb / Body restraints,2.0,75.0,633.0,248.0,53.0,4.0,18.0,1033.0
Essex,Restraint,Ground restraint,4.0,222.0,1804.0,763.0,118.0,5.0,36.0,2952.0
Essex,Unarmed skills,*Total Unarmed skills,12.0,413.0,2204.0,974.0,229.0,32.0,56.0,3920.0
Essex,Other equipment,*Total Other equipment,0.0,46.0,309.0,133.0,31.0,7.0,14.0,540.0
Essex,Other equipment,"Baton, of which",0.0,17.0,88.0,31.0,11.0,2.0,2.0,151.0
Essex,Other equipment,Baton drawn,0.0,14.0,62.0,20.0,10.0,1.0,1.0,108.0
Essex,Other equipment,Baton used,0.0,3.0,26.0,11.0,1.0,1.0,1.0,43.0
Essex,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,"Irritant spray, of which",0.0,19.0,110.0,49.0,10.0,3.0,2.0,193.0
Essex,Other equipment,Irritant spray - drawn,0.0,12.0,65.0,29.0,7.0,2.0,1.0,116.0
Essex,Other equipment,Irritant spray - used,0.0,7.0,45.0,20.0,3.0,1.0,1.0,77.0
Essex,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,Spit and bite guard,0.0,9.0,86.0,36.0,9.0,2.0,9.0,151.0
Essex,Other equipment,Shield,0.0,1.0,25.0,17.0,1.0,0.0,1.0,45.0
Essex,Less lethal weapons,*Total Less lethal weapons,1.0,24.0,159.0,65.0,28.0,2.0,3.0,282.0
Essex,Less lethal weapons,CED,1.0,20.0,144.0,54.0,24.0,2.0,2.0,247.0
Essex,Less lethal weapons,"AEP, of which",0.0,4.0,15.0,11.0,4.0,0.0,1.0,35.0
Essex,Less lethal weapons,AEP aimed,0.0,4.0,14.0,11.0,3.0,0.0,1.0,33.0
Essex,Less lethal weapons,AEP fired,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Essex,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Firearms,*Total Firearms,0.0,30.0,123.0,49.0,28.0,1.0,2.0,233.0
Essex,Other,*Total Other,11.0,164.0,760.0,310.0,83.0,10.0,21.0,1359.0
Essex,Other,"Dog use, of which",0.0,11.0,62.0,12.0,1.0,0.0,3.0,89.0
Essex,Other,Dog deployed,0.0,7.0,39.0,8.0,1.0,0.0,2.0,57.0
Essex,Other,Dog bite,0.0,4.0,23.0,4.0,0.0,0.0,1.0,32.0
Essex,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other,Other / improvised,11.0,153.0,698.0,298.0,82.0,10.0,18.0,1270.0
Essex,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Tactical communication,Tactical communication,16.0,487.0,2462.0,1156.0,282.0,30.0,66.0,4499.0
Gloucestershire,Total (excluding not reported and tactical communication),*Total Tactics,37.0,180.0,890.0,424.0,102.0,15.0,11.0,1659.0
Gloucestershire,Restraint,*Total Restraint,23.0,121.0,592.0,265.0,58.0,8.0,9.0,1076.0
Gloucestershire,Restraint,"Handcuffing, of which",12.0,74.0,410.0,198.0,46.0,6.0,8.0,754.0
Gloucestershire,Restraint,Compliant handcuffing,7.0,38.0,249.0,121.0,26.0,4.0,5.0,450.0
Gloucestershire,Restraint,Non-compliant handcuffing,5.0,36.0,161.0,77.0,20.0,2.0,3.0,304.0
Gloucestershire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Restraint,Limb / Body restraints,5.0,13.0,37.0,10.0,1.0,2.0,0.0,68.0
Gloucestershire,Restraint,Ground restraint,6.0,34.0,145.0,57.0,11.0,0.0,1.0,254.0
Gloucestershire,Unarmed skills,*Total Unarmed skills,6.0,35.0,140.0,60.0,18.0,4.0,1.0,264.0
Gloucestershire,Other equipment,*Total Other equipment,4.0,9.0,59.0,36.0,13.0,0.0,0.0,121.0
Gloucestershire,Other equipment,"Baton, of which",0.0,0.0,13.0,8.0,5.0,0.0,0.0,26.0
Gloucestershire,Other equipment,Baton drawn,0.0,0.0,7.0,5.0,3.0,0.0,0.0,15.0
Gloucestershire,Other equipment,Baton used,0.0,0.0,6.0,3.0,2.0,0.0,0.0,11.0
Gloucestershire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,"Irritant spray, of which",3.0,4.0,28.0,21.0,6.0,0.0,0.0,62.0
Gloucestershire,Other equipment,Irritant spray - drawn,1.0,2.0,11.0,10.0,2.0,0.0,0.0,26.0
Gloucestershire,Other equipment,Irritant spray - used,2.0,2.0,17.0,11.0,4.0,0.0,0.0,36.0
Gloucestershire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,Spit and bite guard,1.0,5.0,12.0,6.0,1.0,0.0,0.0,25.0
Gloucestershire,Other equipment,Shield,0.0,0.0,6.0,1.0,1.0,0.0,0.0,8.0
Gloucestershire,Less lethal weapons,*Total Less lethal weapons,2.0,9.0,80.0,50.0,11.0,1.0,1.0,154.0
Gloucestershire,Less lethal weapons,CED,2.0,8.0,68.0,46.0,11.0,1.0,1.0,137.0
Gloucestershire,Less lethal weapons,"AEP, of which",0.0,1.0,12.0,4.0,0.0,0.0,0.0,17.0
Gloucestershire,Less lethal weapons,AEP aimed,0.0,1.0,9.0,3.0,0.0,0.0,0.0,13.0
Gloucestershire,Less lethal weapons,AEP fired,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0
