Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Cleveland,Firearms,*Total Firearms,0.0,8.0,48.0,10.0,3.0,5.0,0.0,74.0
Cleveland,Other,*Total Other,0.0,39.0,254.0,117.0,26.0,14.0,0.0,450.0
Cleveland,Other,"Dog use, of which",0.0,5.0,22.0,8.0,0.0,0.0,0.0,35.0
Cleveland,Other,Dog deployed,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0
Cleveland,Other,Dog bite,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Cleveland,Other,Dog not stated,0.0,5.0,17.0,7.0,0.0,0.0,0.0,29.0
Cleveland,Other,Other / improvised,0.0,34.0,232.0,109.0,26.0,14.0,0.0,415.0
Cleveland,Not reported,*Total Not reported,0.0,18.0,116.0,61.0,19.0,2.0,0.0,216.0
Cleveland,Tactical communication,Tactical communication,3.0,210.0,1180.0,614.0,117.0,25.0,0.0,2149.0
Cumbria,Total (excluding not reported and tactical communication),*Total Tactics,3.0,560.0,3842.0,1723.0,375.0,70.0,192.0,6765.0
Cumbria,Restraint,*Total Restraint,2.0,316.0,2100.0,972.0,219.0,40.0,97.0,3746.0
Cumbria,Restraint,"Handcuffing, of which",2.0,239.0,1491.0,742.0,188.0,34.0,62.0,2758.0
Cumbria,Restraint,Compliant handcuffing,0.0,69.0,560.0,317.0,90.0,9.0,22.0,1067.0
Cumbria,Restraint,Non-compliant handcuffing,2.0,170.0,931.0,425.0,98.0,25.0,40.0,1691.0
Cumbria,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Restraint,Limb / Body restraints,0.0,16.0,91.0,47.0,2.0,3.0,3.0,162.0
Cumbria,Restraint,Ground restraint,0.0,61.0,518.0,183.0,29.0,3.0,32.0,826.0
Cumbria,Unarmed skills,*Total Unarmed skills,1.0,166.0,1073.0,452.0,103.0,21.0,61.0,1877.0
Cumbria,Other equipment,*Total Other equipment,0.0,36.0,344.0,143.0,23.0,2.0,12.0,560.0
Cumbria,Other equipment,"Baton, of which",0.0,1.0,9.0,12.0,0.0,0.0,2.0,24.0
Cumbria,Other equipment,Baton drawn,0.0,0.0,7.0,6.0,0.0,0.0,2.0,15.0
Cumbria,Other equipment,Baton used,0.0,1.0,2.0,6.0,0.0,0.0,0.0,9.0
Cumbria,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,"Irritant spray, of which",0.0,24.0,296.0,118.0,20.0,2.0,10.0,470.0
Cumbria,Other equipment,Irritant spray - drawn,0.0,11.0,102.0,36.0,9.0,1.0,6.0,165.0
Cumbria,Other equipment,Irritant spray - used,0.0,13.0,194.0,82.0,11.0,1.0,4.0,305.0
Cumbria,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other equipment,Spit and bite guard,0.0,11.0,34.0,13.0,3.0,0.0,0.0,61.0
Cumbria,Other equipment,Shield,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
Cumbria,Less lethal weapons,*Total Less lethal weapons,0.0,19.0,172.0,95.0,15.0,2.0,13.0,316.0
Cumbria,Less lethal weapons,CED of which,0.0,19.0,171.0,95.0,15.0,2.0,13.0,315.0
Cumbria,Less lethal weapons,CED non-discharge,0.0,19.0,154.0,82.0,15.0,2.0,12.0,284.0
Cumbria,Less lethal weapons,CED discharge,0.0,0.0,16.0,12.0,0.0,0.0,1.0,29.0
Cumbria,Less lethal weapons,CED not stated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Cumbria,Less lethal weapons,"AEP, of which",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cumbria,Less lethal weapons,AEP drawn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cumbria,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Firearms,*Total Firearms,0.0,0.0,7.0,2.0,0.0,0.0,1.0,10.0
Cumbria,Other,*Total Other,0.0,23.0,146.0,59.0,15.0,5.0,8.0,256.0
Cumbria,Other,"Dog use, of which",0.0,2.0,13.0,6.0,0.0,0.0,0.0,21.0
Cumbria,Other,Dog deployed,0.0,2.0,12.0,6.0,0.0,0.0,0.0,20.0
Cumbria,Other,Dog bite,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cumbria,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Other,Other / improvised,0.0,21.0,133.0,53.0,15.0,5.0,8.0,235.0
Cumbria,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumbria,Tactical communication,Tactical communication,2.0,229.0,1482.0,702.0,171.0,30.0,79.0,2695.0
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,2.0,691.0,4286.0,2178.0,475.0,80.0,244.0,7956.0
Derbyshire,Restraint,*Total Restraint,0.0,349.0,2229.0,1184.0,273.0,41.0,59.0,4135.0
Derbyshire,Restraint,"Handcuffing, of which",0.0,274.0,1731.0,980.0,235.0,38.0,46.0,3304.0
Derbyshire,Restraint,Compliant handcuffing,,,,,,,,
Derbyshire,Restraint,Non-compliant handcuffing,,,,,,,,
Derbyshire,Restraint,Handcuffing not stated,0.0,274.0,1731.0,980.0,235.0,38.0,46.0,3304.0
Derbyshire,Restraint,Limb / Body restraints,0.0,41.0,236.0,99.0,22.0,2.0,5.0,405.0
Derbyshire,Restraint,Ground restraint,0.0,34.0,262.0,105.0,16.0,1.0,8.0,426.0
Derbyshire,Unarmed skills,*Total Unarmed skills,1.0,241.0,1322.0,634.0,140.0,22.0,123.0,2483.0
Derbyshire,Other equipment,*Total Other equipment,0.0,46.0,399.0,209.0,37.0,6.0,32.0,729.0
Derbyshire,Other equipment,"Baton, of which",0.0,2.0,36.0,21.0,6.0,0.0,7.0,72.0
Derbyshire,Other equipment,Baton drawn,0.0,2.0,24.0,14.0,4.0,0.0,5.0,49.0
Derbyshire,Other equipment,Baton used,0.0,0.0,12.0,7.0,2.0,0.0,2.0,23.0
Derbyshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,"Irritant spray, of which",0.0,36.0,305.0,167.0,28.0,2.0,22.0,560.0
Derbyshire,Other equipment,Irritant spray - drawn,0.0,19.0,132.0,66.0,10.0,1.0,10.0,238.0
Derbyshire,Other equipment,Irritant spray - used,0.0,17.0,173.0,101.0,18.0,1.0,12.0,322.0
Derbyshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,Spit and bite guard,0.0,8.0,54.0,21.0,2.0,1.0,3.0,89.0
Derbyshire,Other equipment,Shield,0.0,0.0,4.0,0.0,1.0,3.0,0.0,8.0
Derbyshire,Less lethal weapons,*Total Less lethal weapons,0.0,10.0,131.0,55.0,13.0,1.0,8.0,218.0
Derbyshire,Less lethal weapons,CED of which,0.0,9.0,126.0,55.0,13.0,1.0,7.0,211.0
Derbyshire,Less lethal weapons,CED non-discharge,0.0,9.0,117.0,45.0,12.0,1.0,5.0,189.0
Derbyshire,Less lethal weapons,CED discharge,0.0,0.0,9.0,9.0,1.0,0.0,2.0,21.0
Derbyshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Derbyshire,Less lethal weapons,"AEP, of which",0.0,1.0,5.0,0.0,0.0,0.0,1.0,7.0
Derbyshire,Less lethal weapons,AEP drawn,0.0,1.0,5.0,0.0,0.0,0.0,1.0,7.0
Derbyshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Firearms,*Total Firearms,0.0,3.0,35.0,7.0,0.0,0.0,0.0,45.0
Derbyshire,Other,*Total Other,1.0,42.0,170.0,89.0,12.0,10.0,22.0,346.0
Derbyshire,Other,"Dog use, of which",0.0,4.0,25.0,4.0,0.0,0.0,3.0,36.0
Derbyshire,Other,Dog deployed,0.0,4.0,22.0,4.0,0.0,0.0,3.0,33.0
Derbyshire,Other,Dog bite,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Derbyshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other,Other / improvised,1.0,38.0,145.0,85.0,12.0,10.0,19.0,310.0
Derbyshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0
Derbyshire,Tactical communication,Tactical communication,2.0,317.0,1828.0,970.0,235.0,41.0,145.0,3538.0
Devon & Cornwall,Total (excluding not reported and tactical communication),*Total Tactics,10.0,1446.0,9115.0,4175.0,982.0,129.0,1838.0,17695.0
Devon & Cornwall,Restraint,*Total Restraint,1.0,887.0,5611.0,2602.0,608.0,69.0,1055.0,10833.0
Devon & Cornwall,Restraint,"Handcuffing, of which",1.0,651.0,3921.0,1913.0,498.0,59.0,651.0,7694.0
Devon & Cornwall,Restraint,Compliant handcuffing,1.0,237.0,1605.0,867.0,246.0,20.0,180.0,3156.0
Devon & Cornwall,Restraint,Non-compliant handcuffing,0.0,414.0,2316.0,1046.0,252.0,39.0,471.0,4538.0
Devon & Cornwall,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Restraint,Limb / Body restraints,0.0,67.0,367.0,132.0,16.0,5.0,85.0,672.0
Devon & Cornwall,Restraint,Ground restraint,0.0,169.0,1323.0,557.0,94.0,5.0,319.0,2467.0
Devon & Cornwall,Unarmed skills,*Total Unarmed skills,7.0,451.0,2523.0,1138.0,284.0,49.0,563.0,5015.0
Devon & Cornwall,Other equipment,*Total Other equipment,0.0,47.0,412.0,175.0,29.0,1.0,74.0,738.0
Devon & Cornwall,Other equipment,"Baton, of which",0.0,1.0,23.0,10.0,2.0,0.0,1.0,37.0
Devon & Cornwall,Other equipment,Baton drawn,0.0,1.0,14.0,6.0,1.0,0.0,1.0,23.0
Devon & Cornwall,Other equipment,Baton used,0.0,0.0,9.0,4.0,1.0,0.0,0.0,14.0
Devon & Cornwall,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other equipment,"Irritant spray, of which",0.0,24.0,183.0,99.0,20.0,0.0,39.0,365.0
Devon & Cornwall,Other equipment,Irritant spray - drawn,0.0,14.0,68.0,43.0,12.0,0.0,24.0,161.0
Devon & Cornwall,Other equipment,Irritant spray - used,0.0,10.0,115.0,56.0,8.0,0.0,15.0,204.0
Devon & Cornwall,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other equipment,Spit and bite guard,0.0,20.0,197.0,59.0,7.0,1.0,30.0,314.0
Devon & Cornwall,Other equipment,Shield,0.0,2.0,9.0,7.0,0.0,0.0,4.0,22.0
Devon & Cornwall,Less lethal weapons,*Total Less lethal weapons,0.0,43.0,386.0,190.0,44.0,3.0,87.0,753.0
Devon & Cornwall,Less lethal weapons,CED of which,0.0,43.0,382.0,179.0,42.0,3.0,84.0,733.0
Devon & Cornwall,Less lethal weapons,CED non-discharge,0.0,39.0,331.0,150.0,41.0,1.0,63.0,625.0
Devon & Cornwall,Less lethal weapons,CED discharge,0.0,4.0,44.0,26.0,1.0,2.0,13.0,90.0
Devon & Cornwall,Less lethal weapons,CED not stated,0.0,0.0,7.0,3.0,0.0,0.0,8.0,18.0
Devon & Cornwall,Less lethal weapons,"AEP, of which",0.0,0.0,4.0,11.0,2.0,0.0,3.0,20.0
Devon & Cornwall,Less lethal weapons,AEP drawn,0.0,0.0,4.0,10.0,2.0,0.0,2.0,18.0
Devon & Cornwall,Less lethal weapons,AEP used,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
Devon & Cornwall,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Firearms,*Total Firearms,0.0,3.0,31.0,12.0,2.0,5.0,19.0,72.0
Devon & Cornwall,Other,*Total Other,2.0,15.0,152.0,58.0,15.0,2.0,40.0,284.0
Devon & Cornwall,Other,"Dog use, of which",0.0,2.0,16.0,3.0,1.0,0.0,5.0,27.0
Devon & Cornwall,Other,Dog deployed,0.0,1.0,10.0,2.0,0.0,0.0,2.0,15.0
Devon & Cornwall,Other,Dog bite,0.0,1.0,6.0,1.0,1.0,0.0,3.0,12.0
Devon & Cornwall,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other,Other / improvised,2.0,13.0,136.0,55.0,14.0,2.0,35.0,257.0
Devon & Cornwall,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Tactical communication,Tactical communication,10.0,780.0,4711.0,2254.0,586.0,83.0,818.0,9242.0
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,21.0,1013.0,7158.0,3363.0,1041.0,102.0,10.0,12708.0
Dorset,Restraint,*Total Restraint,13.0,786.0,5521.0,2625.0,800.0,76.0,6.0,9827.0
Dorset,Restraint,"Handcuffing, of which",9.0,531.0,3540.0,1848.0,599.0,57.0,4.0,6588.0
Dorset,Restraint,Compliant handcuffing,0.0,145.0,1132.0,720.0,214.0,19.0,1.0,2231.0
Dorset,Restraint,Non-compliant handcuffing,9.0,386.0,2408.0,1128.0,385.0,38.0,3.0,4357.0
Dorset,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Restraint,Limb / Body restraints,0.0,44.0,463.0,182.0,46.0,5.0,1.0,741.0
Dorset,Restraint,Ground restraint,4.0,211.0,1518.0,595.0,155.0,14.0,1.0,2498.0
Dorset,Unarmed skills,*Total Unarmed skills,8.0,156.0,1006.0,486.0,171.0,21.0,0.0,1848.0
Dorset,Other equipment,*Total Other equipment,0.0,37.0,330.0,134.0,26.0,1.0,3.0,531.0
Dorset,Other equipment,"Baton, of which",0.0,1.0,26.0,9.0,3.0,0.0,1.0,40.0
Dorset,Other equipment,Baton drawn,0.0,1.0,17.0,6.0,2.0,0.0,1.0,27.0
Dorset,Other equipment,Baton used,0.0,0.0,9.0,3.0,1.0,0.0,0.0,13.0
Dorset,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,"Irritant spray, of which",0.0,18.0,200.0,76.0,20.0,1.0,2.0,317.0
Dorset,Other equipment,Irritant spray - drawn,0.0,8.0,52.0,17.0,3.0,0.0,1.0,81.0
Dorset,Other equipment,Irritant spray - used,0.0,10.0,148.0,59.0,17.0,1.0,1.0,236.0
Dorset,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,Spit and bite guard,0.0,18.0,103.0,47.0,3.0,0.0,0.0,171.0
Dorset,Other equipment,Shield,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
Dorset,Less lethal weapons,*Total Less lethal weapons,0.0,15.0,117.0,55.0,17.0,1.0,1.0,206.0
Dorset,Less lethal weapons,CED of which,0.0,15.0,117.0,55.0,17.0,1.0,1.0,206.0
Dorset,Less lethal weapons,CED non-discharge,0.0,14.0,103.0,51.0,16.0,1.0,1.0,186.0
Dorset,Less lethal weapons,CED discharge,0.0,1.0,14.0,4.0,1.0,0.0,0.0,20.0
Dorset,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Firearms,*Total Firearms,0.0,4.0,105.0,25.0,7.0,2.0,0.0,143.0
Dorset,Other,*Total Other,0.0,15.0,79.0,38.0,20.0,1.0,0.0,153.0
Dorset,Other,"Dog use, of which",0.0,1.0,18.0,6.0,2.0,0.0,0.0,27.0
Dorset,Other,Dog deployed,0.0,1.0,17.0,5.0,2.0,0.0,0.0,25.0
Dorset,Other,Dog bite,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Dorset,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other,Other / improvised,0.0,14.0,61.0,32.0,18.0,1.0,0.0,126.0
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Tactical communication,Tactical communication,1.0,28.0,194.0,75.0,29.0,2.0,0.0,329.0
Durham,Total (excluding not reported and tactical communication),*Total Tactics,11.0,793.0,5679.0,2928.0,583.0,30.0,60.0,10084.0
Durham,Restraint,*Total Restraint,5.0,504.0,3810.0,2004.0,419.0,19.0,34.0,6795.0
Durham,Restraint,"Handcuffing, of which",4.0,396.0,3072.0,1699.0,373.0,17.0,27.0,5588.0
Durham,Restraint,Compliant handcuffing,4.0,260.0,2296.0,1322.0,285.0,15.0,18.0,4200.0
Durham,Restraint,Non-compliant handcuffing,0.0,136.0,776.0,377.0,88.0,2.0,9.0,1388.0
Durham,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Restraint,Limb / Body restraints,1.0,12.0,76.0,32.0,3.0,0.0,1.0,125.0
Durham,Restraint,Ground restraint,0.0,96.0,662.0,273.0,43.0,2.0,6.0,1082.0
Durham,Unarmed skills,*Total Unarmed skills,3.0,211.0,1341.0,643.0,110.0,8.0,21.0,2337.0
Durham,Other equipment,*Total Other equipment,0.0,16.0,176.0,90.0,12.0,0.0,2.0,296.0
Durham,Other equipment,"Baton, of which",0.0,3.0,19.0,14.0,1.0,0.0,1.0,38.0
Durham,Other equipment,Baton drawn,0.0,2.0,10.0,4.0,1.0,0.0,0.0,17.0
Durham,Other equipment,Baton used,0.0,1.0,9.0,10.0,0.0,0.0,1.0,21.0
Durham,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,"Irritant spray, of which",0.0,11.0,146.0,69.0,11.0,0.0,1.0,238.0
Durham,Other equipment,Irritant spray - drawn,0.0,5.0,44.0,24.0,5.0,0.0,0.0,78.0
Durham,Other equipment,Irritant spray - used,0.0,6.0,102.0,45.0,6.0,0.0,1.0,160.0
Durham,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Spit and bite guard,0.0,2.0,10.0,4.0,0.0,0.0,0.0,16.0
Durham,Other equipment,Shield,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0
Durham,Less lethal weapons,*Total Less lethal weapons,1.0,22.0,218.0,102.0,21.0,0.0,0.0,364.0
Durham,Less lethal weapons,CED of which,1.0,20.0,209.0,97.0,21.0,0.0,0.0,348.0
Durham,Less lethal weapons,CED non-discharge,1.0,19.0,175.0,78.0,17.0,0.0,0.0,290.0
Durham,Less lethal weapons,CED discharge,0.0,1.0,25.0,17.0,4.0,0.0,0.0,47.0
Durham,Less lethal weapons,CED not stated,0.0,0.0,9.0,2.0,0.0,0.0,0.0,11.0
Durham,Less lethal weapons,"AEP, of which",0.0,2.0,9.0,5.0,0.0,0.0,0.0,16.0
Durham,Less lethal weapons,AEP drawn,0.0,2.0,8.0,5.0,0.0,0.0,0.0,15.0
Durham,Less lethal weapons,AEP used,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Durham,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Firearms,*Total Firearms,0.0,1.0,4.0,5.0,0.0,0.0,0.0,10.0
Durham,Other,*Total Other,2.0,39.0,130.0,84.0,21.0,3.0,3.0,282.0
Durham,Other,"Dog use, of which",0.0,2.0,20.0,11.0,3.0,0.0,1.0,37.0
Durham,Other,Dog deployed,0.0,2.0,18.0,10.0,3.0,0.0,1.0,34.0
Durham,Other,Dog bite,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Durham,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other,Other / improvised,2.0,37.0,110.0,73.0,18.0,3.0,2.0,245.0
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Tactical communication,Tactical communication,0.0,130.0,893.0,476.0,75.0,5.0,10.0,1589.0
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,14.0,583.0,2880.0,1015.0,325.0,65.0,428.0,5310.0
Dyfed-Powys,Restraint,*Total Restraint,2.0,290.0,1620.0,575.0,196.0,29.0,187.0,2899.0
Dyfed-Powys,Restraint,"Handcuffing, of which",1.0,244.0,1372.0,530.0,170.0,27.0,164.0,2508.0
Dyfed-Powys,Restraint,Compliant handcuffing,1.0,88.0,777.0,357.0,107.0,11.0,92.0,1433.0
Dyfed-Powys,Restraint,Non-compliant handcuffing,0.0,156.0,595.0,173.0,63.0,16.0,72.0,1075.0
Dyfed-Powys,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Restraint,Limb / Body restraints,1.0,20.0,73.0,14.0,10.0,1.0,6.0,125.0
Dyfed-Powys,Restraint,Ground restraint,0.0,26.0,175.0,31.0,16.0,1.0,17.0,266.0
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,8.0,241.0,870.0,284.0,90.0,26.0,138.0,1657.0
Dyfed-Powys,Other equipment,*Total Other equipment,0.0,8.0,76.0,42.0,4.0,1.0,24.0,155.0
Dyfed-Powys,Other equipment,"Baton, of which",0.0,0.0,9.0,2.0,0.0,0.0,8.0,19.0
Dyfed-Powys,Other equipment,Baton drawn,0.0,0.0,6.0,2.0,0.0,0.0,6.0,14.0
Dyfed-Powys,Other equipment,Baton used,0.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0
Dyfed-Powys,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,"Irritant spray, of which",0.0,3.0,40.0,37.0,4.0,1.0,13.0,98.0
Dyfed-Powys,Other equipment,Irritant spray - drawn,0.0,2.0,17.0,14.0,2.0,0.0,3.0,38.0
Dyfed-Powys,Other equipment,Irritant spray - used,0.0,1.0,23.0,23.0,2.0,1.0,10.0,60.0
Dyfed-Powys,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,Spit and bite guard,0.0,5.0,20.0,3.0,0.0,0.0,3.0,31.0
Dyfed-Powys,Other equipment,Shield,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,1.0,12.0,189.0,61.0,17.0,2.0,40.0,322.0
Dyfed-Powys,Less lethal weapons,CED of which,1.0,12.0,174.0,57.0,16.0,1.0,38.0,299.0
Dyfed-Powys,Less lethal weapons,CED non-discharge,1.0,12.0,159.0,51.0,15.0,1.0,34.0,273.0
Dyfed-Powys,Less lethal weapons,CED discharge,0.0,0.0,15.0,6.0,1.0,0.0,4.0,26.0
Dyfed-Powys,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,"AEP, of which",0.0,0.0,15.0,4.0,1.0,1.0,2.0,23.0
Dyfed-Powys,Less lethal weapons,AEP drawn,0.0,0.0,15.0,4.0,1.0,1.0,2.0,23.0
Dyfed-Powys,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Firearms,*Total Firearms,0.0,8.0,50.0,15.0,8.0,3.0,9.0,93.0
Dyfed-Powys,Other,*Total Other,3.0,24.0,75.0,38.0,10.0,4.0,30.0,184.0
Dyfed-Powys,Other,"Dog use, of which",0.0,4.0,3.0,0.0,1.0,0.0,3.0,11.0
Dyfed-Powys,Other,Dog deployed,0.0,4.0,3.0,0.0,1.0,0.0,3.0,11.0
Dyfed-Powys,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Other / improvised,3.0,20.0,72.0,38.0,9.0,4.0,27.0,173.0
Dyfed-Powys,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Tactical communication,Tactical communication,10.0,250.0,1248.0,451.0,152.0,33.0,187.0,2331.0
Essex,Total (excluding not reported and tactical communication),*Total Tactics,170.0,2294.0,11464.0,5659.0,1275.0,93.0,243.0,21198.0
Essex,Restraint,*Total Restraint,115.0,1511.0,7810.0,3856.0,837.0,49.0,152.0,14330.0
Essex,Restraint,"Handcuffing, of which",73.0,958.0,5071.0,2572.0,630.0,41.0,92.0,9437.0
Essex,Restraint,Compliant handcuffing,48.0,525.0,3222.0,1646.0,377.0,26.0,55.0,5899.0
Essex,Restraint,Non-compliant handcuffing,25.0,433.0,1849.0,926.0,253.0,15.0,37.0,3538.0
Essex,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Restraint,Limb / Body restraints,11.0,179.0,761.0,381.0,61.0,1.0,15.0,1409.0
Essex,Restraint,Ground restraint,31.0,374.0,1978.0,903.0,146.0,7.0,45.0,3484.0
Essex,Unarmed skills,*Total Unarmed skills,24.0,409.0,1848.0,956.0,231.0,20.0,61.0,3549.0
Essex,Other equipment,*Total Other equipment,5.0,69.0,349.0,148.0,29.0,1.0,7.0,608.0
Essex,Other equipment,"Baton, of which",3.0,11.0,93.0,26.0,12.0,0.0,0.0,145.0
Essex,Other equipment,Baton drawn,3.0,11.0,69.0,15.0,9.0,0.0,0.0,107.0
Essex,Other equipment,Baton used,0.0,0.0,24.0,11.0,3.0,0.0,0.0,38.0
Essex,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,"Irritant spray, of which",1.0,16.0,97.0,39.0,5.0,1.0,1.0,160.0
Essex,Other equipment,Irritant spray - drawn,0.0,11.0,45.0,17.0,2.0,1.0,1.0,77.0
Essex,Other equipment,Irritant spray - used,1.0,5.0,52.0,22.0,3.0,0.0,0.0,83.0
Essex,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,Spit and bite guard,1.0,37.0,148.0,74.0,11.0,0.0,6.0,277.0
Essex,Other equipment,Shield,0.0,5.0,11.0,9.0,1.0,0.0,0.0,26.0
Essex,Less lethal weapons,*Total Less lethal weapons,0.0,36.0,214.0,97.0,27.0,1.0,6.0,381.0
Essex,Less lethal weapons,CED of which,0.0,36.0,214.0,97.0,27.0,1.0,6.0,381.0
Essex,Less lethal weapons,CED non-discharge,0.0,24.0,133.0,58.0,14.0,1.0,3.0,233.0
Essex,Less lethal weapons,CED discharge,0.0,1.0,17.0,9.0,0.0,0.0,2.0,29.0
