Tactic,Police Force,Force type - Output,Tactic - Output,age,count
AEP drawn,North Yorkshire,,,11 - 17 years,0.0
AEP used,North Yorkshire,,,11 - 17 years,0.0
AEP not stated,North Yorkshire,,,11 - 17 years,2.0
*Total Firearms,North Yorkshire,Firearms,Total: Firearms,11 - 17 years,1.0
*Total Other,North Yorkshire,Other,Total: Other,11 - 17 years,9.0
"Dog use, of which",North Yorkshire,Other,Total: Dog,11 - 17 years,1.0
Dog deployed,North Yorkshire,Other,Dog: deployed,11 - 17 years,1.0
Dog bite,North Yorkshire,Other,Dog: bite,11 - 17 years,0.0
Dog not stated,North Yorkshire,,,11 - 17 years,0.0
Other / improvised,North Yorkshire,Other,Other / improvised,11 - 17 years,8.0
*Total Not reported,North Yorkshire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,North Yorkshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,252.0
*Total Tactics,Northamptonshire,Total,Total: all,11 - 17 years,902.0
*Total Restraint,Northamptonshire,Restraint,Total: Restraint,11 - 17 years,453.0
"Handcuffing, of which",Northamptonshire,Restraint,Total: Handcuffing,11 - 17 years,379.0
Compliant handcuffing,Northamptonshire,Restraint,Handcuffing: compliant,11 - 17 years,232.0
Non-compliant handcuffing,Northamptonshire,Restraint,Handcuffing: non-compliant,11 - 17 years,147.0
Handcuffing not stated,Northamptonshire,,,11 - 17 years,0.0
Limb / Body restraints,Northamptonshire,Restraint,Limb / body restraints,11 - 17 years,49.0
Ground restraint,Northamptonshire,Restraint,Ground restraint,11 - 17 years,25.0
*Total Unarmed skills,Northamptonshire,Unarmed skills,Total: unarmed skills,11 - 17 years,277.0
*Total Other equipment,Northamptonshire,Other equipment,Total: Other equipment,11 - 17 years,47.0
"Baton, of which",Northamptonshire,Other equipment,Total: Baton,11 - 17 years,6.0
Baton drawn,Northamptonshire,Other equipment,Baton: drawn,11 - 17 years,4.0
Baton used,Northamptonshire,Other equipment,Baton: used,11 - 17 years,2.0
Baton not stated,Northamptonshire,,,11 - 17 years,0.0
"Irritant spray, of which",Northamptonshire,Other equipment,Total: Irritant spray,11 - 17 years,24.0
Irritant spray - drawn,Northamptonshire,Other equipment,Irritant spray: drawn,11 - 17 years,11.0
Irritant spray - used,Northamptonshire,Other equipment,Irritant spray: used,11 - 17 years,13.0
Irritant spray not stated,Northamptonshire,,,11 - 17 years,0.0
Spit and bite guard,Northamptonshire,Other equipment,Spit and bite guard,11 - 17 years,12.0
Shield,Northamptonshire,Other equipment,Shield,11 - 17 years,5.0
*Total Less lethal weapons,Northamptonshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,43.0
CED of which,Northamptonshire,,,11 - 17 years,42.0
CED non-discharge,Northamptonshire,,,11 - 17 years,42.0
CED discharge,Northamptonshire,,,11 - 17 years,0.0
CED not stated,Northamptonshire,,,11 - 17 years,0.0
"AEP, of which",Northamptonshire,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP drawn,Northamptonshire,,,11 - 17 years,1.0
AEP used,Northamptonshire,,,11 - 17 years,0.0
AEP not stated,Northamptonshire,,,11 - 17 years,0.0
*Total Firearms,Northamptonshire,Firearms,Total: Firearms,11 - 17 years,2.0
*Total Other,Northamptonshire,Other,Total: Other,11 - 17 years,80.0
"Dog use, of which",Northamptonshire,Other,Total: Dog,11 - 17 years,10.0
Dog deployed,Northamptonshire,Other,Dog: deployed,11 - 17 years,9.0
Dog bite,Northamptonshire,Other,Dog: bite,11 - 17 years,1.0
Dog not stated,Northamptonshire,,,11 - 17 years,0.0
Other / improvised,Northamptonshire,Other,Other / improvised,11 - 17 years,70.0
*Total Not reported,Northamptonshire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Northamptonshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,287.0
*Total Tactics,Northumbria,Total,Total: all,11 - 17 years,2431.0
*Total Restraint,Northumbria,Restraint,Total: Restraint,11 - 17 years,1694.0
"Handcuffing, of which",Northumbria,Restraint,Total: Handcuffing,11 - 17 years,1254.0
Compliant handcuffing,Northumbria,Restraint,Handcuffing: compliant,11 - 17 years,822.0
Non-compliant handcuffing,Northumbria,Restraint,Handcuffing: non-compliant,11 - 17 years,432.0
Handcuffing not stated,Northumbria,,,11 - 17 years,0.0
Limb / Body restraints,Northumbria,Restraint,Limb / body restraints,11 - 17 years,63.0
Ground restraint,Northumbria,Restraint,Ground restraint,11 - 17 years,377.0
*Total Unarmed skills,Northumbria,Unarmed skills,Total: unarmed skills,11 - 17 years,549.0
*Total Other equipment,Northumbria,Other equipment,Total: Other equipment,11 - 17 years,73.0
"Baton, of which",Northumbria,Other equipment,Total: Baton,11 - 17 years,10.0
Baton drawn,Northumbria,Other equipment,Baton: drawn,11 - 17 years,8.0
Baton used,Northumbria,Other equipment,Baton: used,11 - 17 years,2.0
Baton not stated,Northumbria,,,11 - 17 years,0.0
"Irritant spray, of which",Northumbria,Other equipment,Total: Irritant spray,11 - 17 years,14.0
Irritant spray - drawn,Northumbria,Other equipment,Irritant spray: drawn,11 - 17 years,6.0
Irritant spray - used,Northumbria,Other equipment,Irritant spray: used,11 - 17 years,8.0
Irritant spray not stated,Northumbria,,,11 - 17 years,0.0
Spit and bite guard,Northumbria,Other equipment,Spit and bite guard,11 - 17 years,42.0
Shield,Northumbria,Other equipment,Shield,11 - 17 years,7.0
*Total Less lethal weapons,Northumbria,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,22.0
CED of which,Northumbria,,,11 - 17 years,21.0
CED non-discharge,Northumbria,,,11 - 17 years,20.0
CED discharge,Northumbria,,,11 - 17 years,1.0
CED not stated,Northumbria,,,11 - 17 years,0.0
"AEP, of which",Northumbria,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP drawn,Northumbria,,,11 - 17 years,1.0
AEP used,Northumbria,,,11 - 17 years,0.0
AEP not stated,Northumbria,,,11 - 17 years,0.0
*Total Firearms,Northumbria,Firearms,Total: Firearms,11 - 17 years,8.0
*Total Other,Northumbria,Other,Total: Other,11 - 17 years,85.0
"Dog use, of which",Northumbria,Other,Total: Dog,11 - 17 years,12.0
Dog deployed,Northumbria,Other,Dog: deployed,11 - 17 years,11.0
Dog bite,Northumbria,Other,Dog: bite,11 - 17 years,1.0
Dog not stated,Northumbria,,,11 - 17 years,0.0
Other / improvised,Northumbria,Other,Other / improvised,11 - 17 years,73.0
*Total Not reported,Northumbria,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Northumbria,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,1371.0
*Total Tactics,Nottinghamshire,Total,Total: all,11 - 17 years,903.0
*Total Restraint,Nottinghamshire,Restraint,Total: Restraint,11 - 17 years,548.0
"Handcuffing, of which",Nottinghamshire,Restraint,Total: Handcuffing,11 - 17 years,525.0
Compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: compliant,11 - 17 years,325.0
Non-compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: non-compliant,11 - 17 years,200.0
Handcuffing not stated,Nottinghamshire,,,11 - 17 years,0.0
Limb / Body restraints,Nottinghamshire,Restraint,Limb / body restraints,11 - 17 years,23.0
Ground restraint,Nottinghamshire,Restraint,Ground restraint,11 - 17 years,0.0
*Total Unarmed skills,Nottinghamshire,Unarmed skills,Total: unarmed skills,11 - 17 years,212.0
*Total Other equipment,Nottinghamshire,Other equipment,Total: Other equipment,11 - 17 years,22.0
"Baton, of which",Nottinghamshire,Other equipment,Total: Baton,11 - 17 years,8.0
Baton drawn,Nottinghamshire,Other equipment,Baton: drawn,11 - 17 years,6.0
Baton used,Nottinghamshire,Other equipment,Baton: used,11 - 17 years,2.0
Baton not stated,Nottinghamshire,,,11 - 17 years,0.0
"Irritant spray, of which",Nottinghamshire,Other equipment,Total: Irritant spray,11 - 17 years,12.0
Irritant spray - drawn,Nottinghamshire,Other equipment,Irritant spray: drawn,11 - 17 years,8.0
Irritant spray - used,Nottinghamshire,Other equipment,Irritant spray: used,11 - 17 years,4.0
Irritant spray not stated,Nottinghamshire,,,11 - 17 years,0.0
Spit and bite guard,Nottinghamshire,Other equipment,Spit and bite guard,11 - 17 years,2.0
Shield,Nottinghamshire,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Nottinghamshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,14.0
CED of which,Nottinghamshire,,,11 - 17 years,14.0
CED non-discharge,Nottinghamshire,,,11 - 17 years,14.0
CED discharge,Nottinghamshire,,,11 - 17 years,0.0
CED not stated,Nottinghamshire,,,11 - 17 years,0.0
"AEP, of which",Nottinghamshire,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP drawn,Nottinghamshire,,,11 - 17 years,0.0
AEP used,Nottinghamshire,,,11 - 17 years,0.0
AEP not stated,Nottinghamshire,,,11 - 17 years,0.0
*Total Firearms,Nottinghamshire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Nottinghamshire,Other,Total: Other,11 - 17 years,107.0
"Dog use, of which",Nottinghamshire,Other,Total: Dog,11 - 17 years,8.0
Dog deployed,Nottinghamshire,Other,Dog: deployed,11 - 17 years,4.0
Dog bite,Nottinghamshire,Other,Dog: bite,11 - 17 years,4.0
Dog not stated,Nottinghamshire,,,11 - 17 years,0.0
Other / improvised,Nottinghamshire,Other,Other / improvised,11 - 17 years,99.0
*Total Not reported,Nottinghamshire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Nottinghamshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,305.0
*Total Tactics,South Wales,Total,Total: all,11 - 17 years,2141.0
*Total Restraint,South Wales,Restraint,Total: Restraint,11 - 17 years,1418.0
"Handcuffing, of which",South Wales,Restraint,Total: Handcuffing,11 - 17 years,1174.0
Compliant handcuffing,South Wales,Restraint,Handcuffing: compliant,11 - 17 years,794.0
Non-compliant handcuffing,South Wales,Restraint,Handcuffing: non-compliant,11 - 17 years,380.0
Handcuffing not stated,South Wales,,,11 - 17 years,0.0
Limb / Body restraints,South Wales,Restraint,Limb / body restraints,11 - 17 years,45.0
Ground restraint,South Wales,Restraint,Ground restraint,11 - 17 years,199.0
*Total Unarmed skills,South Wales,Unarmed skills,Total: unarmed skills,11 - 17 years,524.0
*Total Other equipment,South Wales,Other equipment,Total: Other equipment,11 - 17 years,37.0
"Baton, of which",South Wales,Other equipment,Total: Baton,11 - 17 years,7.0
Baton drawn,South Wales,Other equipment,Baton: drawn,11 - 17 years,4.0
Baton used,South Wales,Other equipment,Baton: used,11 - 17 years,3.0
Baton not stated,South Wales,,,11 - 17 years,0.0
"Irritant spray, of which",South Wales,Other equipment,Total: Irritant spray,11 - 17 years,8.0
Irritant spray - drawn,South Wales,Other equipment,Irritant spray: drawn,11 - 17 years,5.0
Irritant spray - used,South Wales,Other equipment,Irritant spray: used,11 - 17 years,3.0
Irritant spray not stated,South Wales,,,11 - 17 years,0.0
Spit and bite guard,South Wales,Other equipment,Spit and bite guard,11 - 17 years,22.0
Shield,South Wales,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,South Wales,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,58.0
CED of which,South Wales,,,11 - 17 years,57.0
CED non-discharge,South Wales,,,11 - 17 years,40.0
CED discharge,South Wales,,,11 - 17 years,2.0
CED not stated,South Wales,,,11 - 17 years,15.0
"AEP, of which",South Wales,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP drawn,South Wales,,,11 - 17 years,1.0
AEP used,South Wales,,,11 - 17 years,0.0
AEP not stated,South Wales,,,11 - 17 years,0.0
*Total Firearms,South Wales,Firearms,Total: Firearms,11 - 17 years,8.0
*Total Other,South Wales,Other,Total: Other,11 - 17 years,96.0
"Dog use, of which",South Wales,Other,Total: Dog,11 - 17 years,19.0
Dog deployed,South Wales,Other,Dog: deployed,11 - 17 years,19.0
Dog bite,South Wales,Other,Dog: bite,11 - 17 years,0.0
Dog not stated,South Wales,,,11 - 17 years,0.0
Other / improvised,South Wales,Other,Other / improvised,11 - 17 years,77.0
*Total Not reported,South Wales,Not reported,Total: Not reported,11 - 17 years,1.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,838.0
*Total Tactics,South Yorkshire,Total,Total: all,11 - 17 years,693.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,11 - 17 years,308.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,11 - 17 years,223.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,11 - 17 years,71.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,11 - 17 years,152.0
Handcuffing not stated,South Yorkshire,,,11 - 17 years,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,11 - 17 years,25.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,11 - 17 years,60.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,11 - 17 years,319.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,11 - 17 years,20.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,11 - 17 years,1.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,11 - 17 years,1.0
Baton used,South Yorkshire,Other equipment,Baton: used,11 - 17 years,0.0
Baton not stated,South Yorkshire,,,11 - 17 years,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,11 - 17 years,15.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,11 - 17 years,2.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,11 - 17 years,13.0
Irritant spray not stated,South Yorkshire,,,11 - 17 years,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,11 - 17 years,4.0
Shield,South Yorkshire,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,24.0
CED of which,South Yorkshire,,,11 - 17 years,24.0
CED non-discharge,South Yorkshire,,,11 - 17 years,22.0
CED discharge,South Yorkshire,,,11 - 17 years,2.0
CED not stated,South Yorkshire,,,11 - 17 years,0.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP drawn,South Yorkshire,,,11 - 17 years,0.0
AEP used,South Yorkshire,,,11 - 17 years,0.0
AEP not stated,South Yorkshire,,,11 - 17 years,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,South Yorkshire,Other,Total: Other,11 - 17 years,22.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,11 - 17 years,7.0
Dog deployed,South Yorkshire,Other,Dog: deployed,11 - 17 years,4.0
Dog bite,South Yorkshire,Other,Dog: bite,11 - 17 years,3.0
Dog not stated,South Yorkshire,,,11 - 17 years,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,11 - 17 years,15.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,281.0
*Total Tactics,Staffordshire,Total,Total: all,11 - 17 years,494.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,11 - 17 years,210.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,11 - 17 years,144.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,11 - 17 years,
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,11 - 17 years,
Handcuffing not stated,Staffordshire,,,11 - 17 years,144.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,11 - 17 years,15.0
Ground restraint,Staffordshire,Restraint,Ground restraint,11 - 17 years,51.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,11 - 17 years,240.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,11 - 17 years,21.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,11 - 17 years,1.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,11 - 17 years,1.0
Baton used,Staffordshire,Other equipment,Baton: used,11 - 17 years,0.0
Baton not stated,Staffordshire,,,11 - 17 years,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,11 - 17 years,18.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,11 - 17 years,12.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,11 - 17 years,6.0
Irritant spray not stated,Staffordshire,,,11 - 17 years,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,11 - 17 years,2.0
Shield,Staffordshire,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,4.0
CED of which,Staffordshire,,,11 - 17 years,3.0
CED non-discharge,Staffordshire,,,11 - 17 years,3.0
CED discharge,Staffordshire,,,11 - 17 years,0.0
CED not stated,Staffordshire,,,11 - 17 years,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP drawn,Staffordshire,,,11 - 17 years,1.0
AEP used,Staffordshire,,,11 - 17 years,0.0
AEP not stated,Staffordshire,,,11 - 17 years,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Staffordshire,Other,Total: Other,11 - 17 years,19.0
"Dog use, of which",Staffordshire,Other,Total: Dog,11 - 17 years,8.0
Dog deployed,Staffordshire,Other,Dog: deployed,11 - 17 years,6.0
Dog bite,Staffordshire,Other,Dog: bite,11 - 17 years,2.0
Dog not stated,Staffordshire,,,11 - 17 years,0.0
Other / improvised,Staffordshire,Other,Other / improvised,11 - 17 years,11.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,11 - 17 years,2.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,207.0
*Total Tactics,Suffolk,Total,Total: all,11 - 17 years,637.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,11 - 17 years,360.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,11 - 17 years,285.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,11 - 17 years,143.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,11 - 17 years,142.0
Handcuffing not stated,Suffolk,,,11 - 17 years,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,11 - 17 years,23.0
Ground restraint,Suffolk,Restraint,Ground restraint,11 - 17 years,52.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,11 - 17 years,106.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,11 - 17 years,25.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,11 - 17 years,1.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,11 - 17 years,1.0
Baton used,Suffolk,Other equipment,Baton: used,11 - 17 years,0.0
Baton not stated,Suffolk,,,11 - 17 years,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,11 - 17 years,18.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,11 - 17 years,13.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,11 - 17 years,5.0
Irritant spray not stated,Suffolk,,,11 - 17 years,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,11 - 17 years,6.0
Shield,Suffolk,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,32.0
CED of which,Suffolk,,,11 - 17 years,31.0
CED non-discharge,Suffolk,,,11 - 17 years,
CED discharge,Suffolk,,,11 - 17 years,
CED not stated,Suffolk,,,11 - 17 years,31.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP drawn,Suffolk,,,11 - 17 years,1.0
AEP used,Suffolk,,,11 - 17 years,0.0
AEP not stated,Suffolk,,,11 - 17 years,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,11 - 17 years,2.0
*Total Other,Suffolk,Other,Total: Other,11 - 17 years,112.0
"Dog use, of which",Suffolk,Other,Total: Dog,11 - 17 years,1.0
Dog deployed,Suffolk,Other,Dog: deployed,11 - 17 years,1.0
Dog bite,Suffolk,Other,Dog: bite,11 - 17 years,0.0
Dog not stated,Suffolk,,,11 - 17 years,0.0
Other / improvised,Suffolk,Other,Other / improvised,11 - 17 years,111.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,11 - 17 years,12.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,264.0
*Total Tactics,Surrey,Total,Total: all,11 - 17 years,654.0
*Total Restraint,Surrey,Restraint,Total: Restraint,11 - 17 years,381.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,11 - 17 years,324.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,11 - 17 years,160.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,11 - 17 years,164.0
Handcuffing not stated,Surrey,,,11 - 17 years,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,11 - 17 years,26.0
Ground restraint,Surrey,Restraint,Ground restraint,11 - 17 years,31.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,11 - 17 years,203.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,11 - 17 years,20.0
"Baton, of which",Surrey,Other equipment,Total: Baton,11 - 17 years,1.0
Baton drawn,Surrey,Other equipment,Baton: drawn,11 - 17 years,1.0
Baton used,Surrey,Other equipment,Baton: used,11 - 17 years,0.0
Baton not stated,Surrey,,,11 - 17 years,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,11 - 17 years,10.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,11 - 17 years,7.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,11 - 17 years,3.0
Irritant spray not stated,Surrey,,,11 - 17 years,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,11 - 17 years,9.0
Shield,Surrey,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,34.0
CED of which,Surrey,,,11 - 17 years,34.0
CED non-discharge,Surrey,,,11 - 17 years,33.0
CED discharge,Surrey,,,11 - 17 years,1.0
CED not stated,Surrey,,,11 - 17 years,0.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP drawn,Surrey,,,11 - 17 years,0.0
AEP used,Surrey,,,11 - 17 years,0.0
AEP not stated,Surrey,,,11 - 17 years,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,11 - 17 years,3.0
*Total Other,Surrey,Other,Total: Other,11 - 17 years,13.0
"Dog use, of which",Surrey,Other,Total: Dog,11 - 17 years,0.0
Dog deployed,Surrey,Other,Dog: deployed,11 - 17 years,0.0
Dog bite,Surrey,Other,Dog: bite,11 - 17 years,0.0
Dog not stated,Surrey,,,11 - 17 years,0.0
Other / improvised,Surrey,Other,Other / improvised,11 - 17 years,13.0
*Total Not reported,Surrey,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,307.0
*Total Tactics,Sussex,Total,Total: all,11 - 17 years,2365.0
*Total Restraint,Sussex,Restraint,Total: Restraint,11 - 17 years,1233.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,11 - 17 years,1086.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,11 - 17 years,
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,11 - 17 years,
Handcuffing not stated,Sussex,,,11 - 17 years,1086.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,11 - 17 years,54.0
Ground restraint,Sussex,Restraint,Ground restraint,11 - 17 years,93.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,11 - 17 years,880.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,11 - 17 years,92.0
"Baton, of which",Sussex,Other equipment,Total: Baton,11 - 17 years,11.0
Baton drawn,Sussex,Other equipment,Baton: drawn,11 - 17 years,7.0
Baton used,Sussex,Other equipment,Baton: used,11 - 17 years,4.0
Baton not stated,Sussex,,,11 - 17 years,0.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,11 - 17 years,58.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,11 - 17 years,37.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,11 - 17 years,21.0
Irritant spray not stated,Sussex,,,11 - 17 years,0.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,11 - 17 years,22.0
Shield,Sussex,Other equipment,Shield,11 - 17 years,1.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,67.0
CED of which,Sussex,,,11 - 17 years,66.0
CED non-discharge,Sussex,,,11 - 17 years,66.0
CED discharge,Sussex,,,11 - 17 years,0.0
CED not stated,Sussex,,,11 - 17 years,0.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP drawn,Sussex,,,11 - 17 years,1.0
AEP used,Sussex,,,11 - 17 years,0.0
AEP not stated,Sussex,,,11 - 17 years,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,11 - 17 years,3.0
*Total Other,Sussex,Other,Total: Other,11 - 17 years,90.0
"Dog use, of which",Sussex,Other,Total: Dog,11 - 17 years,8.0
Dog deployed,Sussex,Other,Dog: deployed,11 - 17 years,8.0
Dog bite,Sussex,Other,Dog: bite,11 - 17 years,0.0
Dog not stated,Sussex,,,11 - 17 years,0.0
Other / improvised,Sussex,Other,Other / improvised,11 - 17 years,82.0
*Total Not reported,Sussex,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,940.0
*Total Tactics,Thames Valley,Total,Total: all,11 - 17 years,2775.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,11 - 17 years,1671.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,11 - 17 years,1068.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,11 - 17 years,661.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,11 - 17 years,402.0
Handcuffing not stated,Thames Valley,,,11 - 17 years,5.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,11 - 17 years,93.0
Ground restraint,Thames Valley,Restraint,Ground restraint,11 - 17 years,510.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,11 - 17 years,769.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,11 - 17 years,112.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,11 - 17 years,22.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,11 - 17 years,
Baton used,Thames Valley,Other equipment,Baton: used,11 - 17 years,
Baton not stated,Thames Valley,,,11 - 17 years,22.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,11 - 17 years,61.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,11 - 17 years,22.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,11 - 17 years,33.0
Irritant spray not stated,Thames Valley,,,11 - 17 years,6.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,11 - 17 years,28.0
Shield,Thames Valley,Other equipment,Shield,11 - 17 years,1.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,84.0
