Police Force,Type of force,Tactic,Mental,Physical,Physical and mental,None,Not reported,Number of times tactic reported
Cumbria,Tactical communication,Tactical communication,1079.0,13.0,28.0,1575.0,0.0,2695.0
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,5085.0,46.0,70.0,2755.0,0.0,7956.0
Derbyshire,Restraint,*Total Restraint,2694.0,25.0,25.0,1391.0,0.0,4135.0
Derbyshire,Restraint,"Handcuffing, of which",2223.0,17.0,18.0,1046.0,0.0,3304.0
Derbyshire,Restraint,Compliant handcuffing,:,:,:,:,:,:
Derbyshire,Restraint,Non-compliant handcuffing,:,:,:,:,:,:
Derbyshire,Restraint,Handcuffing not stated,2223.0,17.0,18.0,1046.0,0.0,3304.0
Derbyshire,Restraint,Limb / Body restraints,222.0,7.0,4.0,172.0,0.0,405.0
Derbyshire,Restraint,Ground restraint,249.0,1.0,3.0,173.0,0.0,426.0
Derbyshire,Unarmed skills,*Total Unarmed skills,1507.0,17.0,32.0,927.0,0.0,2483.0
Derbyshire,Other equipment,*Total Other equipment,488.0,1.0,9.0,231.0,0.0,729.0
Derbyshire,Other equipment,"Baton, of which",47.0,0.0,1.0,24.0,0.0,72.0
Derbyshire,Other equipment,Baton drawn,29.0,0.0,1.0,19.0,0.0,49.0
Derbyshire,Other equipment,Baton used,18.0,0.0,0.0,5.0,0.0,23.0
Derbyshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,"Irritant spray, of which",380.0,0.0,7.0,173.0,0.0,560.0
Derbyshire,Other equipment,Irritant spray - drawn,152.0,0.0,4.0,82.0,0.0,238.0
Derbyshire,Other equipment,Irritant spray - used,228.0,0.0,3.0,91.0,0.0,322.0
Derbyshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other equipment,Spit and bite guard,57.0,1.0,1.0,30.0,0.0,89.0
Derbyshire,Other equipment,Shield,4.0,0.0,0.0,4.0,0.0,8.0
Derbyshire,Less lethal weapons,*Total Less lethal weapons,130.0,1.0,1.0,86.0,0.0,218.0
Derbyshire,Less lethal weapons,CED of which,125.0,1.0,1.0,84.0,0.0,211.0
Derbyshire,Less lethal weapons,CED non-discharge,110.0,1.0,1.0,77.0,0.0,189.0
Derbyshire,Less lethal weapons,CED discharge,14.0,0.0,0.0,7.0,0.0,21.0
Derbyshire,Less lethal weapons,CED not stated,1.0,0.0,0.0,0.0,0.0,1.0
Derbyshire,Less lethal weapons,"AEP, of which",5.0,0.0,0.0,2.0,0.0,7.0
Derbyshire,Less lethal weapons,AEP drawn,5.0,0.0,0.0,2.0,0.0,7.0
Derbyshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Firearms,*Total Firearms,41.0,0.0,0.0,4.0,0.0,45.0
Derbyshire,Other,*Total Other,225.0,2.0,3.0,116.0,0.0,346.0
Derbyshire,Other,"Dog use, of which",34.0,0.0,1.0,1.0,0.0,36.0
Derbyshire,Other,Dog deployed,31.0,0.0,1.0,1.0,0.0,33.0
Derbyshire,Other,Dog bite,3.0,0.0,0.0,0.0,0.0,3.0
Derbyshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Derbyshire,Other,Other / improvised,191.0,2.0,2.0,115.0,0.0,310.0
Derbyshire,Not reported,*Total Not reported,0.0,0.0,42.0,0.0,0.0,42.0
Derbyshire,Tactical communication,Tactical communication,2227.0,23.0,35.0,1253.0,0.0,3538.0
Devon & Cornwall,Total (excluding not reported and tactical communication),*Total Tactics,3921.0,115.0,133.0,13526.0,0.0,17695.0
Devon & Cornwall,Restraint,*Total Restraint,2290.0,74.0,67.0,8402.0,0.0,10833.0
Devon & Cornwall,Restraint,"Handcuffing, of which",1387.0,57.0,52.0,6198.0,0.0,7694.0
Devon & Cornwall,Restraint,Compliant handcuffing,315.0,20.0,21.0,2800.0,0.0,3156.0
Devon & Cornwall,Restraint,Non-compliant handcuffing,1072.0,37.0,31.0,3398.0,0.0,4538.0
Devon & Cornwall,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Restraint,Limb / Body restraints,228.0,1.0,4.0,439.0,0.0,672.0
Devon & Cornwall,Restraint,Ground restraint,675.0,16.0,11.0,1765.0,0.0,2467.0
Devon & Cornwall,Unarmed skills,*Total Unarmed skills,1211.0,29.0,48.0,3727.0,0.0,5015.0
Devon & Cornwall,Other equipment,*Total Other equipment,174.0,3.0,4.0,557.0,0.0,738.0
Devon & Cornwall,Other equipment,"Baton, of which",13.0,0.0,0.0,24.0,0.0,37.0
Devon & Cornwall,Other equipment,Baton drawn,8.0,0.0,0.0,15.0,0.0,23.0
Devon & Cornwall,Other equipment,Baton used,5.0,0.0,0.0,9.0,0.0,14.0
Devon & Cornwall,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other equipment,"Irritant spray, of which",59.0,2.0,1.0,303.0,0.0,365.0
Devon & Cornwall,Other equipment,Irritant spray - drawn,30.0,1.0,0.0,130.0,0.0,161.0
Devon & Cornwall,Other equipment,Irritant spray - used,29.0,1.0,1.0,173.0,0.0,204.0
Devon & Cornwall,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other equipment,Spit and bite guard,92.0,1.0,3.0,218.0,0.0,314.0
Devon & Cornwall,Other equipment,Shield,10.0,0.0,0.0,12.0,0.0,22.0
Devon & Cornwall,Less lethal weapons,*Total Less lethal weapons,168.0,5.0,9.0,571.0,0.0,753.0
Devon & Cornwall,Less lethal weapons,CED of which,160.0,5.0,9.0,559.0,0.0,733.0
Devon & Cornwall,Less lethal weapons,CED non-discharge,139.0,5.0,9.0,472.0,0.0,625.0
Devon & Cornwall,Less lethal weapons,CED discharge,16.0,0.0,0.0,74.0,0.0,90.0
Devon & Cornwall,Less lethal weapons,CED not stated,5.0,0.0,0.0,13.0,0.0,18.0
Devon & Cornwall,Less lethal weapons,"AEP, of which",8.0,0.0,0.0,12.0,0.0,20.0
Devon & Cornwall,Less lethal weapons,AEP drawn,7.0,0.0,0.0,11.0,0.0,18.0
Devon & Cornwall,Less lethal weapons,AEP used,1.0,0.0,0.0,1.0,0.0,2.0
Devon & Cornwall,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Firearms,*Total Firearms,8.0,0.0,1.0,63.0,0.0,72.0
Devon & Cornwall,Other,*Total Other,70.0,4.0,4.0,206.0,0.0,284.0
Devon & Cornwall,Other,"Dog use, of which",2.0,0.0,0.0,25.0,0.0,27.0
Devon & Cornwall,Other,Dog deployed,0.0,0.0,0.0,15.0,0.0,15.0
Devon & Cornwall,Other,Dog bite,2.0,0.0,0.0,10.0,0.0,12.0
Devon & Cornwall,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Other,Other / improvised,68.0,4.0,4.0,181.0,0.0,257.0
Devon & Cornwall,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Devon & Cornwall,Tactical communication,Tactical communication,1837.0,61.0,70.0,7274.0,0.0,9242.0
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,2048.0,490.0,158.0,10012.0,0.0,12708.0
Dorset,Restraint,*Total Restraint,1605.0,387.0,124.0,7711.0,0.0,9827.0
Dorset,Restraint,"Handcuffing, of which",1034.0,268.0,87.0,5199.0,0.0,6588.0
Dorset,Restraint,Compliant handcuffing,263.0,92.0,25.0,1851.0,0.0,2231.0
Dorset,Restraint,Non-compliant handcuffing,771.0,176.0,62.0,3348.0,0.0,4357.0
Dorset,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Restraint,Limb / Body restraints,131.0,21.0,8.0,581.0,0.0,741.0
Dorset,Restraint,Ground restraint,440.0,98.0,29.0,1931.0,0.0,2498.0
Dorset,Unarmed skills,*Total Unarmed skills,312.0,75.0,22.0,1439.0,0.0,1848.0
Dorset,Other equipment,*Total Other equipment,53.0,17.0,7.0,454.0,0.0,531.0
Dorset,Other equipment,"Baton, of which",2.0,0.0,0.0,38.0,0.0,40.0
Dorset,Other equipment,Baton drawn,2.0,0.0,0.0,25.0,0.0,27.0
Dorset,Other equipment,Baton used,0.0,0.0,0.0,13.0,0.0,13.0
Dorset,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,"Irritant spray, of which",27.0,13.0,2.0,275.0,0.0,317.0
Dorset,Other equipment,Irritant spray - drawn,12.0,6.0,0.0,63.0,0.0,81.0
Dorset,Other equipment,Irritant spray - used,15.0,7.0,2.0,212.0,0.0,236.0
Dorset,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other equipment,Spit and bite guard,24.0,4.0,4.0,139.0,0.0,171.0
Dorset,Other equipment,Shield,0.0,0.0,1.0,2.0,0.0,3.0
Dorset,Less lethal weapons,*Total Less lethal weapons,44.0,3.0,4.0,155.0,0.0,206.0
Dorset,Less lethal weapons,CED of which,44.0,3.0,4.0,155.0,0.0,206.0
Dorset,Less lethal weapons,CED non-discharge,37.0,3.0,4.0,142.0,0.0,186.0
Dorset,Less lethal weapons,CED discharge,7.0,0.0,0.0,13.0,0.0,20.0
Dorset,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Firearms,*Total Firearms,7.0,1.0,0.0,135.0,0.0,143.0
Dorset,Other,*Total Other,27.0,7.0,1.0,118.0,0.0,153.0
Dorset,Other,"Dog use, of which",6.0,0.0,0.0,21.0,0.0,27.0
Dorset,Other,Dog deployed,5.0,0.0,0.0,20.0,0.0,25.0
Dorset,Other,Dog bite,1.0,0.0,0.0,1.0,0.0,2.0
Dorset,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Other,Other / improvised,21.0,7.0,1.0,97.0,0.0,126.0
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,Tactical communication,Tactical communication,77.0,14.0,4.0,234.0,0.0,329.0
Durham,Total (excluding not reported and tactical communication),*Total Tactics,447.0,40.0,7.0,9590.0,0.0,10084.0
Durham,Restraint,*Total Restraint,255.0,22.0,3.0,6515.0,0.0,6795.0
Durham,Restraint,"Handcuffing, of which",173.0,19.0,3.0,5393.0,0.0,5588.0
Durham,Restraint,Compliant handcuffing,107.0,13.0,2.0,4078.0,0.0,4200.0
Durham,Restraint,Non-compliant handcuffing,66.0,6.0,1.0,1315.0,0.0,1388.0
Durham,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Restraint,Limb / Body restraints,22.0,1.0,0.0,102.0,0.0,125.0
Durham,Restraint,Ground restraint,60.0,2.0,0.0,1020.0,0.0,1082.0
Durham,Unarmed skills,*Total Unarmed skills,136.0,14.0,2.0,2185.0,0.0,2337.0
Durham,Other equipment,*Total Other equipment,13.0,1.0,0.0,282.0,0.0,296.0
Durham,Other equipment,"Baton, of which",3.0,0.0,0.0,35.0,0.0,38.0
Durham,Other equipment,Baton drawn,0.0,0.0,0.0,17.0,0.0,17.0
Durham,Other equipment,Baton used,3.0,0.0,0.0,18.0,0.0,21.0
Durham,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,"Irritant spray, of which",8.0,1.0,0.0,229.0,0.0,238.0
Durham,Other equipment,Irritant spray - drawn,5.0,0.0,0.0,73.0,0.0,78.0
Durham,Other equipment,Irritant spray - used,3.0,1.0,0.0,156.0,0.0,160.0
Durham,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other equipment,Spit and bite guard,2.0,0.0,0.0,14.0,0.0,16.0
Durham,Other equipment,Shield,0.0,0.0,0.0,4.0,0.0,4.0
Durham,Less lethal weapons,*Total Less lethal weapons,26.0,0.0,0.0,338.0,0.0,364.0
Durham,Less lethal weapons,CED of which,25.0,0.0,0.0,323.0,0.0,348.0
Durham,Less lethal weapons,CED non-discharge,20.0,0.0,0.0,270.0,0.0,290.0
Durham,Less lethal weapons,CED discharge,3.0,0.0,0.0,44.0,0.0,47.0
Durham,Less lethal weapons,CED not stated,2.0,0.0,0.0,9.0,0.0,11.0
Durham,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,15.0,0.0,16.0
Durham,Less lethal weapons,AEP drawn,1.0,0.0,0.0,14.0,0.0,15.0
Durham,Less lethal weapons,AEP used,0.0,0.0,0.0,1.0,0.0,1.0
Durham,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Firearms,*Total Firearms,0.0,0.0,0.0,10.0,0.0,10.0
Durham,Other,*Total Other,17.0,3.0,2.0,260.0,0.0,282.0
Durham,Other,"Dog use, of which",2.0,0.0,1.0,34.0,0.0,37.0
Durham,Other,Dog deployed,2.0,0.0,1.0,31.0,0.0,34.0
Durham,Other,Dog bite,0.0,0.0,0.0,3.0,0.0,3.0
Durham,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Other,Other / improvised,15.0,3.0,1.0,226.0,0.0,245.0
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Tactical communication,Tactical communication,93.0,9.0,2.0,1485.0,0.0,1589.0
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,1919.0,19.0,31.0,3341.0,0.0,5310.0
Dyfed-Powys,Restraint,*Total Restraint,969.0,9.0,17.0,1904.0,0.0,2899.0
Dyfed-Powys,Restraint,"Handcuffing, of which",799.0,7.0,16.0,1686.0,0.0,2508.0
Dyfed-Powys,Restraint,Compliant handcuffing,352.0,7.0,9.0,1065.0,0.0,1433.0
Dyfed-Powys,Restraint,Non-compliant handcuffing,447.0,0.0,7.0,621.0,0.0,1075.0
Dyfed-Powys,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Restraint,Limb / Body restraints,63.0,1.0,0.0,61.0,0.0,125.0
Dyfed-Powys,Restraint,Ground restraint,107.0,1.0,1.0,157.0,0.0,266.0
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,657.0,8.0,11.0,981.0,0.0,1657.0
Dyfed-Powys,Other equipment,*Total Other equipment,52.0,0.0,1.0,102.0,0.0,155.0
Dyfed-Powys,Other equipment,"Baton, of which",9.0,0.0,0.0,10.0,0.0,19.0
Dyfed-Powys,Other equipment,Baton drawn,7.0,0.0,0.0,7.0,0.0,14.0
Dyfed-Powys,Other equipment,Baton used,2.0,0.0,0.0,3.0,0.0,5.0
Dyfed-Powys,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,"Irritant spray, of which",23.0,0.0,0.0,75.0,0.0,98.0
Dyfed-Powys,Other equipment,Irritant spray - drawn,7.0,0.0,0.0,31.0,0.0,38.0
Dyfed-Powys,Other equipment,Irritant spray - used,16.0,0.0,0.0,44.0,0.0,60.0
Dyfed-Powys,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other equipment,Spit and bite guard,18.0,0.0,0.0,13.0,0.0,31.0
Dyfed-Powys,Other equipment,Shield,2.0,0.0,1.0,4.0,0.0,7.0
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,148.0,0.0,2.0,172.0,0.0,322.0
Dyfed-Powys,Less lethal weapons,CED of which,139.0,0.0,2.0,158.0,0.0,299.0
Dyfed-Powys,Less lethal weapons,CED non-discharge,119.0,0.0,2.0,152.0,0.0,273.0
Dyfed-Powys,Less lethal weapons,CED discharge,20.0,0.0,0.0,6.0,0.0,26.0
Dyfed-Powys,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,"AEP, of which",9.0,0.0,0.0,14.0,0.0,23.0
Dyfed-Powys,Less lethal weapons,AEP drawn,9.0,0.0,0.0,14.0,0.0,23.0
Dyfed-Powys,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Firearms,*Total Firearms,24.0,1.0,0.0,68.0,0.0,93.0
Dyfed-Powys,Other,*Total Other,69.0,1.0,0.0,114.0,0.0,184.0
Dyfed-Powys,Other,"Dog use, of which",4.0,0.0,0.0,7.0,0.0,11.0
Dyfed-Powys,Other,Dog deployed,4.0,0.0,0.0,7.0,0.0,11.0
Dyfed-Powys,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Other,Other / improvised,65.0,1.0,0.0,107.0,0.0,173.0
Dyfed-Powys,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Dyfed-Powys,Tactical communication,Tactical communication,886.0,10.0,18.0,1417.0,0.0,2331.0
Essex,Total (excluding not reported and tactical communication),*Total Tactics,2010.0,84.0,58.0,19046.0,0.0,21198.0
Essex,Restraint,*Total Restraint,1281.0,50.0,34.0,12965.0,0.0,14330.0
Essex,Restraint,"Handcuffing, of which",668.0,32.0,22.0,8715.0,0.0,9437.0
Essex,Restraint,Compliant handcuffing,252.0,22.0,8.0,5617.0,0.0,5899.0
Essex,Restraint,Non-compliant handcuffing,416.0,10.0,14.0,3098.0,0.0,3538.0
Essex,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Restraint,Limb / Body restraints,207.0,5.0,5.0,1192.0,0.0,1409.0
Essex,Restraint,Ground restraint,406.0,13.0,7.0,3058.0,0.0,3484.0
Essex,Unarmed skills,*Total Unarmed skills,402.0,16.0,16.0,3115.0,0.0,3549.0
Essex,Other equipment,*Total Other equipment,62.0,1.0,2.0,543.0,0.0,608.0
Essex,Other equipment,"Baton, of which",8.0,0.0,0.0,137.0,0.0,145.0
Essex,Other equipment,Baton drawn,7.0,0.0,0.0,100.0,0.0,107.0
Essex,Other equipment,Baton used,1.0,0.0,0.0,37.0,0.0,38.0
Essex,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,"Irritant spray, of which",14.0,0.0,0.0,146.0,0.0,160.0
Essex,Other equipment,Irritant spray - drawn,11.0,0.0,0.0,66.0,0.0,77.0
Essex,Other equipment,Irritant spray - used,3.0,0.0,0.0,80.0,0.0,83.0
Essex,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other equipment,Spit and bite guard,31.0,1.0,2.0,243.0,0.0,277.0
Essex,Other equipment,Shield,9.0,0.0,0.0,17.0,0.0,26.0
Essex,Less lethal weapons,*Total Less lethal weapons,45.0,1.0,2.0,333.0,0.0,381.0
Essex,Less lethal weapons,CED of which,45.0,1.0,2.0,333.0,0.0,381.0
Essex,Less lethal weapons,CED non-discharge,37.0,0.0,1.0,195.0,0.0,233.0
Essex,Less lethal weapons,CED discharge,4.0,0.0,1.0,24.0,0.0,29.0
Essex,Less lethal weapons,CED not stated,4.0,1.0,0.0,114.0,0.0,119.0
Essex,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Firearms,*Total Firearms,4.0,2.0,0.0,156.0,0.0,162.0
Essex,Other,*Total Other,216.0,14.0,4.0,1934.0,0.0,2168.0
Essex,Other,"Dog use, of which",4.0,2.0,0.0,161.0,0.0,167.0
Essex,Other,Dog deployed,3.0,1.0,0.0,126.0,0.0,130.0
Essex,Other,Dog bite,1.0,1.0,0.0,35.0,0.0,37.0
Essex,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other,Other / improvised,212.0,12.0,4.0,1773.0,0.0,2001.0
Essex,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Tactical communication,Tactical communication,519.0,18.0,18.0,4341.0,0.0,4896.0
Gloucestershire,Total (excluding not reported and tactical communication),*Total Tactics,170.0,12.0,8.0,1946.0,0.0,2136.0
Gloucestershire,Restraint,*Total Restraint,100.0,8.0,7.0,1279.0,0.0,1394.0
Gloucestershire,Restraint,"Handcuffing, of which",68.0,4.0,2.0,856.0,0.0,930.0
Gloucestershire,Restraint,Compliant handcuffing,33.0,1.0,2.0,506.0,0.0,542.0
Gloucestershire,Restraint,Non-compliant handcuffing,35.0,3.0,0.0,350.0,0.0,388.0
Gloucestershire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Restraint,Limb / Body restraints,5.0,2.0,3.0,79.0,0.0,89.0
Gloucestershire,Restraint,Ground restraint,27.0,2.0,2.0,344.0,0.0,375.0
Gloucestershire,Unarmed skills,*Total Unarmed skills,32.0,2.0,1.0,360.0,0.0,395.0
Gloucestershire,Other equipment,*Total Other equipment,17.0,0.0,0.0,120.0,0.0,137.0
Gloucestershire,Other equipment,"Baton, of which",4.0,0.0,0.0,21.0,0.0,25.0
Gloucestershire,Other equipment,Baton drawn,2.0,0.0,0.0,12.0,0.0,14.0
Gloucestershire,Other equipment,Baton used,2.0,0.0,0.0,9.0,0.0,11.0
Gloucestershire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,"Irritant spray, of which",6.0,0.0,0.0,68.0,0.0,74.0
Gloucestershire,Other equipment,Irritant spray - drawn,4.0,0.0,0.0,38.0,0.0,42.0
Gloucestershire,Other equipment,Irritant spray - used,2.0,0.0,0.0,30.0,0.0,32.0
Gloucestershire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,Spit and bite guard,4.0,0.0,0.0,22.0,0.0,26.0
Gloucestershire,Other equipment,Shield,3.0,0.0,0.0,9.0,0.0,12.0
Gloucestershire,Less lethal weapons,*Total Less lethal weapons,13.0,1.0,0.0,107.0,0.0,121.0
Gloucestershire,Less lethal weapons,CED of which,12.0,1.0,0.0,89.0,0.0,102.0
Gloucestershire,Less lethal weapons,CED non-discharge,8.0,1.0,0.0,54.0,0.0,63.0
Gloucestershire,Less lethal weapons,CED discharge,2.0,0.0,0.0,20.0,0.0,22.0
Gloucestershire,Less lethal weapons,CED not stated,2.0,0.0,0.0,15.0,0.0,17.0
Gloucestershire,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,18.0,0.0,19.0
Gloucestershire,Less lethal weapons,AEP drawn,1.0,0.0,0.0,16.0,0.0,17.0
Gloucestershire,Less lethal weapons,AEP used,0.0,0.0,0.0,2.0,0.0,2.0
Gloucestershire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Firearms,*Total Firearms,2.0,1.0,0.0,4.0,0.0,7.0
Gloucestershire,Other,*Total Other,6.0,0.0,0.0,76.0,0.0,82.0
Gloucestershire,Other,"Dog use, of which",2.0,0.0,0.0,40.0,0.0,42.0
Gloucestershire,Other,Dog deployed,2.0,0.0,0.0,37.0,0.0,39.0
Gloucestershire,Other,Dog bite,0.0,0.0,0.0,3.0,0.0,3.0
Gloucestershire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Other / improvised,4.0,0.0,0.0,36.0,0.0,40.0
Gloucestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Tactical communication,Tactical communication,76.0,6.0,4.0,941.0,0.0,1027.0
Greater Manchester,Total (excluding not reported and tactical communication),*Total Tactics,1770.0,94.0,43.0,14529.0,0.0,16436.0
Greater Manchester,Restraint,*Total Restraint,1122.0,62.0,25.0,8978.0,0.0,10187.0
Greater Manchester,Restraint,"Handcuffing, of which",461.0,29.0,9.0,4299.0,0.0,4798.0
Greater Manchester,Restraint,Compliant handcuffing,131.0,12.0,2.0,1777.0,0.0,1922.0
Greater Manchester,Restraint,Non-compliant handcuffing,330.0,17.0,7.0,2522.0,0.0,2876.0
Greater Manchester,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Restraint,Limb / Body restraints,376.0,18.0,11.0,2452.0,0.0,2857.0
Greater Manchester,Restraint,Ground restraint,285.0,15.0,5.0,2227.0,0.0,2532.0
Greater Manchester,Unarmed skills,*Total Unarmed skills,369.0,19.0,7.0,3156.0,0.0,3551.0
Greater Manchester,Other equipment,*Total Other equipment,75.0,1.0,4.0,689.0,0.0,769.0
Greater Manchester,Other equipment,"Baton, of which",11.0,0.0,0.0,309.0,0.0,320.0
Greater Manchester,Other equipment,Baton drawn,8.0,0.0,0.0,211.0,0.0,219.0
Greater Manchester,Other equipment,Baton used,3.0,0.0,0.0,98.0,0.0,101.0
Greater Manchester,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,"Irritant spray, of which",23.0,0.0,2.0,240.0,0.0,265.0
Greater Manchester,Other equipment,Irritant spray - drawn,14.0,0.0,1.0,144.0,0.0,159.0
Greater Manchester,Other equipment,Irritant spray - used,9.0,0.0,1.0,96.0,0.0,106.0
Greater Manchester,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,Spit and bite guard,6.0,0.0,1.0,65.0,0.0,72.0
Greater Manchester,Other equipment,Shield,35.0,1.0,1.0,75.0,0.0,112.0
Greater Manchester,Less lethal weapons,*Total Less lethal weapons,166.0,11.0,6.0,1363.0,0.0,1546.0
Greater Manchester,Less lethal weapons,CED of which,166.0,11.0,6.0,1360.0,0.0,1543.0
Greater Manchester,Less lethal weapons,CED non-discharge,132.0,11.0,6.0,1009.0,0.0,1158.0
Greater Manchester,Less lethal weapons,CED discharge,26.0,0.0,0.0,148.0,0.0,174.0
Greater Manchester,Less lethal weapons,CED not stated,8.0,0.0,0.0,203.0,0.0,211.0
Greater Manchester,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,3.0,0.0,3.0
Greater Manchester,Less lethal weapons,AEP drawn,0.0,0.0,0.0,2.0,0.0,2.0
Greater Manchester,Less lethal weapons,AEP used,0.0,0.0,0.0,1.0,0.0,1.0
Greater Manchester,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Firearms,*Total Firearms,3.0,0.0,0.0,42.0,0.0,45.0
Greater Manchester,Other,*Total Other,35.0,1.0,1.0,301.0,0.0,338.0
Greater Manchester,Other,"Dog use, of which",0.0,0.0,0.0,63.0,0.0,63.0
Greater Manchester,Other,Dog deployed,0.0,0.0,0.0,36.0,0.0,36.0
Greater Manchester,Other,Dog bite,0.0,0.0,0.0,27.0,0.0,27.0
Greater Manchester,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other,Other / improvised,35.0,1.0,1.0,238.0,0.0,275.0
Greater Manchester,Not reported,*Total Not reported,7.0,0.0,0.0,27.0,0.0,34.0
