Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
*Total Restraint,Norfolk,Restraint,Total: Restraint,White,3514.0
"Handcuffing, of which",Norfolk,Restraint,Total: Handcuffing,White,2713.0
Compliant handcuffing,Norfolk,Restraint,Handcuffing: compliant,White,1710.0
Non-compliant handcuffing,Norfolk,Restraint,Handcuffing: non-compliant,White,1003.0
Handcuffing not stated,Norfolk,,,White,0.0
Limb / Body restraints,Norfolk,Restraint,Limb / body restraints,White,377.0
Ground restraint,Norfolk,Restraint,Ground restraint,White,424.0
*Total Unarmed skills,Norfolk,Unarmed skills,Total: unarmed skills,White,1880.0
*Total Other equipment,Norfolk,Other equipment,Total: Other equipment,White,478.0
"Baton, of which",Norfolk,Other equipment,Total: Baton,White,43.0
Baton drawn,Norfolk,Other equipment,Baton: drawn,White,24.0
Baton used,Norfolk,Other equipment,Baton: used,White,19.0
Baton not stated,Norfolk,,,White,0.0
"Irritant spray, of which",Norfolk,Other equipment,Total: Irritant spray,White,341.0
Irritant spray - drawn,Norfolk,Other equipment,Irritant spray: drawn,White,120.0
Irritant spray - used,Norfolk,Other equipment,Irritant spray: used,White,221.0
Irritant spray not stated,Norfolk,,,White,0.0
Spit and bite guard,Norfolk,Other equipment,Spit and bite guard,White,82.0
Shield,Norfolk,Other equipment,Shield,White,12.0
*Total Less lethal weapons,Norfolk,Less lethal weapons,Total: Less lethal weapons,White,511.0
CED of which,Norfolk,,,White,492.0
CED non-discharge,Norfolk,,,White,:
CED discharge,Norfolk,,,White,:
CED not stated,Norfolk,,,White,492.0
"AEP, of which",Norfolk,Less lethal weapons,Total: AEP,White,19.0
AEP drawn,Norfolk,,,White,17.0
AEP used,Norfolk,,,White,2.0
AEP not stated,Norfolk,,,White,0.0
*Total Firearms,Norfolk,Firearms,Total: Firearms,White,6.0
*Total Other,Norfolk,Other,Total: Other,White,1169.0
"Dog use, of which",Norfolk,Other,Total: Dog,White,13.0
Dog deployed,Norfolk,Other,Dog: deployed,White,13.0
Dog bite,Norfolk,Other,Dog: bite,White,0.0
Dog not stated,Norfolk,,,White,0.0
Other / improvised,Norfolk,Other,Other / improvised,White,1156.0
*Total Not reported,Norfolk,Not reported,Total: Not reported,White,137.0
Tactical communication,Norfolk,Excluded: Tactical Communication,Tactical Communication,White,3202.0
*Total Tactics,North Wales,Total,Total: all,White,2280.0
*Total Restraint,North Wales,Restraint,Total: Restraint,White,995.0
"Handcuffing, of which",North Wales,Restraint,Total: Handcuffing,White,924.0
Compliant handcuffing,North Wales,Restraint,Handcuffing: compliant,White,193.0
Non-compliant handcuffing,North Wales,Restraint,Handcuffing: non-compliant,White,731.0
Handcuffing not stated,North Wales,,,White,0.0
Limb / Body restraints,North Wales,Restraint,Limb / body restraints,White,24.0
Ground restraint,North Wales,Restraint,Ground restraint,White,47.0
*Total Unarmed skills,North Wales,Unarmed skills,Total: unarmed skills,White,327.0
*Total Other equipment,North Wales,Other equipment,Total: Other equipment,White,211.0
"Baton, of which",North Wales,Other equipment,Total: Baton,White,12.0
Baton drawn,North Wales,Other equipment,Baton: drawn,White,1.0
Baton used,North Wales,Other equipment,Baton: used,White,11.0
Baton not stated,North Wales,,,White,0.0
"Irritant spray, of which",North Wales,Other equipment,Total: Irritant spray,White,191.0
Irritant spray - drawn,North Wales,Other equipment,Irritant spray: drawn,White,29.0
Irritant spray - used,North Wales,Other equipment,Irritant spray: used,White,162.0
Irritant spray not stated,North Wales,,,White,0.0
Spit and bite guard,North Wales,Other equipment,Spit and bite guard,White,7.0
Shield,North Wales,Other equipment,Shield,White,1.0
*Total Less lethal weapons,North Wales,Less lethal weapons,Total: Less lethal weapons,White,161.0
CED of which,North Wales,,,White,161.0
CED non-discharge,North Wales,,,White,143.0
CED discharge,North Wales,,,White,18.0
CED not stated,North Wales,,,White,0.0
"AEP, of which",North Wales,Less lethal weapons,Total: AEP,White,0.0
AEP drawn,North Wales,,,White,0.0
AEP used,North Wales,,,White,0.0
AEP not stated,North Wales,,,White,0.0
*Total Firearms,North Wales,Firearms,Total: Firearms,White,7.0
*Total Other,North Wales,Other,Total: Other,White,579.0
"Dog use, of which",North Wales,Other,Total: Dog,White,2.0
Dog deployed,North Wales,Other,Dog: deployed,White,2.0
Dog bite,North Wales,Other,Dog: bite,White,0.0
Dog not stated,North Wales,,,White,0.0
Other / improvised,North Wales,Other,Other / improvised,White,577.0
*Total Not reported,North Wales,Not reported,Total: Not reported,White,0.0
Tactical communication,North Wales,Excluded: Tactical Communication,Tactical Communication,White,168.0
*Total Tactics,North Yorkshire,Total,Total: all,White,5290.0
*Total Restraint,North Yorkshire,Restraint,Total: Restraint,White,3110.0
"Handcuffing, of which",North Yorkshire,Restraint,Total: Handcuffing,White,2217.0
Compliant handcuffing,North Yorkshire,Restraint,Handcuffing: compliant,White,1276.0
Non-compliant handcuffing,North Yorkshire,Restraint,Handcuffing: non-compliant,White,941.0
Handcuffing not stated,North Yorkshire,,,White,0.0
Limb / Body restraints,North Yorkshire,Restraint,Limb / body restraints,White,166.0
Ground restraint,North Yorkshire,Restraint,Ground restraint,White,727.0
*Total Unarmed skills,North Yorkshire,Unarmed skills,Total: unarmed skills,White,1508.0
*Total Other equipment,North Yorkshire,Other equipment,Total: Other equipment,White,307.0
"Baton, of which",North Yorkshire,Other equipment,Total: Baton,White,41.0
Baton drawn,North Yorkshire,Other equipment,Baton: drawn,White,25.0
Baton used,North Yorkshire,Other equipment,Baton: used,White,16.0
Baton not stated,North Yorkshire,,,White,0.0
"Irritant spray, of which",North Yorkshire,Other equipment,Total: Irritant spray,White,212.0
Irritant spray - drawn,North Yorkshire,Other equipment,Irritant spray: drawn,White,87.0
Irritant spray - used,North Yorkshire,Other equipment,Irritant spray: used,White,125.0
Irritant spray not stated,North Yorkshire,,,White,0.0
Spit and bite guard,North Yorkshire,Other equipment,Spit and bite guard,White,49.0
Shield,North Yorkshire,Other equipment,Shield,White,5.0
*Total Less lethal weapons,North Yorkshire,Less lethal weapons,Total: Less lethal weapons,White,219.0
CED of which,North Yorkshire,,,White,206.0
CED non-discharge,North Yorkshire,,,White,176.0
CED discharge,North Yorkshire,,,White,30.0
CED not stated,North Yorkshire,,,White,0.0
"AEP, of which",North Yorkshire,Less lethal weapons,Total: AEP,White,13.0
AEP drawn,North Yorkshire,,,White,2.0
AEP used,North Yorkshire,,,White,0.0
AEP not stated,North Yorkshire,,,White,11.0
*Total Firearms,North Yorkshire,Firearms,Total: Firearms,White,25.0
*Total Other,North Yorkshire,Other,Total: Other,White,121.0
"Dog use, of which",North Yorkshire,Other,Total: Dog,White,12.0
Dog deployed,North Yorkshire,Other,Dog: deployed,White,8.0
Dog bite,North Yorkshire,Other,Dog: bite,White,4.0
Dog not stated,North Yorkshire,,,White,0.0
Other / improvised,North Yorkshire,Other,Other / improvised,White,109.0
*Total Not reported,North Yorkshire,Not reported,Total: Not reported,White,0.0
Tactical communication,North Yorkshire,Excluded: Tactical Communication,Tactical Communication,White,2108.0
*Total Tactics,Northamptonshire,Total,Total: all,White,8358.0
*Total Restraint,Northamptonshire,Restraint,Total: Restraint,White,4159.0
"Handcuffing, of which",Northamptonshire,Restraint,Total: Handcuffing,White,3500.0
Compliant handcuffing,Northamptonshire,Restraint,Handcuffing: compliant,White,2181.0
Non-compliant handcuffing,Northamptonshire,Restraint,Handcuffing: non-compliant,White,1319.0
Handcuffing not stated,Northamptonshire,,,White,0.0
Limb / Body restraints,Northamptonshire,Restraint,Limb / body restraints,White,388.0
Ground restraint,Northamptonshire,Restraint,Ground restraint,White,271.0
*Total Unarmed skills,Northamptonshire,Unarmed skills,Total: unarmed skills,White,2417.0
*Total Other equipment,Northamptonshire,Other equipment,Total: Other equipment,White,591.0
"Baton, of which",Northamptonshire,Other equipment,Total: Baton,White,89.0
Baton drawn,Northamptonshire,Other equipment,Baton: drawn,White,52.0
Baton used,Northamptonshire,Other equipment,Baton: used,White,37.0
Baton not stated,Northamptonshire,,,White,0.0
"Irritant spray, of which",Northamptonshire,Other equipment,Total: Irritant spray,White,380.0
Irritant spray - drawn,Northamptonshire,Other equipment,Irritant spray: drawn,White,193.0
Irritant spray - used,Northamptonshire,Other equipment,Irritant spray: used,White,187.0
Irritant spray not stated,Northamptonshire,,,White,0.0
Spit and bite guard,Northamptonshire,Other equipment,Spit and bite guard,White,104.0
Shield,Northamptonshire,Other equipment,Shield,White,18.0
*Total Less lethal weapons,Northamptonshire,Less lethal weapons,Total: Less lethal weapons,White,456.0
CED of which,Northamptonshire,,,White,447.0
CED non-discharge,Northamptonshire,,,White,423.0
CED discharge,Northamptonshire,,,White,21.0
CED not stated,Northamptonshire,,,White,3.0
"AEP, of which",Northamptonshire,Less lethal weapons,Total: AEP,White,9.0
AEP drawn,Northamptonshire,,,White,9.0
AEP used,Northamptonshire,,,White,0.0
AEP not stated,Northamptonshire,,,White,0.0
*Total Firearms,Northamptonshire,Firearms,Total: Firearms,White,42.0
*Total Other,Northamptonshire,Other,Total: Other,White,693.0
"Dog use, of which",Northamptonshire,Other,Total: Dog,White,60.0
Dog deployed,Northamptonshire,Other,Dog: deployed,White,55.0
Dog bite,Northamptonshire,Other,Dog: bite,White,5.0
Dog not stated,Northamptonshire,,,White,0.0
Other / improvised,Northamptonshire,Other,Other / improvised,White,633.0
*Total Not reported,Northamptonshire,Not reported,Total: Not reported,White,0.0
Tactical communication,Northamptonshire,Excluded: Tactical Communication,Tactical Communication,White,2603.0
*Total Tactics,Northumbria,Total,Total: all,White,25547.0
*Total Restraint,Northumbria,Restraint,Total: Restraint,White,18736.0
"Handcuffing, of which",Northumbria,Restraint,Total: Handcuffing,White,14429.0
Compliant handcuffing,Northumbria,Restraint,Handcuffing: compliant,White,10318.0
Non-compliant handcuffing,Northumbria,Restraint,Handcuffing: non-compliant,White,4111.0
Handcuffing not stated,Northumbria,,,White,0.0
Limb / Body restraints,Northumbria,Restraint,Limb / body restraints,White,493.0
Ground restraint,Northumbria,Restraint,Ground restraint,White,3814.0
*Total Unarmed skills,Northumbria,Unarmed skills,Total: unarmed skills,White,4936.0
*Total Other equipment,Northumbria,Other equipment,Total: Other equipment,White,800.0
"Baton, of which",Northumbria,Other equipment,Total: Baton,White,122.0
Baton drawn,Northumbria,Other equipment,Baton: drawn,White,91.0
Baton used,Northumbria,Other equipment,Baton: used,White,31.0
Baton not stated,Northumbria,,,White,0.0
"Irritant spray, of which",Northumbria,Other equipment,Total: Irritant spray,White,266.0
Irritant spray - drawn,Northumbria,Other equipment,Irritant spray: drawn,White,126.0
Irritant spray - used,Northumbria,Other equipment,Irritant spray: used,White,140.0
Irritant spray not stated,Northumbria,,,White,0.0
Spit and bite guard,Northumbria,Other equipment,Spit and bite guard,White,388.0
Shield,Northumbria,Other equipment,Shield,White,24.0
*Total Less lethal weapons,Northumbria,Less lethal weapons,Total: Less lethal weapons,White,345.0
CED of which,Northumbria,,,White,313.0
CED non-discharge,Northumbria,,,White,268.0
CED discharge,Northumbria,,,White,45.0
CED not stated,Northumbria,,,White,0.0
"AEP, of which",Northumbria,Less lethal weapons,Total: AEP,White,32.0
AEP drawn,Northumbria,,,White,32.0
AEP used,Northumbria,,,White,0.0
AEP not stated,Northumbria,,,White,0.0
*Total Firearms,Northumbria,Firearms,Total: Firearms,White,111.0
*Total Other,Northumbria,Other,Total: Other,White,619.0
"Dog use, of which",Northumbria,Other,Total: Dog,White,118.0
Dog deployed,Northumbria,Other,Dog: deployed,White,103.0
Dog bite,Northumbria,Other,Dog: bite,White,15.0
Dog not stated,Northumbria,,,White,0.0
Other / improvised,Northumbria,Other,Other / improvised,White,501.0
*Total Not reported,Northumbria,Not reported,Total: Not reported,White,0.0
Tactical communication,Northumbria,Excluded: Tactical Communication,Tactical Communication,White,14889.0
*Total Tactics,Nottinghamshire,Total,Total: all,White,7437.0
*Total Restraint,Nottinghamshire,Restraint,Total: Restraint,White,4087.0
"Handcuffing, of which",Nottinghamshire,Restraint,Total: Handcuffing,White,3805.0
Compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: compliant,White,2038.0
Non-compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: non-compliant,White,1767.0
Handcuffing not stated,Nottinghamshire,,,White,0.0
Limb / Body restraints,Nottinghamshire,Restraint,Limb / body restraints,White,282.0
Ground restraint,Nottinghamshire,Restraint,Ground restraint,White,0.0
*Total Unarmed skills,Nottinghamshire,Unarmed skills,Total: unarmed skills,White,2033.0
*Total Other equipment,Nottinghamshire,Other equipment,Total: Other equipment,White,265.0
"Baton, of which",Nottinghamshire,Other equipment,Total: Baton,White,59.0
Baton drawn,Nottinghamshire,Other equipment,Baton: drawn,White,36.0
Baton used,Nottinghamshire,Other equipment,Baton: used,White,23.0
Baton not stated,Nottinghamshire,,,White,0.0
"Irritant spray, of which",Nottinghamshire,Other equipment,Total: Irritant spray,White,118.0
Irritant spray - drawn,Nottinghamshire,Other equipment,Irritant spray: drawn,White,53.0
Irritant spray - used,Nottinghamshire,Other equipment,Irritant spray: used,White,65.0
Irritant spray not stated,Nottinghamshire,,,White,0.0
Spit and bite guard,Nottinghamshire,Other equipment,Spit and bite guard,White,80.0
Shield,Nottinghamshire,Other equipment,Shield,White,8.0
*Total Less lethal weapons,Nottinghamshire,Less lethal weapons,Total: Less lethal weapons,White,299.0
CED of which,Nottinghamshire,,,White,297.0
CED non-discharge,Nottinghamshire,,,White,267.0
CED discharge,Nottinghamshire,,,White,30.0
CED not stated,Nottinghamshire,,,White,0.0
"AEP, of which",Nottinghamshire,Less lethal weapons,Total: AEP,White,2.0
AEP drawn,Nottinghamshire,,,White,2.0
AEP used,Nottinghamshire,,,White,0.0
AEP not stated,Nottinghamshire,,,White,0.0
*Total Firearms,Nottinghamshire,Firearms,Total: Firearms,White,4.0
*Total Other,Nottinghamshire,Other,Total: Other,White,749.0
"Dog use, of which",Nottinghamshire,Other,Total: Dog,White,51.0
Dog deployed,Nottinghamshire,Other,Dog: deployed,White,29.0
Dog bite,Nottinghamshire,Other,Dog: bite,White,22.0
Dog not stated,Nottinghamshire,,,White,0.0
Other / improvised,Nottinghamshire,Other,Other / improvised,White,698.0
*Total Not reported,Nottinghamshire,Not reported,Total: Not reported,White,0.0
Tactical communication,Nottinghamshire,Excluded: Tactical Communication,Tactical Communication,White,2770.0
*Total Tactics,South Wales,Total,Total: all,White,23271.0
*Total Restraint,South Wales,Restraint,Total: Restraint,White,15953.0
"Handcuffing, of which",South Wales,Restraint,Total: Handcuffing,White,13215.0
Compliant handcuffing,South Wales,Restraint,Handcuffing: compliant,White,8982.0
Non-compliant handcuffing,South Wales,Restraint,Handcuffing: non-compliant,White,4233.0
Handcuffing not stated,South Wales,,,White,0.0
Limb / Body restraints,South Wales,Restraint,Limb / body restraints,White,445.0
Ground restraint,South Wales,Restraint,Ground restraint,White,2293.0
*Total Unarmed skills,South Wales,Unarmed skills,Total: unarmed skills,White,5217.0
*Total Other equipment,South Wales,Other equipment,Total: Other equipment,White,395.0
"Baton, of which",South Wales,Other equipment,Total: Baton,White,79.0
Baton drawn,South Wales,Other equipment,Baton: drawn,White,49.0
Baton used,South Wales,Other equipment,Baton: used,White,30.0
Baton not stated,South Wales,,,White,0.0
"Irritant spray, of which",South Wales,Other equipment,Total: Irritant spray,White,158.0
Irritant spray - drawn,South Wales,Other equipment,Irritant spray: drawn,White,83.0
Irritant spray - used,South Wales,Other equipment,Irritant spray: used,White,75.0
Irritant spray not stated,South Wales,,,White,0.0
Spit and bite guard,South Wales,Other equipment,Spit and bite guard,White,150.0
Shield,South Wales,Other equipment,Shield,White,8.0
*Total Less lethal weapons,South Wales,Less lethal weapons,Total: Less lethal weapons,White,703.0
CED of which,South Wales,,,White,631.0
CED non-discharge,South Wales,,,White,426.0
CED discharge,South Wales,,,White,65.0
CED not stated,South Wales,,,White,140.0
"AEP, of which",South Wales,Less lethal weapons,Total: AEP,White,72.0
AEP drawn,South Wales,,,White,72.0
AEP used,South Wales,,,White,0.0
AEP not stated,South Wales,,,White,0.0
*Total Firearms,South Wales,Firearms,Total: Firearms,White,110.0
*Total Other,South Wales,Other,Total: Other,White,893.0
"Dog use, of which",South Wales,Other,Total: Dog,White,67.0
Dog deployed,South Wales,Other,Dog: deployed,White,63.0
Dog bite,South Wales,Other,Dog: bite,White,4.0
Dog not stated,South Wales,,,White,0.0
Other / improvised,South Wales,Other,Other / improvised,White,826.0
*Total Not reported,South Wales,Not reported,Total: Not reported,White,17.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,White,9388.0
*Total Tactics,South Yorkshire,Total,Total: all,White,10563.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,White,4820.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,White,3222.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,White,1151.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,White,2071.0
Handcuffing not stated,South Yorkshire,,,White,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,White,388.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,White,1210.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,White,4087.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,White,695.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,White,166.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,White,98.0
Baton used,South Yorkshire,Other equipment,Baton: used,White,68.0
Baton not stated,South Yorkshire,,,White,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,White,413.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,White,135.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,White,278.0
Irritant spray not stated,South Yorkshire,,,White,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,White,109.0
Shield,South Yorkshire,Other equipment,Shield,White,7.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,White,480.0
CED of which,South Yorkshire,,,White,473.0
CED non-discharge,South Yorkshire,,,White,399.0
CED discharge,South Yorkshire,,,White,74.0
CED not stated,South Yorkshire,,,White,0.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,White,7.0
AEP drawn,South Yorkshire,,,White,7.0
AEP used,South Yorkshire,,,White,0.0
AEP not stated,South Yorkshire,,,White,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,White,46.0
*Total Other,South Yorkshire,Other,Total: Other,White,435.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,White,95.0
Dog deployed,South Yorkshire,Other,Dog: deployed,White,64.0
Dog bite,South Yorkshire,Other,Dog: bite,White,31.0
Dog not stated,South Yorkshire,,,White,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,White,340.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,White,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,White,3885.0
*Total Tactics,Staffordshire,Total,Total: all,White,6275.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,White,2731.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,White,1822.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,White,:
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,White,:
Handcuffing not stated,Staffordshire,,,White,1822.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,White,177.0
Ground restraint,Staffordshire,Restraint,Ground restraint,White,732.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,White,2712.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,White,516.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,White,50.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,White,27.0
Baton used,Staffordshire,Other equipment,Baton: used,White,23.0
Baton not stated,Staffordshire,,,White,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,White,385.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,White,183.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,White,202.0
Irritant spray not stated,Staffordshire,,,White,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,White,76.0
Shield,Staffordshire,Other equipment,Shield,White,5.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,White,170.0
CED of which,Staffordshire,,,White,153.0
CED non-discharge,Staffordshire,,,White,136.0
CED discharge,Staffordshire,,,White,17.0
CED not stated,Staffordshire,,,White,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,White,17.0
AEP drawn,Staffordshire,,,White,14.0
AEP used,Staffordshire,,,White,3.0
AEP not stated,Staffordshire,,,White,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,White,17.0
*Total Other,Staffordshire,Other,Total: Other,White,129.0
"Dog use, of which",Staffordshire,Other,Total: Dog,White,50.0
Dog deployed,Staffordshire,Other,Dog: deployed,White,40.0
Dog bite,Staffordshire,Other,Dog: bite,White,10.0
Dog not stated,Staffordshire,,,White,0.0
Other / improvised,Staffordshire,Other,Other / improvised,White,79.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,White,12.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,White,2366.0
*Total Tactics,Suffolk,Total,Total: all,White,4898.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,White,2727.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,White,2254.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,White,1199.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,White,1055.0
Handcuffing not stated,Suffolk,,,White,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,White,168.0
Ground restraint,Suffolk,Restraint,Ground restraint,White,305.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,White,740.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,White,298.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,White,13.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,White,10.0
Baton used,Suffolk,Other equipment,Baton: used,White,3.0
Baton not stated,Suffolk,,,White,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,White,220.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,White,92.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,White,128.0
Irritant spray not stated,Suffolk,,,White,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,White,62.0
Shield,Suffolk,Other equipment,Shield,White,3.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,White,308.0
CED of which,Suffolk,,,White,289.0
CED non-discharge,Suffolk,,,White,:
CED discharge,Suffolk,,,White,:
CED not stated,Suffolk,,,White,289.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,White,19.0
AEP drawn,Suffolk,,,White,18.0
AEP used,Suffolk,,,White,1.0
AEP not stated,Suffolk,,,White,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,White,13.0
*Total Other,Suffolk,Other,Total: Other,White,812.0
"Dog use, of which",Suffolk,Other,Total: Dog,White,9.0
Dog deployed,Suffolk,Other,Dog: deployed,White,4.0
Dog bite,Suffolk,Other,Dog: bite,White,5.0
Dog not stated,Suffolk,,,White,0.0
Other / improvised,Suffolk,Other,Other / improvised,White,803.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,White,66.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,White,2064.0
*Total Tactics,Surrey,Total,Total: all,White,6452.0
*Total Restraint,Surrey,Restraint,Total: Restraint,White,3659.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,White,2951.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,White,1548.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,White,1403.0
Handcuffing not stated,Surrey,,,White,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,White,359.0
Ground restraint,Surrey,Restraint,Ground restraint,White,349.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,White,1918.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,White,329.0
"Baton, of which",Surrey,Other equipment,Total: Baton,White,32.0
Baton drawn,Surrey,Other equipment,Baton: drawn,White,17.0
Baton used,Surrey,Other equipment,Baton: used,White,15.0
Baton not stated,Surrey,,,White,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,White,185.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,White,75.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,White,110.0
Irritant spray not stated,Surrey,,,White,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,White,110.0
Shield,Surrey,Other equipment,Shield,White,2.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,White,362.0
CED of which,Surrey,,,White,347.0
CED non-discharge,Surrey,,,White,316.0
CED discharge,Surrey,,,White,31.0
CED not stated,Surrey,,,White,0.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,White,15.0
AEP drawn,Surrey,,,White,15.0
AEP used,Surrey,,,White,0.0
AEP not stated,Surrey,,,White,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,White,40.0
*Total Other,Surrey,Other,Total: Other,White,144.0
"Dog use, of which",Surrey,Other,Total: Dog,White,6.0
Dog deployed,Surrey,Other,Dog: deployed,White,5.0
Dog bite,Surrey,Other,Dog: bite,White,1.0
Dog not stated,Surrey,,,White,0.0
Other / improvised,Surrey,Other,Other / improvised,White,138.0
*Total Not reported,Surrey,Not reported,Total: Not reported,White,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,White,2654.0
*Total Tactics,Sussex,Total,Total: all,White,20942.0
*Total Restraint,Sussex,Restraint,Total: Restraint,White,11206.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,White,9352.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,White,:
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,White,:
Handcuffing not stated,Sussex,,,White,9352.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,White,699.0
Ground restraint,Sussex,Restraint,Ground restraint,White,1155.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,White,7250.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,White,1114.0
"Baton, of which",Sussex,Other equipment,Total: Baton,White,148.0
Baton drawn,Sussex,Other equipment,Baton: drawn,White,89.0
Baton used,Sussex,Other equipment,Baton: used,White,59.0
Baton not stated,Sussex,,,White,0.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,White,717.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,White,322.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,White,395.0
Irritant spray not stated,Sussex,,,White,0.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,White,235.0
Shield,Sussex,Other equipment,Shield,White,14.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,White,735.0
CED of which,Sussex,,,White,716.0
CED non-discharge,Sussex,,,White,652.0
CED discharge,Sussex,,,White,64.0
CED not stated,Sussex,,,White,0.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,White,19.0
AEP drawn,Sussex,,,White,17.0
AEP used,Sussex,,,White,2.0
AEP not stated,Sussex,,,White,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,White,76.0
*Total Other,Sussex,Other,Total: Other,White,561.0
