Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Cumbria,Restraint,Compliant handcuffing,1030.0,11.0,9.0,3.0,7.0,7.0,1067.0,Restraint,Handcuffing: compliant
Cumbria,Restraint,Non-compliant handcuffing,1656.0,10.0,11.0,8.0,2.0,4.0,1691.0,Restraint,Handcuffing: non-compliant
Cumbria,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cumbria,Restraint,Limb / Body restraints,157.0,0.0,1.0,2.0,1.0,1.0,162.0,Restraint,Limb / body restraints
Cumbria,Restraint,Ground restraint,806.0,8.0,4.0,3.0,2.0,3.0,826.0,Restraint,Ground restraint
Cumbria,Unarmed skills,*Total Unarmed skills,1845.0,12.0,5.0,8.0,1.0,6.0,1877.0,Unarmed skills,Total: unarmed skills
Cumbria,Other equipment,*Total Other equipment,545.0,6.0,5.0,2.0,1.0,1.0,560.0,Other equipment,Total: Other equipment
Cumbria,Other equipment,"Baton, of which",22.0,0.0,2.0,0.0,0.0,0.0,24.0,Other equipment,Total: Baton
Cumbria,Other equipment,Baton drawn,14.0,0.0,1.0,0.0,0.0,0.0,15.0,Other equipment,Baton: drawn
Cumbria,Other equipment,Baton used,8.0,0.0,1.0,0.0,0.0,0.0,9.0,Other equipment,Baton: used
Cumbria,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cumbria,Other equipment,"Irritant spray, of which",461.0,6.0,1.0,2.0,0.0,0.0,470.0,Other equipment,Total: Irritant spray
Cumbria,Other equipment,Irritant spray - drawn,163.0,1.0,1.0,0.0,0.0,0.0,165.0,Other equipment,Irritant spray: drawn
Cumbria,Other equipment,Irritant spray - used,298.0,5.0,0.0,2.0,0.0,0.0,305.0,Other equipment,Irritant spray: used
Cumbria,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cumbria,Other equipment,Spit and bite guard,57.0,0.0,2.0,0.0,1.0,1.0,61.0,Other equipment,Spit and bite guard
Cumbria,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Other equipment,Shield
Cumbria,Less lethal weapons,*Total Less lethal weapons,308.0,2.0,2.0,1.0,0.0,3.0,316.0,Less lethal weapons,Total: Less lethal weapons
Cumbria,Less lethal weapons,CED of which,307.0,2.0,2.0,1.0,0.0,3.0,315.0,,
Cumbria,Less lethal weapons,CED non-discharge,276.0,2.0,2.0,1.0,0.0,3.0,284.0,,
Cumbria,Less lethal weapons,CED discharge,29.0,0.0,0.0,0.0,0.0,0.0,29.0,,
Cumbria,Less lethal weapons,CED not stated,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Cumbria,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,0.0,1.0,Less lethal weapons,Total: AEP
Cumbria,Less lethal weapons,AEP drawn,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
Cumbria,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cumbria,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cumbria,Firearms,*Total Firearms,7.0,2.0,1.0,0.0,0.0,0.0,10.0,Firearms,Total: Firearms
Cumbria,Other,*Total Other,246.0,4.0,2.0,2.0,0.0,2.0,256.0,Other,Total: Other
Cumbria,Other,"Dog use, of which",20.0,0.0,0.0,0.0,0.0,1.0,21.0,Other,Total: Dog
Cumbria,Other,Dog deployed,19.0,0.0,0.0,0.0,0.0,1.0,20.0,Other,Dog: deployed
Cumbria,Other,Dog bite,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,Dog: bite
Cumbria,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cumbria,Other,Other / improvised,226.0,4.0,2.0,2.0,0.0,1.0,235.0,Other,Other / improvised
Cumbria,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Cumbria,Tactical communication,Tactical communication,2630.0,24.0,17.0,9.0,5.0,10.0,2695.0,Excluded: Tactical Communication,Tactical Communication
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,6981.0,536.0,269.0,0.0,128.0,42.0,7956.0,Total,Total: all
Derbyshire,Restraint,*Total Restraint,3646.0,270.0,149.0,0.0,62.0,8.0,4135.0,Restraint,Total: Restraint
Derbyshire,Restraint,"Handcuffing, of which",2895.0,214.0,134.0,0.0,56.0,5.0,3304.0,Restraint,Total: Handcuffing
Derbyshire,Restraint,Compliant handcuffing,:,:,:,:,:,:,:,Restraint,Handcuffing: compliant
Derbyshire,Restraint,Non-compliant handcuffing,:,:,:,:,:,:,:,Restraint,Handcuffing: non-compliant
Derbyshire,Restraint,Handcuffing not stated,2895.0,214.0,134.0,0.0,56.0,5.0,3304.0,,
Derbyshire,Restraint,Limb / Body restraints,370.0,24.0,7.0,0.0,2.0,2.0,405.0,Restraint,Limb / body restraints
Derbyshire,Restraint,Ground restraint,381.0,32.0,8.0,0.0,4.0,1.0,426.0,Restraint,Ground restraint
Derbyshire,Unarmed skills,*Total Unarmed skills,2186.0,165.0,74.0,0.0,33.0,25.0,2483.0,Unarmed skills,Total: unarmed skills
Derbyshire,Other equipment,*Total Other equipment,652.0,44.0,10.0,0.0,16.0,7.0,729.0,Other equipment,Total: Other equipment
Derbyshire,Other equipment,"Baton, of which",64.0,1.0,3.0,0.0,3.0,1.0,72.0,Other equipment,Total: Baton
Derbyshire,Other equipment,Baton drawn,43.0,0.0,2.0,0.0,3.0,1.0,49.0,Other equipment,Baton: drawn
Derbyshire,Other equipment,Baton used,21.0,1.0,1.0,0.0,0.0,0.0,23.0,Other equipment,Baton: used
Derbyshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Derbyshire,Other equipment,"Irritant spray, of which",501.0,36.0,5.0,0.0,12.0,6.0,560.0,Other equipment,Total: Irritant spray
Derbyshire,Other equipment,Irritant spray - drawn,209.0,15.0,4.0,0.0,6.0,4.0,238.0,Other equipment,Irritant spray: drawn
Derbyshire,Other equipment,Irritant spray - used,292.0,21.0,1.0,0.0,6.0,2.0,322.0,Other equipment,Irritant spray: used
Derbyshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Derbyshire,Other equipment,Spit and bite guard,79.0,7.0,2.0,0.0,1.0,0.0,89.0,Other equipment,Spit and bite guard
Derbyshire,Other equipment,Shield,8.0,0.0,0.0,0.0,0.0,0.0,8.0,Other equipment,Shield
Derbyshire,Less lethal weapons,*Total Less lethal weapons,175.0,20.0,17.0,0.0,5.0,1.0,218.0,Less lethal weapons,Total: Less lethal weapons
Derbyshire,Less lethal weapons,CED of which,170.0,20.0,16.0,0.0,4.0,1.0,211.0,,
Derbyshire,Less lethal weapons,CED non-discharge,152.0,18.0,15.0,0.0,3.0,1.0,189.0,,
Derbyshire,Less lethal weapons,CED discharge,17.0,2.0,1.0,0.0,1.0,0.0,21.0,,
Derbyshire,Less lethal weapons,CED not stated,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
Derbyshire,Less lethal weapons,"AEP, of which",5.0,0.0,1.0,0.0,1.0,0.0,7.0,Less lethal weapons,Total: AEP
Derbyshire,Less lethal weapons,AEP drawn,5.0,0.0,1.0,0.0,1.0,0.0,7.0,,
Derbyshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Derbyshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Derbyshire,Firearms,*Total Firearms,24.0,13.0,8.0,0.0,0.0,0.0,45.0,Firearms,Total: Firearms
Derbyshire,Other,*Total Other,298.0,24.0,11.0,0.0,12.0,1.0,346.0,Other,Total: Other
Derbyshire,Other,"Dog use, of which",32.0,0.0,0.0,0.0,3.0,1.0,36.0,Other,Total: Dog
Derbyshire,Other,Dog deployed,30.0,0.0,0.0,0.0,2.0,1.0,33.0,Other,Dog: deployed
Derbyshire,Other,Dog bite,2.0,0.0,0.0,0.0,1.0,0.0,3.0,Other,Dog: bite
Derbyshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Derbyshire,Other,Other / improvised,266.0,24.0,11.0,0.0,9.0,0.0,310.0,Other,Other / improvised
Derbyshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,42.0,42.0,Not reported,Total: Not reported
Derbyshire,Tactical communication,Tactical communication,3105.0,240.0,127.0,0.0,43.0,23.0,3538.0,Excluded: Tactical Communication,Tactical Communication
Devon & Cornwall,Total (excluding not reported and tactical communication),*Total Tactics,16481.0,378.0,134.0,201.0,81.0,420.0,17695.0,Total,Total: all
Devon & Cornwall,Restraint,*Total Restraint,10153.0,232.0,80.0,112.0,46.0,210.0,10833.0,Restraint,Total: Restraint
Devon & Cornwall,Restraint,"Handcuffing, of which",7211.0,173.0,63.0,71.0,34.0,142.0,7694.0,Restraint,Total: Handcuffing
Devon & Cornwall,Restraint,Compliant handcuffing,2950.0,73.0,31.0,31.0,13.0,58.0,3156.0,Restraint,Handcuffing: compliant
Devon & Cornwall,Restraint,Non-compliant handcuffing,4261.0,100.0,32.0,40.0,21.0,84.0,4538.0,Restraint,Handcuffing: non-compliant
Devon & Cornwall,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Devon & Cornwall,Restraint,Limb / Body restraints,621.0,16.0,3.0,9.0,2.0,21.0,672.0,Restraint,Limb / body restraints
Devon & Cornwall,Restraint,Ground restraint,2321.0,43.0,14.0,32.0,10.0,47.0,2467.0,Restraint,Ground restraint
Devon & Cornwall,Unarmed skills,*Total Unarmed skills,4682.0,97.0,30.0,57.0,26.0,123.0,5015.0,Unarmed skills,Total: unarmed skills
Devon & Cornwall,Other equipment,*Total Other equipment,671.0,17.0,9.0,17.0,2.0,22.0,738.0,Other equipment,Total: Other equipment
Devon & Cornwall,Other equipment,"Baton, of which",33.0,2.0,1.0,0.0,0.0,1.0,37.0,Other equipment,Total: Baton
Devon & Cornwall,Other equipment,Baton drawn,21.0,1.0,0.0,0.0,0.0,1.0,23.0,Other equipment,Baton: drawn
Devon & Cornwall,Other equipment,Baton used,12.0,1.0,1.0,0.0,0.0,0.0,14.0,Other equipment,Baton: used
Devon & Cornwall,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Devon & Cornwall,Other equipment,"Irritant spray, of which",331.0,6.0,3.0,11.0,0.0,14.0,365.0,Other equipment,Total: Irritant spray
Devon & Cornwall,Other equipment,Irritant spray - drawn,144.0,2.0,2.0,7.0,0.0,6.0,161.0,Other equipment,Irritant spray: drawn
Devon & Cornwall,Other equipment,Irritant spray - used,187.0,4.0,1.0,4.0,0.0,8.0,204.0,Other equipment,Irritant spray: used
Devon & Cornwall,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Devon & Cornwall,Other equipment,Spit and bite guard,287.0,9.0,3.0,6.0,2.0,7.0,314.0,Other equipment,Spit and bite guard
Devon & Cornwall,Other equipment,Shield,20.0,0.0,2.0,0.0,0.0,0.0,22.0,Other equipment,Shield
Devon & Cornwall,Less lethal weapons,*Total Less lethal weapons,679.0,23.0,9.0,6.0,5.0,31.0,753.0,Less lethal weapons,Total: Less lethal weapons
Devon & Cornwall,Less lethal weapons,CED of which,663.0,23.0,7.0,6.0,5.0,29.0,733.0,,
Devon & Cornwall,Less lethal weapons,CED non-discharge,563.0,19.0,6.0,6.0,4.0,27.0,625.0,,
Devon & Cornwall,Less lethal weapons,CED discharge,83.0,4.0,1.0,0.0,1.0,1.0,90.0,,
Devon & Cornwall,Less lethal weapons,CED not stated,17.0,0.0,0.0,0.0,0.0,1.0,18.0,,
Devon & Cornwall,Less lethal weapons,"AEP, of which",16.0,0.0,2.0,0.0,0.0,2.0,20.0,Less lethal weapons,Total: AEP
Devon & Cornwall,Less lethal weapons,AEP drawn,14.0,0.0,2.0,0.0,0.0,2.0,18.0,,
Devon & Cornwall,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Devon & Cornwall,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Devon & Cornwall,Firearms,*Total Firearms,52.0,4.0,4.0,1.0,0.0,11.0,72.0,Firearms,Total: Firearms
Devon & Cornwall,Other,*Total Other,244.0,5.0,2.0,8.0,2.0,23.0,284.0,Other,Total: Other
Devon & Cornwall,Other,"Dog use, of which",20.0,0.0,0.0,5.0,0.0,2.0,27.0,Other,Total: Dog
Devon & Cornwall,Other,Dog deployed,12.0,0.0,0.0,2.0,0.0,1.0,15.0,Other,Dog: deployed
Devon & Cornwall,Other,Dog bite,8.0,0.0,0.0,3.0,0.0,1.0,12.0,Other,Dog: bite
Devon & Cornwall,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Devon & Cornwall,Other,Other / improvised,224.0,5.0,2.0,3.0,2.0,21.0,257.0,Other,Other / improvised
Devon & Cornwall,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Devon & Cornwall,Tactical communication,Tactical communication,8603.0,207.0,79.0,94.0,40.0,219.0,9242.0,Excluded: Tactical Communication,Tactical Communication
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,11240.0,768.0,146.0,0.0,167.0,387.0,12708.0,Total,Total: all
Dorset,Restraint,*Total Restraint,8704.0,581.0,113.0,0.0,133.0,296.0,9827.0,Restraint,Total: Restraint
Dorset,Restraint,"Handcuffing, of which",5834.0,393.0,90.0,0.0,82.0,189.0,6588.0,Restraint,Total: Handcuffing
Dorset,Restraint,Compliant handcuffing,1967.0,144.0,43.0,0.0,30.0,47.0,2231.0,Restraint,Handcuffing: compliant
Dorset,Restraint,Non-compliant handcuffing,3867.0,249.0,47.0,0.0,52.0,142.0,4357.0,Restraint,Handcuffing: non-compliant
Dorset,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dorset,Restraint,Limb / Body restraints,665.0,34.0,1.0,0.0,16.0,25.0,741.0,Restraint,Limb / body restraints
Dorset,Restraint,Ground restraint,2205.0,154.0,22.0,0.0,35.0,82.0,2498.0,Restraint,Ground restraint
Dorset,Unarmed skills,*Total Unarmed skills,1647.0,103.0,23.0,0.0,22.0,53.0,1848.0,Unarmed skills,Total: unarmed skills
Dorset,Other equipment,*Total Other equipment,461.0,49.0,0.0,0.0,4.0,17.0,531.0,Other equipment,Total: Other equipment
Dorset,Other equipment,"Baton, of which",35.0,4.0,0.0,0.0,0.0,1.0,40.0,Other equipment,Total: Baton
Dorset,Other equipment,Baton drawn,24.0,2.0,0.0,0.0,0.0,1.0,27.0,Other equipment,Baton: drawn
Dorset,Other equipment,Baton used,11.0,2.0,0.0,0.0,0.0,0.0,13.0,Other equipment,Baton: used
Dorset,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dorset,Other equipment,"Irritant spray, of which",273.0,34.0,0.0,0.0,0.0,10.0,317.0,Other equipment,Total: Irritant spray
Dorset,Other equipment,Irritant spray - drawn,69.0,8.0,0.0,0.0,0.0,4.0,81.0,Other equipment,Irritant spray: drawn
Dorset,Other equipment,Irritant spray - used,204.0,26.0,0.0,0.0,0.0,6.0,236.0,Other equipment,Irritant spray: used
Dorset,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dorset,Other equipment,Spit and bite guard,150.0,11.0,0.0,0.0,4.0,6.0,171.0,Other equipment,Spit and bite guard
Dorset,Other equipment,Shield,3.0,0.0,0.0,0.0,0.0,0.0,3.0,Other equipment,Shield
Dorset,Less lethal weapons,*Total Less lethal weapons,172.0,24.0,2.0,0.0,3.0,5.0,206.0,Less lethal weapons,Total: Less lethal weapons
Dorset,Less lethal weapons,CED of which,172.0,24.0,2.0,0.0,3.0,5.0,206.0,,
Dorset,Less lethal weapons,CED non-discharge,153.0,24.0,2.0,0.0,3.0,4.0,186.0,,
Dorset,Less lethal weapons,CED discharge,19.0,0.0,0.0,0.0,0.0,1.0,20.0,,
Dorset,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Dorset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dorset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dorset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dorset,Firearms,*Total Firearms,121.0,3.0,7.0,0.0,3.0,9.0,143.0,Firearms,Total: Firearms
Dorset,Other,*Total Other,135.0,8.0,1.0,0.0,2.0,7.0,153.0,Other,Total: Other
Dorset,Other,"Dog use, of which",21.0,1.0,0.0,0.0,2.0,3.0,27.0,Other,Total: Dog
Dorset,Other,Dog deployed,19.0,1.0,0.0,0.0,2.0,3.0,25.0,Other,Dog: deployed
Dorset,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Other,Dog: bite
Dorset,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dorset,Other,Other / improvised,114.0,7.0,1.0,0.0,0.0,4.0,126.0,Other,Other / improvised
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Dorset,Tactical communication,Tactical communication,280.0,27.0,4.0,0.0,4.0,14.0,329.0,Excluded: Tactical Communication,Tactical Communication
Durham,Total (excluding not reported and tactical communication),*Total Tactics,9721.0,140.0,102.0,53.0,34.0,34.0,10084.0,Total,Total: all
Durham,Restraint,*Total Restraint,6543.0,89.0,75.0,40.0,27.0,21.0,6795.0,Restraint,Total: Restraint
Durham,Restraint,"Handcuffing, of which",5386.0,70.0,59.0,33.0,22.0,18.0,5588.0,Restraint,Total: Handcuffing
Durham,Restraint,Compliant handcuffing,4039.0,47.0,54.0,25.0,20.0,15.0,4200.0,Restraint,Handcuffing: compliant
Durham,Restraint,Non-compliant handcuffing,1347.0,23.0,5.0,8.0,2.0,3.0,1388.0,Restraint,Handcuffing: non-compliant
Durham,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Durham,Restraint,Limb / Body restraints,118.0,3.0,4.0,0.0,0.0,0.0,125.0,Restraint,Limb / body restraints
Durham,Restraint,Ground restraint,1039.0,16.0,12.0,7.0,5.0,3.0,1082.0,Restraint,Ground restraint
Durham,Unarmed skills,*Total Unarmed skills,2266.0,32.0,19.0,9.0,3.0,8.0,2337.0,Unarmed skills,Total: unarmed skills
Durham,Other equipment,*Total Other equipment,288.0,3.0,2.0,1.0,1.0,1.0,296.0,Other equipment,Total: Other equipment
Durham,Other equipment,"Baton, of which",37.0,1.0,0.0,0.0,0.0,0.0,38.0,Other equipment,Total: Baton
Durham,Other equipment,Baton drawn,17.0,0.0,0.0,0.0,0.0,0.0,17.0,Other equipment,Baton: drawn
Durham,Other equipment,Baton used,20.0,1.0,0.0,0.0,0.0,0.0,21.0,Other equipment,Baton: used
Durham,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Durham,Other equipment,"Irritant spray, of which",232.0,1.0,2.0,1.0,1.0,1.0,238.0,Other equipment,Total: Irritant spray
Durham,Other equipment,Irritant spray - drawn,74.0,0.0,1.0,1.0,1.0,1.0,78.0,Other equipment,Irritant spray: drawn
Durham,Other equipment,Irritant spray - used,158.0,1.0,1.0,0.0,0.0,0.0,160.0,Other equipment,Irritant spray: used
Durham,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Durham,Other equipment,Spit and bite guard,15.0,1.0,0.0,0.0,0.0,0.0,16.0,Other equipment,Spit and bite guard
Durham,Other equipment,Shield,4.0,0.0,0.0,0.0,0.0,0.0,4.0,Other equipment,Shield
Durham,Less lethal weapons,*Total Less lethal weapons,350.0,6.0,2.0,2.0,2.0,2.0,364.0,Less lethal weapons,Total: Less lethal weapons
Durham,Less lethal weapons,CED of which,334.0,6.0,2.0,2.0,2.0,2.0,348.0,,
Durham,Less lethal weapons,CED non-discharge,281.0,5.0,1.0,0.0,1.0,2.0,290.0,,
Durham,Less lethal weapons,CED discharge,42.0,1.0,1.0,2.0,1.0,0.0,47.0,,
Durham,Less lethal weapons,CED not stated,11.0,0.0,0.0,0.0,0.0,0.0,11.0,,
Durham,Less lethal weapons,"AEP, of which",16.0,0.0,0.0,0.0,0.0,0.0,16.0,Less lethal weapons,Total: AEP
Durham,Less lethal weapons,AEP drawn,15.0,0.0,0.0,0.0,0.0,0.0,15.0,,
Durham,Less lethal weapons,AEP used,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
Durham,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Durham,Firearms,*Total Firearms,5.0,5.0,0.0,0.0,0.0,0.0,10.0,Firearms,Total: Firearms
Durham,Other,*Total Other,269.0,5.0,4.0,1.0,1.0,2.0,282.0,Other,Total: Other
Durham,Other,"Dog use, of which",36.0,0.0,1.0,0.0,0.0,0.0,37.0,Other,Total: Dog
Durham,Other,Dog deployed,33.0,0.0,1.0,0.0,0.0,0.0,34.0,Other,Dog: deployed
Durham,Other,Dog bite,3.0,0.0,0.0,0.0,0.0,0.0,3.0,Other,Dog: bite
Durham,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Durham,Other,Other / improvised,233.0,5.0,3.0,1.0,1.0,2.0,245.0,Other,Other / improvised
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Durham,Tactical communication,Tactical communication,1535.0,27.0,10.0,7.0,6.0,4.0,1589.0,Excluded: Tactical Communication,Tactical Communication
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,4890.0,79.0,37.0,0.0,17.0,287.0,5310.0,Total,Total: all
Dyfed-Powys,Restraint,*Total Restraint,2696.0,40.0,18.0,0.0,11.0,134.0,2899.0,Restraint,Total: Restraint
Dyfed-Powys,Restraint,"Handcuffing, of which",2322.0,33.0,18.0,0.0,11.0,124.0,2508.0,Restraint,Total: Handcuffing
Dyfed-Powys,Restraint,Compliant handcuffing,1319.0,19.0,17.0,0.0,8.0,70.0,1433.0,Restraint,Handcuffing: compliant
Dyfed-Powys,Restraint,Non-compliant handcuffing,1003.0,14.0,1.0,0.0,3.0,54.0,1075.0,Restraint,Handcuffing: non-compliant
Dyfed-Powys,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dyfed-Powys,Restraint,Limb / Body restraints,121.0,1.0,0.0,0.0,0.0,3.0,125.0,Restraint,Limb / body restraints
Dyfed-Powys,Restraint,Ground restraint,253.0,6.0,0.0,0.0,0.0,7.0,266.0,Restraint,Ground restraint
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,1525.0,22.0,6.0,0.0,2.0,102.0,1657.0,Unarmed skills,Total: unarmed skills
Dyfed-Powys,Other equipment,*Total Other equipment,150.0,0.0,1.0,0.0,0.0,4.0,155.0,Other equipment,Total: Other equipment
Dyfed-Powys,Other equipment,"Baton, of which",18.0,0.0,0.0,0.0,0.0,1.0,19.0,Other equipment,Total: Baton
Dyfed-Powys,Other equipment,Baton drawn,13.0,0.0,0.0,0.0,0.0,1.0,14.0,Other equipment,Baton: drawn
Dyfed-Powys,Other equipment,Baton used,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Other equipment,Baton: used
Dyfed-Powys,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dyfed-Powys,Other equipment,"Irritant spray, of which",95.0,0.0,1.0,0.0,0.0,2.0,98.0,Other equipment,Total: Irritant spray
Dyfed-Powys,Other equipment,Irritant spray - drawn,37.0,0.0,1.0,0.0,0.0,0.0,38.0,Other equipment,Irritant spray: drawn
Dyfed-Powys,Other equipment,Irritant spray - used,58.0,0.0,0.0,0.0,0.0,2.0,60.0,Other equipment,Irritant spray: used
Dyfed-Powys,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dyfed-Powys,Other equipment,Spit and bite guard,30.0,0.0,0.0,0.0,0.0,1.0,31.0,Other equipment,Spit and bite guard
Dyfed-Powys,Other equipment,Shield,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Other equipment,Shield
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,283.0,8.0,6.0,0.0,1.0,24.0,322.0,Less lethal weapons,Total: Less lethal weapons
Dyfed-Powys,Less lethal weapons,CED of which,262.0,8.0,5.0,0.0,1.0,23.0,299.0,,
Dyfed-Powys,Less lethal weapons,CED non-discharge,238.0,7.0,5.0,0.0,1.0,22.0,273.0,,
Dyfed-Powys,Less lethal weapons,CED discharge,24.0,1.0,0.0,0.0,0.0,1.0,26.0,,
Dyfed-Powys,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dyfed-Powys,Less lethal weapons,"AEP, of which",21.0,0.0,1.0,0.0,0.0,1.0,23.0,Less lethal weapons,Total: AEP
Dyfed-Powys,Less lethal weapons,AEP drawn,21.0,0.0,1.0,0.0,0.0,1.0,23.0,,
Dyfed-Powys,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dyfed-Powys,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dyfed-Powys,Firearms,*Total Firearms,77.0,6.0,5.0,0.0,2.0,3.0,93.0,Firearms,Total: Firearms
Dyfed-Powys,Other,*Total Other,159.0,3.0,1.0,0.0,1.0,20.0,184.0,Other,Total: Other
Dyfed-Powys,Other,"Dog use, of which",8.0,0.0,0.0,0.0,0.0,3.0,11.0,Other,Total: Dog
Dyfed-Powys,Other,Dog deployed,8.0,0.0,0.0,0.0,0.0,3.0,11.0,Other,Dog: deployed
Dyfed-Powys,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: bite
Dyfed-Powys,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dyfed-Powys,Other,Other / improvised,151.0,3.0,1.0,0.0,1.0,17.0,173.0,Other,Other / improvised
Dyfed-Powys,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Dyfed-Powys,Tactical communication,Tactical communication,2130.0,34.0,19.0,0.0,13.0,135.0,2331.0,Excluded: Tactical Communication,Tactical Communication
Essex,Total (excluding not reported and tactical communication),*Total Tactics,17786.0,1911.0,515.0,610.0,185.0,191.0,21198.0,Total,Total: all
Essex,Restraint,*Total Restraint,12005.0,1320.0,360.0,388.0,139.0,118.0,14330.0,Restraint,Total: Restraint
Essex,Restraint,"Handcuffing, of which",7838.0,888.0,272.0,264.0,102.0,73.0,9437.0,Restraint,Total: Handcuffing
Essex,Restraint,Compliant handcuffing,4817.0,587.0,196.0,174.0,79.0,46.0,5899.0,Restraint,Handcuffing: compliant
Essex,Restraint,Non-compliant handcuffing,3021.0,301.0,76.0,90.0,23.0,27.0,3538.0,Restraint,Handcuffing: non-compliant
Essex,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
