Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
"AEP, of which",Norfolk,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Norfolk,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Norfolk,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Norfolk,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Norfolk,Firearms,Total: Firearms,Mental,0.0
*Total Other,Norfolk,Other,Total: Other,Mental,54.0
"Dog use, of which",Norfolk,Other,Total: Dog,Mental,1.0
Dog deployed,Norfolk,Other,Dog: deployed,Mental,1.0
Dog bite,Norfolk,Other,Dog: bite,Mental,0.0
Not stated dog,Norfolk,Other,Dog: not stated,Mental,0.0
Other / improvised,Norfolk,Other,Other / improvised,Mental,53.0
*Total Not reported,Norfolk,Not reported,Total: Not reported,Mental,6.0
Tactical communication,Norfolk,Excluded: Tactical Communication,Tactical Communication,Mental,223.0
*Total Tactics,North Wales,Total,Total: all,Mental,283.0
*Total Restraint,North Wales,Restraint,Total: Restraint,Mental,117.0
"Handcuffing, of which",North Wales,Restraint,Total: Handcuffing,Mental,103.0
Compliant handcuffing,North Wales,Restraint,Handcuffing: compliant,Mental,18.0
Non-compliant handcuffing,North Wales,Restraint,Handcuffing: non-compliant,Mental,85.0
Not stated handcuffing,North Wales,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,North Wales,Restraint,Limb / body restraints,Mental,6.0
Ground restraint,North Wales,Restraint,Ground restraint,Mental,8.0
*Total Unarmed skills,North Wales,Unarmed skills,Total: unarmed skills,Mental,36.0
*Total Other equipment,North Wales,Other equipment,Total: Other equipment,Mental,21.0
"Baton, of which",North Wales,Other equipment,Total: Baton,Mental,1.0
Baton drawn,North Wales,Other equipment,Baton: drawn,Mental,0.0
Baton used,North Wales,Other equipment,Baton: used,Mental,1.0
Not stated baton,North Wales,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",North Wales,Other equipment,Total: Irritant spray,Mental,18.0
Irritant spray - drawn,North Wales,Other equipment,Irritant spray: drawn,Mental,1.0
Irritant spray - used,North Wales,Other equipment,Irritant spray: used,Mental,17.0
Not stated irritant spray,North Wales,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,North Wales,Other equipment,Spit and bite guard,Mental,1.0
Shield,North Wales,Other equipment,Shield,Mental,1.0
*Total Less lethal weapons,North Wales,Less lethal weapons,Total: Less lethal weapons,Mental,33.0
CED,North Wales,Less lethal weapons,CED,Mental,33.0
"AEP, of which",North Wales,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,North Wales,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,North Wales,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,North Wales,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,North Wales,Firearms,Total: Firearms,Mental,2.0
*Total Other,North Wales,Other,Total: Other,Mental,74.0
"Dog use, of which",North Wales,Other,Total: Dog,Mental,1.0
Dog deployed,North Wales,Other,Dog: deployed,Mental,1.0
Dog bite,North Wales,Other,Dog: bite,Mental,0.0
Not stated dog,North Wales,Other,Dog: not stated,Mental,0.0
Other / improvised,North Wales,Other,Other / improvised,Mental,73.0
*Total Not reported,North Wales,Not reported,Total: Not reported,Mental,2.0
Tactical communication,North Wales,Excluded: Tactical Communication,Tactical Communication,Mental,26.0
*Total Tactics,North Yorkshire,Total,Total: all,Mental,223.0
*Total Restraint,North Yorkshire,Restraint,Total: Restraint,Mental,117.0
"Handcuffing, of which",North Yorkshire,Restraint,Total: Handcuffing,Mental,67.0
Compliant handcuffing,North Yorkshire,Restraint,Handcuffing: compliant,Mental,22.0
Non-compliant handcuffing,North Yorkshire,Restraint,Handcuffing: non-compliant,Mental,45.0
Not stated handcuffing,North Yorkshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,North Yorkshire,Restraint,Limb / body restraints,Mental,11.0
Ground restraint,North Yorkshire,Restraint,Ground restraint,Mental,39.0
*Total Unarmed skills,North Yorkshire,Unarmed skills,Total: unarmed skills,Mental,72.0
*Total Other equipment,North Yorkshire,Other equipment,Total: Other equipment,Mental,13.0
"Baton, of which",North Yorkshire,Other equipment,Total: Baton,Mental,3.0
Baton drawn,North Yorkshire,Other equipment,Baton: drawn,Mental,2.0
Baton used,North Yorkshire,Other equipment,Baton: used,Mental,1.0
Not stated baton,North Yorkshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",North Yorkshire,Other equipment,Total: Irritant spray,Mental,5.0
Irritant spray - drawn,North Yorkshire,Other equipment,Irritant spray: drawn,Mental,0.0
Irritant spray - used,North Yorkshire,Other equipment,Irritant spray: used,Mental,5.0
Not stated irritant spray,North Yorkshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,North Yorkshire,Other equipment,Spit and bite guard,Mental,5.0
Shield,North Yorkshire,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,North Yorkshire,Less lethal weapons,Total: Less lethal weapons,Mental,16.0
CED,North Yorkshire,Less lethal weapons,CED,Mental,16.0
"AEP, of which",North Yorkshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,North Yorkshire,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,North Yorkshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,North Yorkshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,North Yorkshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,North Yorkshire,Other,Total: Other,Mental,5.0
"Dog use, of which",North Yorkshire,Other,Total: Dog,Mental,0.0
Dog deployed,North Yorkshire,Other,Dog: deployed,Mental,0.0
Dog bite,North Yorkshire,Other,Dog: bite,Mental,0.0
Not stated dog,North Yorkshire,Other,Dog: not stated,Mental,0.0
Other / improvised,North Yorkshire,Other,Other / improvised,Mental,5.0
*Total Not reported,North Yorkshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,North Yorkshire,Excluded: Tactical Communication,Tactical Communication,Mental,94.0
*Total Tactics,Northamptonshire,Total,Total: all,Mental,1547.0
*Total Restraint,Northamptonshire,Restraint,Total: Restraint,Mental,839.0
"Handcuffing, of which",Northamptonshire,Restraint,Total: Handcuffing,Mental,485.0
Compliant handcuffing,Northamptonshire,Restraint,Handcuffing: compliant,Mental,183.0
Non-compliant handcuffing,Northamptonshire,Restraint,Handcuffing: non-compliant,Mental,302.0
Not stated handcuffing,Northamptonshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Northamptonshire,Restraint,Limb / body restraints,Mental,123.0
Ground restraint,Northamptonshire,Restraint,Ground restraint,Mental,231.0
*Total Unarmed skills,Northamptonshire,Unarmed skills,Total: unarmed skills,Mental,415.0
*Total Other equipment,Northamptonshire,Other equipment,Total: Other equipment,Mental,94.0
"Baton, of which",Northamptonshire,Other equipment,Total: Baton,Mental,17.0
Baton drawn,Northamptonshire,Other equipment,Baton: drawn,Mental,11.0
Baton used,Northamptonshire,Other equipment,Baton: used,Mental,6.0
Not stated baton,Northamptonshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Northamptonshire,Other equipment,Total: Irritant spray,Mental,51.0
Irritant spray - drawn,Northamptonshire,Other equipment,Irritant spray: drawn,Mental,25.0
Irritant spray - used,Northamptonshire,Other equipment,Irritant spray: used,Mental,26.0
Not stated irritant spray,Northamptonshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Northamptonshire,Other equipment,Spit and bite guard,Mental,22.0
Shield,Northamptonshire,Other equipment,Shield,Mental,4.0
*Total Less lethal weapons,Northamptonshire,Less lethal weapons,Total: Less lethal weapons,Mental,99.0
CED,Northamptonshire,Less lethal weapons,CED,Mental,98.0
"AEP, of which",Northamptonshire,Less lethal weapons,Total: AEP,Mental,1.0
AEP aimed,Northamptonshire,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Northamptonshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Northamptonshire,Less lethal weapons,AEP: Not stated,Mental,1.0
*Total Firearms,Northamptonshire,Firearms,Total: Firearms,Mental,2.0
*Total Other,Northamptonshire,Other,Total: Other,Mental,98.0
"Dog use, of which",Northamptonshire,Other,Total: Dog,Mental,2.0
Dog deployed,Northamptonshire,Other,Dog: deployed,Mental,2.0
Dog bite,Northamptonshire,Other,Dog: bite,Mental,0.0
Not stated dog,Northamptonshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Northamptonshire,Other,Other / improvised,Mental,96.0
*Total Not reported,Northamptonshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Northamptonshire,Excluded: Tactical Communication,Tactical Communication,Mental,497.0
*Total Tactics,Northumbria,Total,Total: all,Mental,1058.0
*Total Restraint,Northumbria,Restraint,Total: Restraint,Mental,711.0
"Handcuffing, of which",Northumbria,Restraint,Total: Handcuffing,Mental,506.0
Compliant handcuffing,Northumbria,Restraint,Handcuffing: compliant,Mental,303.0
Non-compliant handcuffing,Northumbria,Restraint,Handcuffing: non-compliant,Mental,203.0
Not stated handcuffing,Northumbria,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Northumbria,Restraint,Limb / body restraints,Mental,28.0
Ground restraint,Northumbria,Restraint,Ground restraint,Mental,177.0
*Total Unarmed skills,Northumbria,Unarmed skills,Total: unarmed skills,Mental,252.0
*Total Other equipment,Northumbria,Other equipment,Total: Other equipment,Mental,30.0
"Baton, of which",Northumbria,Other equipment,Total: Baton,Mental,11.0
Baton drawn,Northumbria,Other equipment,Baton: drawn,Mental,8.0
Baton used,Northumbria,Other equipment,Baton: used,Mental,3.0
Not stated baton,Northumbria,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Northumbria,Other equipment,Total: Irritant spray,Mental,7.0
Irritant spray - drawn,Northumbria,Other equipment,Irritant spray: drawn,Mental,2.0
Irritant spray - used,Northumbria,Other equipment,Irritant spray: used,Mental,5.0
Not stated irritant spray,Northumbria,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Northumbria,Other equipment,Spit and bite guard,Mental,8.0
Shield,Northumbria,Other equipment,Shield,Mental,4.0
*Total Less lethal weapons,Northumbria,Less lethal weapons,Total: Less lethal weapons,Mental,24.0
CED,Northumbria,Less lethal weapons,CED,Mental,21.0
"AEP, of which",Northumbria,Less lethal weapons,Total: AEP,Mental,3.0
AEP aimed,Northumbria,Less lethal weapons,AEP: Aimed,Mental,3.0
AEP fired,Northumbria,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Northumbria,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Northumbria,Firearms,Total: Firearms,Mental,1.0
*Total Other,Northumbria,Other,Total: Other,Mental,40.0
"Dog use, of which",Northumbria,Other,Total: Dog,Mental,4.0
Dog deployed,Northumbria,Other,Dog: deployed,Mental,2.0
Dog bite,Northumbria,Other,Dog: bite,Mental,2.0
Not stated dog,Northumbria,Other,Dog: not stated,Mental,0.0
Other / improvised,Northumbria,Other,Other / improvised,Mental,36.0
*Total Not reported,Northumbria,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Northumbria,Excluded: Tactical Communication,Tactical Communication,Mental,567.0
*Total Tactics,Nottinghamshire,Total,Total: all,Mental,691.0
*Total Restraint,Nottinghamshire,Restraint,Total: Restraint,Mental,349.0
"Handcuffing, of which",Nottinghamshire,Restraint,Total: Handcuffing,Mental,305.0
Compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: compliant,Mental,108.0
Non-compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: non-compliant,Mental,197.0
Not stated handcuffing,Nottinghamshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Nottinghamshire,Restraint,Limb / body restraints,Mental,44.0
Ground restraint,Nottinghamshire,Restraint,Ground restraint,Mental,0.0
*Total Unarmed skills,Nottinghamshire,Unarmed skills,Total: unarmed skills,Mental,188.0
*Total Other equipment,Nottinghamshire,Other equipment,Total: Other equipment,Mental,30.0
"Baton, of which",Nottinghamshire,Other equipment,Total: Baton,Mental,12.0
Baton drawn,Nottinghamshire,Other equipment,Baton: drawn,Mental,8.0
Baton used,Nottinghamshire,Other equipment,Baton: used,Mental,4.0
Not stated baton,Nottinghamshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Nottinghamshire,Other equipment,Total: Irritant spray,Mental,9.0
Irritant spray - drawn,Nottinghamshire,Other equipment,Irritant spray: drawn,Mental,5.0
Irritant spray - used,Nottinghamshire,Other equipment,Irritant spray: used,Mental,4.0
Not stated irritant spray,Nottinghamshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Nottinghamshire,Other equipment,Spit and bite guard,Mental,3.0
Shield,Nottinghamshire,Other equipment,Shield,Mental,6.0
*Total Less lethal weapons,Nottinghamshire,Less lethal weapons,Total: Less lethal weapons,Mental,34.0
CED,Nottinghamshire,Less lethal weapons,CED,Mental,31.0
"AEP, of which",Nottinghamshire,Less lethal weapons,Total: AEP,Mental,3.0
AEP aimed,Nottinghamshire,Less lethal weapons,AEP: Aimed,Mental,1.0
AEP fired,Nottinghamshire,Less lethal weapons,AEP: Fired,Mental,2.0
Not stated AEP,Nottinghamshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Nottinghamshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Nottinghamshire,Other,Total: Other,Mental,90.0
"Dog use, of which",Nottinghamshire,Other,Total: Dog,Mental,1.0
Dog deployed,Nottinghamshire,Other,Dog: deployed,Mental,1.0
Dog bite,Nottinghamshire,Other,Dog: bite,Mental,0.0
Not stated dog,Nottinghamshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Nottinghamshire,Other,Other / improvised,Mental,89.0
*Total Not reported,Nottinghamshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Nottinghamshire,Excluded: Tactical Communication,Tactical Communication,Mental,293.0
*Total Tactics,South Wales,Total,Total: all,Mental,1422.0
*Total Restraint,South Wales,Restraint,Total: Restraint,Mental,888.0
"Handcuffing, of which",South Wales,Restraint,Total: Handcuffing,Mental,664.0
Compliant handcuffing,South Wales,Restraint,Handcuffing: compliant,Mental,321.0
Non-compliant handcuffing,South Wales,Restraint,Handcuffing: non-compliant,Mental,343.0
Not stated handcuffing,South Wales,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,South Wales,Restraint,Limb / body restraints,Mental,54.0
Ground restraint,South Wales,Restraint,Ground restraint,Mental,170.0
*Total Unarmed skills,South Wales,Unarmed skills,Total: unarmed skills,Mental,388.0
*Total Other equipment,South Wales,Other equipment,Total: Other equipment,Mental,34.0
"Baton, of which",South Wales,Other equipment,Total: Baton,Mental,8.0
Baton drawn,South Wales,Other equipment,Baton: drawn,Mental,4.0
Baton used,South Wales,Other equipment,Baton: used,Mental,4.0
Not stated baton,South Wales,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",South Wales,Other equipment,Total: Irritant spray,Mental,9.0
Irritant spray - drawn,South Wales,Other equipment,Irritant spray: drawn,Mental,3.0
Irritant spray - used,South Wales,Other equipment,Irritant spray: used,Mental,6.0
Not stated irritant spray,South Wales,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,South Wales,Other equipment,Spit and bite guard,Mental,17.0
Shield,South Wales,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,South Wales,Less lethal weapons,Total: Less lethal weapons,Mental,39.0
CED,South Wales,Less lethal weapons,CED,Mental,36.0
"AEP, of which",South Wales,Less lethal weapons,Total: AEP,Mental,3.0
AEP aimed,South Wales,Less lethal weapons,AEP: Aimed,Mental,2.0
AEP fired,South Wales,Less lethal weapons,AEP: Fired,Mental,1.0
Not stated AEP,South Wales,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,South Wales,Firearms,Total: Firearms,Mental,4.0
*Total Other,South Wales,Other,Total: Other,Mental,69.0
"Dog use, of which",South Wales,Other,Total: Dog,Mental,5.0
Dog deployed,South Wales,Other,Dog: deployed,Mental,5.0
Dog bite,South Wales,Other,Dog: bite,Mental,0.0
Not stated dog,South Wales,Other,Dog: not stated,Mental,0.0
Other / improvised,South Wales,Other,Other / improvised,Mental,64.0
*Total Not reported,South Wales,Not reported,Total: Not reported,Mental,4.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,Mental,504.0
*Total Tactics,South Yorkshire,Total,Total: all,Mental,1336.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,Mental,603.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,Mental,408.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,Mental,115.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,Mental,293.0
Not stated handcuffing,South Yorkshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,Mental,65.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,Mental,130.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,Mental,507.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,Mental,67.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,Mental,9.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,Mental,5.0
Baton used,South Yorkshire,Other equipment,Baton: used,Mental,4.0
Not stated baton,South Yorkshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,Mental,42.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,Mental,18.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,Mental,24.0
Not stated irritant spray,South Yorkshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,Mental,12.0
Shield,South Yorkshire,Other equipment,Shield,Mental,4.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,Mental,79.0
CED,South Yorkshire,Less lethal weapons,CED,Mental,79.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,South Yorkshire,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,South Yorkshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,South Yorkshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,Mental,1.0
*Total Other,South Yorkshire,Other,Total: Other,Mental,79.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,Mental,1.0
Dog deployed,South Yorkshire,Other,Dog: deployed,Mental,1.0
Dog bite,South Yorkshire,Other,Dog: bite,Mental,0.0
Not stated dog,South Yorkshire,Other,Dog: not stated,Mental,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,Mental,78.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,Mental,492.0
*Total Tactics,Staffordshire,Total,Total: all,Mental,553.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,Mental,325.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,Mental,172.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,Mental,0.0
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,Mental,0.0
Not stated handcuffing,Staffordshire,Restraint,Handcuffing: not stated,Mental,172.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,Mental,40.0
Ground restraint,Staffordshire,Restraint,Ground restraint,Mental,113.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,Mental,158.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,Mental,50.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,Mental,8.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,Mental,5.0
Baton used,Staffordshire,Other equipment,Baton: used,Mental,3.0
Not stated baton,Staffordshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,Mental,30.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,Mental,16.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,Mental,14.0
Not stated irritant spray,Staffordshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,Mental,7.0
Shield,Staffordshire,Other equipment,Shield,Mental,5.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,Mental,8.0
CED,Staffordshire,Less lethal weapons,CED,Mental,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,Mental,8.0
AEP aimed,Staffordshire,Less lethal weapons,AEP: Aimed,Mental,7.0
AEP fired,Staffordshire,Less lethal weapons,AEP: Fired,Mental,1.0
Not stated AEP,Staffordshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Staffordshire,Other,Total: Other,Mental,12.0
"Dog use, of which",Staffordshire,Other,Total: Dog,Mental,2.0
Dog deployed,Staffordshire,Other,Dog: deployed,Mental,2.0
Dog bite,Staffordshire,Other,Dog: bite,Mental,0.0
Not stated dog,Staffordshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Staffordshire,Other,Other / improvised,Mental,10.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,Mental,233.0
*Total Tactics,Suffolk,Total,Total: all,Mental,384.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,Mental,206.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,Mental,144.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,Mental,44.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,Mental,100.0
Not stated handcuffing,Suffolk,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,Mental,29.0
Ground restraint,Suffolk,Restraint,Ground restraint,Mental,33.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,Mental,81.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,Mental,17.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,Mental,0.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,Mental,0.0
Baton used,Suffolk,Other equipment,Baton: used,Mental,0.0
Not stated baton,Suffolk,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,Mental,13.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,Mental,6.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,Mental,7.0
Not stated irritant spray,Suffolk,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,Mental,4.0
Shield,Suffolk,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,Mental,3.0
CED,Suffolk,Less lethal weapons,CED,Mental,0.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,Mental,3.0
AEP aimed,Suffolk,Less lethal weapons,AEP: Aimed,Mental,3.0
AEP fired,Suffolk,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Suffolk,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,Mental,2.0
*Total Other,Suffolk,Other,Total: Other,Mental,75.0
"Dog use, of which",Suffolk,Other,Total: Dog,Mental,1.0
Dog deployed,Suffolk,Other,Dog: deployed,Mental,0.0
Dog bite,Suffolk,Other,Dog: bite,Mental,1.0
Not stated dog,Suffolk,Other,Dog: not stated,Mental,0.0
Other / improvised,Suffolk,Other,Other / improvised,Mental,74.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,Mental,2.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,Mental,147.0
*Total Tactics,Surrey,Total,Total: all,Mental,921.0
*Total Restraint,Surrey,Restraint,Total: Restraint,Mental,519.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,Mental,364.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,Mental,152.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,Mental,212.0
Not stated handcuffing,Surrey,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,Mental,89.0
Ground restraint,Surrey,Restraint,Ground restraint,Mental,66.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,Mental,289.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,Mental,65.0
"Baton, of which",Surrey,Other equipment,Total: Baton,Mental,13.0
Baton drawn,Surrey,Other equipment,Baton: drawn,Mental,3.0
Baton used,Surrey,Other equipment,Baton: used,Mental,10.0
Not stated baton,Surrey,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,Mental,21.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,Mental,9.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,Mental,12.0
Not stated irritant spray,Surrey,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,Mental,27.0
Shield,Surrey,Other equipment,Shield,Mental,4.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,Mental,24.0
CED,Surrey,Less lethal weapons,CED,Mental,24.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Surrey,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Surrey,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Surrey,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,Mental,3.0
*Total Other,Surrey,Other,Total: Other,Mental,21.0
"Dog use, of which",Surrey,Other,Total: Dog,Mental,0.0
Dog deployed,Surrey,Other,Dog: deployed,Mental,0.0
Dog bite,Surrey,Other,Dog: bite,Mental,0.0
Not stated dog,Surrey,Other,Dog: not stated,Mental,0.0
Other / improvised,Surrey,Other,Other / improvised,Mental,21.0
*Total Not reported,Surrey,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,Mental,369.0
*Total Tactics,Sussex,Total,Total: all,Mental,4402.0
*Total Restraint,Sussex,Restraint,Total: Restraint,Mental,2340.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,Mental,1178.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,Mental,0.0
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,Mental,0.0
Not stated handcuffing,Sussex,Restraint,Handcuffing: not stated,Mental,1178.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,Mental,538.0
Ground restraint,Sussex,Restraint,Ground restraint,Mental,624.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,Mental,1670.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,Mental,166.0
"Baton, of which",Sussex,Other equipment,Total: Baton,Mental,42.0
Baton drawn,Sussex,Other equipment,Baton: drawn,Mental,5.0
Baton used,Sussex,Other equipment,Baton: used,Mental,11.0
Not stated baton,Sussex,Other equipment,Baton: not stated,Mental,26.0
