Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Cleveland,Other,*Total Other,0.0,10.0,112.0,55.0,8.0,1.0,4.0,190.0,Other,Total: Other
Cleveland,Other,"Dog use, of which",0.0,0.0,24.0,12.0,1.0,0.0,0.0,37.0,Other,Total: Dog
Cleveland,Other,Dog deployed,0.0,0.0,19.0,7.0,1.0,0.0,0.0,27.0,Other,Dog: deployed
Cleveland,Other,Dog bite,0.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,Other,Dog: bite
Cleveland,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Cleveland,Other,Other / improvised,0.0,10.0,88.0,43.0,7.0,1.0,4.0,153.0,Other,Other / improvised
Cleveland,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Cleveland,Tactical communication,Tactical communication,9.0,569.0,3939.0,1955.0,369.0,22.0,44.0,6907.0,Excluded: Tactical Communication,Tactical Communication
Cumbria,Total (excluding not reported and tactical communication),*Total Tactics,14.0,536.0,3556.0,1513.0,355.0,69.0,209.0,6252.0,Total,Total: all
Cumbria,Restraint,*Total Restraint,3.0,305.0,2031.0,932.0,196.0,35.0,97.0,3599.0,Restraint,Total: Restraint
Cumbria,Restraint,"Handcuffing, of which",1.0,222.0,1510.0,702.0,169.0,26.0,75.0,2705.0,Restraint,Total: Handcuffing
Cumbria,Restraint,Compliant handcuffing,0.0,74.0,698.0,355.0,81.0,7.0,32.0,1247.0,Restraint,Handcuffing: compliant
Cumbria,Restraint,Non-compliant handcuffing,1.0,148.0,812.0,347.0,88.0,19.0,43.0,1458.0,Restraint,Handcuffing: non-compliant
Cumbria,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Cumbria,Restraint,Limb / Body restraints,0.0,20.0,81.0,49.0,4.0,0.0,2.0,156.0,Restraint,Limb / body restraints
Cumbria,Restraint,Ground restraint,2.0,63.0,440.0,181.0,23.0,9.0,20.0,738.0,Restraint,Ground restraint
Cumbria,Unarmed skills,*Total Unarmed skills,6.0,175.0,993.0,344.0,102.0,27.0,66.0,1713.0,Unarmed skills,Total: unarmed skills
Cumbria,Other equipment,*Total Other equipment,1.0,29.0,235.0,117.0,23.0,4.0,20.0,429.0,Other equipment,Total: Other equipment
Cumbria,Other equipment,"Baton, of which",1.0,0.0,12.0,7.0,0.0,0.0,3.0,23.0,Other equipment,Total: Baton
Cumbria,Other equipment,Baton drawn,0.0,0.0,7.0,1.0,0.0,0.0,1.0,9.0,Other equipment,Baton: drawn
Cumbria,Other equipment,Baton used,1.0,0.0,5.0,6.0,0.0,0.0,2.0,14.0,Other equipment,Baton: used
Cumbria,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Cumbria,Other equipment,"Irritant spray, of which",0.0,26.0,213.0,101.0,23.0,4.0,16.0,383.0,Other equipment,Total: Irritant spray
Cumbria,Other equipment,Irritant spray - drawn,0.0,14.0,85.0,39.0,10.0,0.0,6.0,154.0,Other equipment,Irritant spray: drawn
Cumbria,Other equipment,Irritant spray - used,0.0,12.0,128.0,62.0,13.0,4.0,10.0,229.0,Other equipment,Irritant spray: used
Cumbria,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Cumbria,Other equipment,Spit and bite guard,0.0,3.0,9.0,6.0,0.0,0.0,0.0,18.0,Other equipment,Spit and bite guard
Cumbria,Other equipment,Shield,0.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,Other equipment,Shield
Cumbria,Less lethal weapons,*Total Less lethal weapons,1.0,7.0,141.0,43.0,11.0,1.0,10.0,214.0,Less lethal weapons,Total: Less lethal weapons
Cumbria,Less lethal weapons,CED,1.0,7.0,141.0,43.0,11.0,1.0,10.0,214.0,Less lethal weapons,CED
Cumbria,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Cumbria,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Aimed
Cumbria,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Cumbria,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Cumbria,Firearms,*Total Firearms,0.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0,Firearms,Total: Firearms
Cumbria,Other,*Total Other,3.0,20.0,152.0,76.0,22.0,2.0,16.0,291.0,Other,Total: Other
Cumbria,Other,"Dog use, of which",0.0,1.0,7.0,9.0,2.0,0.0,4.0,23.0,Other,Total: Dog
Cumbria,Other,Dog deployed,0.0,1.0,6.0,8.0,2.0,0.0,4.0,21.0,Other,Dog: deployed
Cumbria,Other,Dog bite,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Other,Dog: bite
Cumbria,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Cumbria,Other,Other / improvised,3.0,19.0,145.0,67.0,20.0,2.0,12.0,268.0,Other,Other / improvised
Cumbria,Not reported,*Total Not reported,0.0,2.0,3.0,1.0,4.0,0.0,2.0,12.0,Not reported,Total: Not reported
Cumbria,Tactical communication,Tactical communication,8.0,233.0,1497.0,628.0,164.0,33.0,88.0,2651.0,Excluded: Tactical Communication,Tactical Communication
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,4.0,447.0,3278.0,1517.0,374.0,30.0,136.0,5786.0,Total,Total: all
Derbyshire,Restraint,*Total Restraint,2.0,229.0,1748.0,804.0,192.0,16.0,54.0,3045.0,Restraint,Total: Restraint
Derbyshire,Restraint,"Handcuffing, of which",1.0,198.0,1285.0,641.0,169.0,12.0,43.0,2349.0,Restraint,Total: Handcuffing
Derbyshire,Restraint,Compliant handcuffing,0.0,101.0,591.0,301.0,86.0,6.0,25.0,1110.0,Restraint,Handcuffing: compliant
Derbyshire,Restraint,Non-compliant handcuffing,1.0,97.0,694.0,340.0,83.0,6.0,18.0,1239.0,Restraint,Handcuffing: non-compliant
Derbyshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Derbyshire,Restraint,Limb / Body restraints,0.0,9.0,192.0,64.0,10.0,4.0,4.0,283.0,Restraint,Limb / body restraints
Derbyshire,Restraint,Ground restraint,1.0,22.0,271.0,99.0,13.0,0.0,7.0,413.0,Restraint,Ground restraint
Derbyshire,Unarmed skills,*Total Unarmed skills,1.0,144.0,945.0,423.0,100.0,9.0,47.0,1669.0,Unarmed skills,Total: unarmed skills
Derbyshire,Other equipment,*Total Other equipment,0.0,37.0,380.0,174.0,50.0,0.0,17.0,658.0,Other equipment,Total: Other equipment
Derbyshire,Other equipment,"Baton, of which",0.0,7.0,41.0,14.0,5.0,0.0,6.0,73.0,Other equipment,Total: Baton
Derbyshire,Other equipment,Baton drawn,0.0,5.0,26.0,9.0,4.0,0.0,5.0,49.0,Other equipment,Baton: drawn
Derbyshire,Other equipment,Baton used,0.0,2.0,15.0,5.0,1.0,0.0,1.0,24.0,Other equipment,Baton: used
Derbyshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Derbyshire,Other equipment,"Irritant spray, of which",0.0,28.0,301.0,133.0,41.0,0.0,11.0,514.0,Other equipment,Total: Irritant spray
Derbyshire,Other equipment,Irritant spray - drawn,0.0,13.0,140.0,63.0,21.0,0.0,7.0,244.0,Other equipment,Irritant spray: drawn
Derbyshire,Other equipment,Irritant spray - used,0.0,15.0,161.0,70.0,20.0,0.0,4.0,270.0,Other equipment,Irritant spray: used
Derbyshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Derbyshire,Other equipment,Spit and bite guard,0.0,2.0,32.0,24.0,4.0,0.0,0.0,62.0,Other equipment,Spit and bite guard
Derbyshire,Other equipment,Shield,0.0,0.0,6.0,3.0,0.0,0.0,0.0,9.0,Other equipment,Shield
Derbyshire,Less lethal weapons,*Total Less lethal weapons,0.0,7.0,90.0,51.0,12.0,1.0,4.0,165.0,Less lethal weapons,Total: Less lethal weapons
Derbyshire,Less lethal weapons,CED,0.0,7.0,82.0,48.0,11.0,1.0,4.0,153.0,Less lethal weapons,CED
Derbyshire,Less lethal weapons,"AEP, of which",0.0,0.0,8.0,3.0,1.0,0.0,0.0,12.0,Less lethal weapons,Total: AEP
Derbyshire,Less lethal weapons,AEP aimed,0.0,0.0,8.0,3.0,1.0,0.0,0.0,12.0,Less lethal weapons,AEP: Aimed
Derbyshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Derbyshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Derbyshire,Firearms,*Total Firearms,0.0,2.0,16.0,4.0,10.0,0.0,0.0,32.0,Firearms,Total: Firearms
Derbyshire,Other,*Total Other,1.0,28.0,99.0,61.0,10.0,4.0,14.0,217.0,Other,Total: Other
Derbyshire,Other,"Dog use, of which",0.0,2.0,8.0,3.0,0.0,0.0,2.0,15.0,Other,Total: Dog
Derbyshire,Other,Dog deployed,0.0,1.0,6.0,2.0,0.0,0.0,2.0,11.0,Other,Dog: deployed
Derbyshire,Other,Dog bite,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,Other,Dog: bite
Derbyshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Derbyshire,Other,Other / improvised,1.0,26.0,91.0,58.0,10.0,4.0,12.0,202.0,Other,Other / improvised
Derbyshire,Not reported,*Total Not reported,0.0,0.0,13.0,0.0,0.0,0.0,21.0,34.0,Not reported,Total: Not reported
Derbyshire,Tactical communication,Tactical communication,3.0,202.0,1399.0,649.0,176.0,16.0,66.0,2511.0,Excluded: Tactical Communication,Tactical Communication
Devon & Cornwall,Total (excluding not reported and tactical communication),*Total Tactics,13.0,845.0,5268.0,2339.0,512.0,74.0,2490.0,11541.0,Total,Total: all
Devon & Cornwall,Restraint,*Total Restraint,3.0,438.0,3026.0,1352.0,289.0,28.0,1435.0,6571.0,Restraint,Total: Restraint
Devon & Cornwall,Restraint,"Handcuffing, of which",3.0,371.0,2518.0,1192.0,254.0,24.0,1244.0,5606.0,Restraint,Total: Handcuffing
Devon & Cornwall,Restraint,Compliant handcuffing,0.0,147.0,1057.0,583.0,129.0,12.0,527.0,2455.0,Restraint,Handcuffing: compliant
Devon & Cornwall,Restraint,Non-compliant handcuffing,3.0,224.0,1461.0,609.0,125.0,12.0,717.0,3151.0,Restraint,Handcuffing: non-compliant
Devon & Cornwall,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Devon & Cornwall,Restraint,Limb / Body restraints,0.0,12.0,81.0,31.0,3.0,1.0,26.0,154.0,Restraint,Limb / body restraints
Devon & Cornwall,Restraint,Ground restraint,0.0,55.0,427.0,129.0,32.0,3.0,165.0,811.0,Restraint,Ground restraint
Devon & Cornwall,Unarmed skills,*Total Unarmed skills,8.0,353.0,1685.0,705.0,168.0,33.0,784.0,3736.0,Unarmed skills,Total: unarmed skills
Devon & Cornwall,Other equipment,*Total Other equipment,1.0,12.0,147.0,65.0,13.0,1.0,45.0,284.0,Other equipment,Total: Other equipment
Devon & Cornwall,Other equipment,"Baton, of which",0.0,1.0,12.0,9.0,0.0,0.0,7.0,29.0,Other equipment,Total: Baton
Devon & Cornwall,Other equipment,Baton drawn,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,Other equipment,Baton: drawn
Devon & Cornwall,Other equipment,Baton used,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Other equipment,Baton: used
Devon & Cornwall,Other equipment,Not stated baton,0.0,1.0,10.0,8.0,0.0,0.0,3.0,22.0,Other equipment,Baton: not stated
Devon & Cornwall,Other equipment,"Irritant spray, of which",1.0,6.0,118.0,43.0,4.0,0.0,31.0,203.0,Other equipment,Total: Irritant spray
Devon & Cornwall,Other equipment,Irritant spray - drawn,1.0,5.0,98.0,36.0,4.0,0.0,30.0,174.0,Other equipment,Irritant spray: drawn
Devon & Cornwall,Other equipment,Irritant spray - used,0.0,1.0,20.0,7.0,0.0,0.0,1.0,29.0,Other equipment,Irritant spray: used
Devon & Cornwall,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Devon & Cornwall,Other equipment,Spit and bite guard,0.0,3.0,8.0,4.0,0.0,0.0,1.0,16.0,Other equipment,Spit and bite guard
Devon & Cornwall,Other equipment,Shield,0.0,2.0,9.0,9.0,9.0,1.0,6.0,36.0,Other equipment,Shield
Devon & Cornwall,Less lethal weapons,*Total Less lethal weapons,0.0,30.0,322.0,158.0,31.0,8.0,174.0,723.0,Less lethal weapons,Total: Less lethal weapons
Devon & Cornwall,Less lethal weapons,CED,0.0,28.0,312.0,152.0,30.0,8.0,166.0,696.0,Less lethal weapons,CED
Devon & Cornwall,Less lethal weapons,"AEP, of which",0.0,2.0,10.0,6.0,1.0,0.0,8.0,27.0,Less lethal weapons,Total: AEP
Devon & Cornwall,Less lethal weapons,AEP aimed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,Less lethal weapons,AEP: Aimed
Devon & Cornwall,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Devon & Cornwall,Less lethal weapons,Not stated AEP,0.0,2.0,9.0,5.0,1.0,0.0,7.0,24.0,Less lethal weapons,AEP: Not stated
Devon & Cornwall,Firearms,*Total Firearms,0.0,0.0,35.0,33.0,3.0,2.0,17.0,90.0,Firearms,Total: Firearms
Devon & Cornwall,Other,*Total Other,1.0,12.0,53.0,26.0,8.0,2.0,35.0,137.0,Other,Total: Other
Devon & Cornwall,Other,"Dog use, of which",0.0,1.0,15.0,5.0,1.0,0.0,9.0,31.0,Other,Total: Dog
Devon & Cornwall,Other,Dog deployed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,Other,Dog: deployed
Devon & Cornwall,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: bite
Devon & Cornwall,Other,Not stated dog,0.0,1.0,14.0,4.0,1.0,0.0,8.0,28.0,Other,Dog: not stated
Devon & Cornwall,Other,Other / improvised,1.0,11.0,38.0,21.0,7.0,2.0,26.0,106.0,Other,Other / improvised
Devon & Cornwall,Not reported,*Total Not reported,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,Not reported,Total: Not reported
Devon & Cornwall,Tactical communication,Tactical communication,12.0,650.0,3743.0,1753.0,390.0,59.0,1885.0,8492.0,Excluded: Tactical Communication,Tactical Communication
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,20.0,847.0,6325.0,3123.0,973.0,81.0,1770.0,13139.0,Total,Total: all
Dorset,Restraint,*Total Restraint,15.0,669.0,5006.0,2444.0,777.0,63.0,1374.0,10348.0,Restraint,Total: Restraint
Dorset,Restraint,"Handcuffing, of which",9.0,473.0,3351.0,1740.0,551.0,49.0,993.0,7166.0,Restraint,Total: Handcuffing
Dorset,Restraint,Compliant handcuffing,0.0,142.0,1116.0,637.0,182.0,14.0,386.0,2477.0,Restraint,Handcuffing: compliant
Dorset,Restraint,Non-compliant handcuffing,9.0,331.0,2235.0,1103.0,369.0,35.0,607.0,4689.0,Restraint,Handcuffing: non-compliant
Dorset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Dorset,Restraint,Limb / Body restraints,1.0,39.0,426.0,137.0,52.0,2.0,108.0,765.0,Restraint,Limb / body restraints
Dorset,Restraint,Ground restraint,5.0,157.0,1229.0,567.0,174.0,12.0,273.0,2417.0,Restraint,Ground restraint
Dorset,Unarmed skills,*Total Unarmed skills,5.0,138.0,821.0,457.0,131.0,12.0,254.0,1818.0,Unarmed skills,Total: unarmed skills
Dorset,Other equipment,*Total Other equipment,0.0,18.0,216.0,99.0,29.0,2.0,58.0,422.0,Other equipment,Total: Other equipment
Dorset,Other equipment,"Baton, of which",0.0,1.0,17.0,9.0,1.0,0.0,7.0,35.0,Other equipment,Total: Baton
Dorset,Other equipment,Baton drawn,0.0,1.0,12.0,7.0,1.0,0.0,7.0,28.0,Other equipment,Baton: drawn
Dorset,Other equipment,Baton used,0.0,0.0,5.0,2.0,0.0,0.0,0.0,7.0,Other equipment,Baton: used
Dorset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Dorset,Other equipment,"Irritant spray, of which",0.0,17.0,188.0,85.0,28.0,0.0,50.0,368.0,Other equipment,Total: Irritant spray
Dorset,Other equipment,Irritant spray - drawn,0.0,5.0,52.0,25.0,6.0,0.0,13.0,101.0,Other equipment,Irritant spray: drawn
Dorset,Other equipment,Irritant spray - used,0.0,12.0,136.0,60.0,22.0,0.0,37.0,267.0,Other equipment,Irritant spray: used
Dorset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Dorset,Other equipment,Spit and bite guard,0.0,0.0,11.0,5.0,0.0,2.0,1.0,19.0,Other equipment,Spit and bite guard
Dorset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Shield
Dorset,Less lethal weapons,*Total Less lethal weapons,0.0,10.0,134.0,53.0,15.0,2.0,38.0,252.0,Less lethal weapons,Total: Less lethal weapons
Dorset,Less lethal weapons,CED,0.0,10.0,134.0,53.0,15.0,2.0,38.0,252.0,Less lethal weapons,CED
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Dorset,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Aimed
Dorset,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Dorset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Dorset,Firearms,*Total Firearms,0.0,4.0,66.0,17.0,2.0,0.0,2.0,91.0,Firearms,Total: Firearms
Dorset,Other,*Total Other,0.0,8.0,82.0,53.0,19.0,2.0,44.0,208.0,Other,Total: Other
Dorset,Other,"Dog use, of which",0.0,1.0,6.0,5.0,1.0,0.0,12.0,25.0,Other,Total: Dog
Dorset,Other,Dog deployed,0.0,1.0,6.0,5.0,1.0,0.0,9.0,22.0,Other,Dog: deployed
Dorset,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,Other,Dog: bite
Dorset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Dorset,Other,Other / improvised,0.0,7.0,76.0,48.0,18.0,2.0,32.0,183.0,Other,Other / improvised
Dorset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Dorset,Tactical communication,Tactical communication,0.0,22.0,242.0,108.0,33.0,4.0,64.0,473.0,Excluded: Tactical Communication,Tactical Communication
Durham,Total (excluding not reported and tactical communication),*Total Tactics,12.0,749.0,5061.0,2098.0,412.0,21.0,187.0,8540.0,Total,Total: all
Durham,Restraint,*Total Restraint,5.0,454.0,3318.0,1448.0,275.0,10.0,84.0,5594.0,Restraint,Total: Restraint
Durham,Restraint,"Handcuffing, of which",0.0,376.0,2640.0,1210.0,228.0,10.0,67.0,4531.0,Restraint,Total: Handcuffing
Durham,Restraint,Compliant handcuffing,0.0,217.0,1888.0,898.0,154.0,5.0,44.0,3206.0,Restraint,Handcuffing: compliant
Durham,Restraint,Non-compliant handcuffing,0.0,159.0,752.0,312.0,74.0,5.0,23.0,1325.0,Restraint,Handcuffing: non-compliant
Durham,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Durham,Restraint,Limb / Body restraints,0.0,7.0,67.0,22.0,11.0,0.0,1.0,108.0,Restraint,Limb / body restraints
Durham,Restraint,Ground restraint,5.0,71.0,611.0,216.0,36.0,0.0,16.0,955.0,Restraint,Ground restraint
Durham,Unarmed skills,*Total Unarmed skills,7.0,240.0,1215.0,445.0,93.0,9.0,34.0,2043.0,Unarmed skills,Total: unarmed skills
Durham,Other equipment,*Total Other equipment,0.0,13.0,173.0,78.0,10.0,0.0,5.0,279.0,Other equipment,Total: Other equipment
Durham,Other equipment,"Baton, of which",0.0,4.0,19.0,10.0,1.0,0.0,2.0,36.0,Other equipment,Total: Baton
Durham,Other equipment,Baton drawn,0.0,4.0,11.0,5.0,0.0,0.0,1.0,21.0,Other equipment,Baton: drawn
Durham,Other equipment,Baton used,0.0,0.0,8.0,5.0,1.0,0.0,1.0,15.0,Other equipment,Baton: used
Durham,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Durham,Other equipment,"Irritant spray, of which",0.0,9.0,149.0,64.0,8.0,0.0,3.0,233.0,Other equipment,Total: Irritant spray
Durham,Other equipment,Irritant spray - drawn,0.0,4.0,53.0,19.0,3.0,0.0,0.0,79.0,Other equipment,Irritant spray: drawn
Durham,Other equipment,Irritant spray - used,0.0,5.0,96.0,45.0,5.0,0.0,3.0,154.0,Other equipment,Irritant spray: used
Durham,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Durham,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Spit and bite guard
Durham,Other equipment,Shield,0.0,0.0,5.0,4.0,1.0,0.0,0.0,10.0,Other equipment,Shield
Durham,Less lethal weapons,*Total Less lethal weapons,0.0,16.0,212.0,68.0,18.0,0.0,5.0,319.0,Less lethal weapons,Total: Less lethal weapons
Durham,Less lethal weapons,CED,0.0,16.0,201.0,64.0,18.0,0.0,5.0,304.0,Less lethal weapons,CED
Durham,Less lethal weapons,"AEP, of which",0.0,0.0,11.0,4.0,0.0,0.0,0.0,15.0,Less lethal weapons,Total: AEP
Durham,Less lethal weapons,AEP aimed,0.0,0.0,9.0,4.0,0.0,0.0,0.0,13.0,Less lethal weapons,AEP: Aimed
Durham,Less lethal weapons,AEP fired,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,AEP: Fired
Durham,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Durham,Firearms,*Total Firearms,0.0,1.0,10.0,7.0,2.0,0.0,1.0,21.0,Firearms,Total: Firearms
Durham,Other,*Total Other,0.0,25.0,133.0,52.0,14.0,2.0,58.0,284.0,Other,Total: Other
Durham,Other,"Dog use, of which",0.0,2.0,20.0,3.0,0.0,0.0,1.0,26.0,Other,Total: Dog
Durham,Other,Dog deployed,0.0,2.0,19.0,3.0,0.0,0.0,1.0,25.0,Other,Dog: deployed
Durham,Other,Dog bite,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Other,Dog: bite
Durham,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Durham,Other,Other / improvised,0.0,23.0,113.0,49.0,14.0,2.0,57.0,258.0,Other,Other / improvised
Durham,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Durham,Tactical communication,Tactical communication,8.0,100.0,681.0,278.0,44.0,4.0,21.0,1136.0,Excluded: Tactical Communication,Tactical Communication
Dyfed-Powys,Total (excluding not reported and tactical communication),*Total Tactics,20.0,563.0,2809.0,1024.0,357.0,48.0,390.0,5211.0,Total,Total: all
Dyfed-Powys,Restraint,*Total Restraint,5.0,298.0,1622.0,651.0,218.0,24.0,193.0,3011.0,Restraint,Total: Restraint
Dyfed-Powys,Restraint,"Handcuffing, of which",5.0,241.0,1385.0,577.0,206.0,24.0,168.0,2606.0,Restraint,Total: Handcuffing
Dyfed-Powys,Restraint,Compliant handcuffing,2.0,100.0,862.0,415.0,147.0,16.0,98.0,1640.0,Restraint,Handcuffing: compliant
Dyfed-Powys,Restraint,Non-compliant handcuffing,3.0,141.0,523.0,162.0,59.0,8.0,70.0,966.0,Restraint,Handcuffing: non-compliant
Dyfed-Powys,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Dyfed-Powys,Restraint,Limb / Body restraints,0.0,26.0,59.0,14.0,0.0,0.0,11.0,110.0,Restraint,Limb / body restraints
Dyfed-Powys,Restraint,Ground restraint,0.0,31.0,178.0,60.0,12.0,0.0,14.0,295.0,Restraint,Ground restraint
Dyfed-Powys,Unarmed skills,*Total Unarmed skills,8.0,224.0,824.0,241.0,90.0,16.0,147.0,1550.0,Unarmed skills,Total: unarmed skills
Dyfed-Powys,Other equipment,*Total Other equipment,0.0,15.0,108.0,31.0,10.0,0.0,7.0,171.0,Other equipment,Total: Other equipment
Dyfed-Powys,Other equipment,"Baton, of which",0.0,1.0,9.0,1.0,1.0,0.0,1.0,13.0,Other equipment,Total: Baton
Dyfed-Powys,Other equipment,Baton drawn,0.0,1.0,5.0,1.0,1.0,0.0,1.0,9.0,Other equipment,Baton: drawn
Dyfed-Powys,Other equipment,Baton used,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,Other equipment,Baton: used
Dyfed-Powys,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Dyfed-Powys,Other equipment,"Irritant spray, of which",0.0,11.0,76.0,23.0,9.0,0.0,6.0,125.0,Other equipment,Total: Irritant spray
Dyfed-Powys,Other equipment,Irritant spray - drawn,0.0,2.0,28.0,8.0,4.0,0.0,3.0,45.0,Other equipment,Irritant spray: drawn
Dyfed-Powys,Other equipment,Irritant spray - used,0.0,9.0,48.0,15.0,5.0,0.0,3.0,80.0,Other equipment,Irritant spray: used
Dyfed-Powys,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Dyfed-Powys,Other equipment,Spit and bite guard,0.0,3.0,23.0,6.0,0.0,0.0,0.0,32.0,Other equipment,Spit and bite guard
Dyfed-Powys,Other equipment,Shield,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Other equipment,Shield
Dyfed-Powys,Less lethal weapons,*Total Less lethal weapons,2.0,10.0,133.0,66.0,17.0,2.0,17.0,247.0,Less lethal weapons,Total: Less lethal weapons
Dyfed-Powys,Less lethal weapons,CED,2.0,9.0,117.0,61.0,15.0,2.0,15.0,221.0,Less lethal weapons,CED
